DateTime,AddedIPs,RemovedIPs
1592760031,1,0
1592820969,1,0
1592835369,2,0
1592837537,1,0
1592841391,1,0
1592848097,0,1
1592893753,1,0
1592898037,1,0
1592907856,0,1
1592919395,0,1
1592921292,0,1
1592925169,0,1
1592928979,0,1
1592972452,1,0
1592980088,0,1
1592982973,1,1
1593059076,0,1
1593068676,0,1
1593083793,1,0
1593119787,1,0
1593121714,1,0
1593127472,1,0
1593129371,1,0
1593148849,1,0
1593170893,0,1
1593199243,1,0
1593203065,1,0
1593206889,0,2
1593212721,0,1
1593214595,0,1
1593223239,1,0
1593230971,1,0
1593236657,0,1
1593242411,1,0
1593261657,1,0
1593285609,0,1
1593289452,0,1
1593291390,1,0
1593310586,0,1
1593318254,0,1
1593330011,0,1
1593347288,0,1
1593361693,1,0
1593368441,1,0
1593379042,0,1
1593400355,1,0
1593416917,1,0
1593447608,0,1
1593455289,0,1
1593486056,0,1
1593500895,0,1
1593520807,1,0
1593526574,6,0
1593528560,1,0
1593607692,0,1
1593623304,1,7
1593676591,1,0
1593685207,1,0
1593728672,1,0
1593736332,1,0
1593762491,0,1
1593772091,0,1
1593774978,0,1
1593804735,1,0
1593814362,0,1
1593823929,0,1
1593855884,1,0
1593893780,0,1
1593918992,2,0
1593942045,0,1
1593953531,1,0
1594003721,1,1
1594005606,0,1
1594011377,1,0
1594027454,1,0
1594040895,0,1
1594090093,0,1
1594097823,0,1
1594112198,0,1
1594188508,1,0
1594192335,1,0
1594275390,0,1
1594287878,1,1
1594320487,1,0
1594382455,0,1
1594396336,1,0
1594406897,0,1
1594445288,2,0
1594479901,1,0
1594482307,0,1
1594491882,1,0
1594512109,1,0
1594520681,1,0
1594532439,0,2
1594544211,1,0
1594565544,0,1
1594567483,1,0
1594579060,0,1
1594598172,0,1
1594606841,0,1
1594617639,1,0
1594619525,1,0
1594630344,0,1
1594653405,0,1
1594703083,0,1
1594704977,1,0
1594772684,0,1
1594789963,0,1
1594801222,8,0
1594812011,1,0
1594823804,1,0
1594829567,1,0
1594837207,1,0
1594841079,1,0
1594844887,1,0
1594848731,1,0
1594868201,1,0
1594887722,0,2
1594891477,1,0
1594901326,1,0
1594905138,0,7
1594909473,0,1
1594911443,1,0
1594915494,0,1
1594925084,0,1
1594926989,0,1
1594931809,0,1
1594935612,1,1
1594939449,1,0
1594941372,1,0
1594947393,1,0
1594953162,2,0
1594955325,0,1
1594981887,1,0
1594987966,0,1
1594997531,0,1
1595001370,1,0
1595022521,1,1
1595024411,0,2
1595026329,0,1
1595032344,0,1
1595038131,0,1
1595040019,0,1
1595047688,1,0
1595068827,0,1
1595084168,1,0
1595088968,2,1
1595090924,1,0
1595092832,1,0
1595096670,1,0
1595109155,3,1
1595119692,1,0
1595127396,1,0
1595132168,1,0
1595134332,0,1
1595167288,1,0
1595171217,0,1
1595175129,0,2
1595177079,0,1
1595179210,0,1
1595181139,1,0
1595183084,0,1
1595194598,0,2
1595196488,0,1
1595204168,1,0
1595206120,0,1
1595213774,0,1
1595217676,0,1
1595233000,1,0
1595234893,2,0
1595238725,2,0
1595253137,1,1
1595267767,1,1
1595269715,1,0
1595276436,2,0
1595290097,0,1
1595309287,1,0
1595313133,1,0
1595318913,1,1
1595320814,0,2
1595322764,1,0
1595324648,0,2
1595341933,1,1
1595355371,1,1
1595357343,0,1
1595363080,0,1
1595370755,1,0
1595398810,0,1
1595404574,0,1
1595409371,0,1
1595411172,1,0
1595420885,1,0
1595426668,0,1
1595432439,1,0
1595436254,0,1
1595442040,0,1
1595445888,1,0
1595456411,0,1
1595464111,1,1
1595497002,0,1
1595506579,0,1
1595520104,0,1
1595523861,1,0
1595529641,1,0
1595531560,0,1
1595544969,1,0
1595551723,0,1
1595571373,1,0
1595577128,1,0
1595609324,0,1
1595615163,0,1
1595618886,1,0
1595622757,1,0
1595632572,0,1
1595653732,1,0
1595657567,0,1
1595663317,0,1
1595686359,1,0
1595688249,1,0
1595690208,1,0
1595705528,0,1
1595709608,1,1
1595740571,1,1
1595744407,1,0
1595773447,0,1
1595775406,0,2
1595782093,1,0
1595795564,0,1
1595812134,1,0
1595827479,0,1
1595829369,0,1
1595831303,1,0
1595841880,1,0
1595867820,0,1
1595879321,1,0
1595897532,0,1
1595903293,1,0
1595916979,0,1
1595928742,0,1
1595964742,0,1
1595966680,1,0
1595970738,1,0
1595989968,0,1
1596056168,0,1
1596060036,1,0
1596067722,0,1
1596083052,1,0
1596122684,1,0
1596129687,1,0
1596145930,0,1
1596155803,1,0
1596171172,0,1
1596197069,1,0
1596202815,1,0
1596208575,0,1
1596216282,0,1
1596230807,1,0
1596242413,0,1
1596252285,1,0
1596277687,1,0
1596282730,1,1
1596290465,0,1
1596294523,1,0
1596317560,1,1
1596331005,1,0
1596336763,1,0
1596338651,0,1
1596352366,1,0
1596363887,1,1
1596367964,0,1
1596381372,0,1
1596403452,0,1
1596414250,1,0
1596416199,1,1
1596422892,0,1
1596437290,1,0
1596439240,0,1
1596448857,0,1
1596458414,1,0
1596462293,1,0
1596469943,1,0
1596494903,1,0
1596500657,0,1
1596502602,0,1
1596507366,1,0
1596523067,0,1
1596536440,1,0
1596544970,0,1
1596546999,0,1
1596556597,0,1
