DateTime,AddedIPs,RemovedIPs
1597237008,1,0
1597238890,2,1
1597241770,0,2
1597245639,1,0
1597247529,1,2
1597249484,1,2
1597251371,1,0
1597253291,0,1
1597255253,0,1
1597257163,1,0
1597259067,1,0
1597260971,1,2
1597262923,0,1
1597264812,1,0
1597266730,0,1
1597268679,0,1
1597270573,0,1
1597272491,1,0
1597274435,0,2
1597276335,2,0
1597282113,3,0
1597287142,2,0
1597289072,0,1
1597295774,0,1
1597297688,0,1
1597299643,1,2
1597301530,0,2
1597303454,1,0
1597305412,0,2
1597312088,0,1
1597314055,0,1
1597317872,2,0
1597321690,1,2
1597324647,2,2
1597326489,3,1
1597328434,2,0
1597330331,3,0
1597332250,1,1
1597334200,1,1
1597336095,1,1
1597338091,0,1
1597339956,1,0
1597341855,2,0
1597343772,0,1
1597345768,14,1
1597347641,68,1
1597349532,2,0
1597351453,1,1
1597353417,101,0
1597355291,51,0
1597357266,1,0
1597359224,0,1
1597361085,0,1
1597362972,2,1
1597364893,1,0
1597368009,0,3
1597369928,2,0
1597371879,3,0
1597373775,0,2
1597381961,1,0
1597383867,1,0
1597387732,2,1
1597389607,0,1
1597393478,1,0
1597403305,1,0
1597405213,0,2
1597407139,1,0
1597409088,1,2
1597410973,0,1
1597412890,0,3
1597414841,2,2
1597416732,0,3
1597418689,1,1
1597420593,1,1
1597422500,1,1
1597426340,0,1
1597428309,3,2
1597430203,1,0
1597432095,2,3
1597434012,0,79
1597435962,1,1
1597437853,0,1
1597439774,0,92
1597441721,0,61
1597443614,0,1
1597447484,1,0
1597449375,0,2
1597451293,0,1
1597456357,0,2
1597458253,1,3
1597464995,1,0
1597468806,0,2
1597472653,0,1
1597474594,0,1
1597479398,0,1
1597488994,1,1
1597490896,1,0
1597492897,1,1
1597494758,1,1
1597498604,1,0
1597502411,0,2
1597504358,1,1
1597508173,0,1
1597510115,1,1
1597513928,0,3
1597515876,1,0
1597518142,2,2
1597520054,1,1
1597522132,0,1
1597525930,1,0
1597527854,1,0
1597533636,0,1
1597535533,2,0
1597544173,0,1
1597546093,1,0
1597549938,0,1
1597551853,1,0
1597561513,1,0
1597567214,1,0
1597574893,0,1
1597578759,0,1
1597580679,1,2
1597584520,1,1
1597586466,1,0
1597590268,1,0
1597592081,0,1
1597594229,1,0
1597596284,1,1
1597600338,1,0
1597602255,0,1
1597604227,1,2
1597606091,0,1
1597608204,2,0
1597612128,0,1
1597614010,0,1
1597615958,1,0
1597621718,1,2
1597623609,1,0
1597631291,0,1
1597634187,1,0
1597638010,0,1
1597639929,2,0
1597641881,2,0
1597643788,1,0
1597645687,1,0
1597648573,1,1
1597650517,1,0
1597654331,0,1
1597664917,2,0
1597666833,2,1
1597670686,0,1
1597672568,0,1
1597674491,2,0
1597676478,0,1
1597678332,2,0
1597680269,0,1
1597682195,1,1
1597684095,1,0
1597686011,1,0
1597687961,1,1
1597689861,1,0
1597691773,1,1
1597693720,0,2
1597701401,2,0
1597703288,1,1
1597705322,1,0
1597707132,0,1
1597709299,0,1
1597711211,1,0
1597715063,1,0
1597720810,0,1
1597724650,1,0
1597726572,0,3
1597728518,0,1
1597730455,1,2
1597732373,1,0
1597734282,0,1
1597736167,1,0
1597738334,0,1
1597749851,0,1
1597751800,1,1
1597753692,0,2
1597755648,2,0
1597757553,1,0
1597759470,0,1
1597761393,1,1
1597763294,0,1
1597765213,13,1
1597767157,2,0
1597769053,1,1
1597770972,1,1
1597772917,0,1
1597774816,0,2
1597776734,1,0
1597778677,0,1
1597782490,1,0
1597787314,0,2
1597789212,1,1
1597791126,1,0
1597793096,0,1
1597796905,1,0
1597798850,2,1
1597800732,0,1
1597802920,1,0
1597810572,0,1
1597816328,1,1
1597818293,1,0
1597820171,1,1
1597822088,1,0
1597824970,2,1
1597826916,1,0
1597830751,2,0
1597836489,1,0
1597838466,0,1
1597840342,0,1
1597842255,0,1
1597844199,0,1
1597846097,1,1
1597848249,1,0
1597852118,0,14
1597854012,0,2
1597855929,1,0
1597857878,0,1
1597859767,2,0
1597863860,0,1
1597867716,1,0
1597869632,0,1
1597876093,0,1
1597878968,1,1
1597881135,1,0
1597883054,0,1
1597884995,0,1
1597886911,2,1
1597888872,0,1
1597904175,0,2
1597906095,0,1
1597908040,1,0
1597909935,0,1
1597911853,1,2
1597913799,0,1
1597917676,1,2
1597921670,1,0
1597923613,0,1
1597927553,1,0
1597931289,0,1
1597935133,2,1
1597937051,1,0
1597938997,1,0
1597943072,2,1
1597946888,1,2
1597948808,1,0
1597950756,1,0
1597954571,3,1
1597956560,1,0
1597960338,1,0
1597962250,2,0
1597966089,0,1
1597969236,1,1
1597973075,0,2
1597974969,1,0
1597976911,2,0
1597979770,1,0
1597981722,2,0
1597983624,2,0
1597985553,1,0
1597993294,1,0
1597995168,1,1
1597997062,1,0
1597999001,0,1
1598000902,2,0
1598002854,1,1
1598008622,0,1
1598010515,2,0
1598012441,0,1
1598014335,2,0
1598018178,1,0
1598020336,1,0
1598022260,0,3
1598026099,0,1
1598028009,1,1
1598029932,0,1
1598031866,0,1
1598033797,1,0
1598035702,0,1
1598037612,0,1
1598039559,1,1
1598041448,0,2
1598043370,0,1
1598045319,0,1
1598049134,2,2
1598051117,2,0
1598053051,1,0
1598054921,0,1
1598058735,1,0
1598060678,1,0
1598062573,1,1
1598064501,0,3
1598066450,1,1
1598068342,0,1
1598070250,1,2
1598072225,0,1
1598074094,2,0
1598078916,0,1
1598082728,1,2
1598086568,0,1
1598088491,0,2
1598096197,0,2
1598101966,1,2
1598105771,0,2
1598107719,3,0
1598115375,1,1
1598117288,1,0
1598120171,1,1
1598125941,2,1
1598127884,1,0
1598135545,0,2
1598137455,2,2
1598139400,0,1
1598145159,1,1
1598147054,1,1
1598148972,0,1
1598150939,1,1
1598156678,0,1
1598160492,0,2
1598165320,1,0
1598167210,1,0
1598169142,0,1
1598176920,1,0
1598180653,2,0
1598186662,1,0
1598188604,0,1
1598192408,2,0
1598194335,2,3
1598196293,1,0
1598200338,1,1
1598202267,24,1
1598204231,1,0
1598206144,0,1
1598208011,1,0
1598209958,1,0
1598211858,0,2
1598213772,0,1
1598215720,2,0
1598217608,1,0
1598219771,2,0
1598223853,1,2
1598229611,1,0
1598231579,0,1
1598233450,0,1
1598235377,1,0
1598237322,0,1
1598244974,1,0
1598246892,1,0
1598252664,0,1
1598254597,0,1
1598256491,1,0
1598262251,3,1
1598268011,1,2
1598271881,1,0
1598273768,0,1
1598279534,0,3
1598281453,0,1
1598283401,3,1
1598285295,1,0
1598287209,0,1
1598289764,0,25
1598291565,1,0
1598293462,0,1
1598295402,1,1
1598297298,1,0
1598300170,1,0
1598302093,0,2
1598304034,1,1
1598305932,1,1
1598307856,0,1
1598309823,1,1
1598311698,1,0
1598315550,2,1
1598317453,1,0
1598319395,2,0
1598321299,1,1
1598327059,1,0
1598330916,0,1
1598332810,0,1
1598334730,1,0
1598342530,0,1
1598344330,1,0
1598346266,1,0
1598348227,0,2
1598350101,1,1
1598352013,1,0
1598353960,0,1
1598359721,0,1
1598361629,1,0
1598363595,2,0
1598367391,1,0
1598369299,0,2
1598371310,8,2
1598377235,0,1
1598383274,3,2
1598385155,1,1
1598390895,1,1
1598392849,0,1
1598394731,1,0
1598396668,0,1
1598398597,0,1
1598402412,0,2
1598404356,0,2
1598406251,2,1
1598408173,0,1
1598412012,1,0
1598413928,0,1
1598415881,1,0
1598417772,1,0
1598421673,0,1
1598423633,1,0
1598425465,2,0
1598429555,0,1
1598431464,0,1
1598435802,0,1
1598437688,0,1
1598448278,1,1
1598450167,0,2
1598454050,0,1
1598458127,0,8
1598462458,1,0
1598464374,1,0
1598466538,1,0
1598469371,1,3
1598471289,0,1
1598473235,2,0
1598477070,0,1
1598478993,55,0
1598480951,7,1
1598482863,9,0
1598484758,80,0
1598486662,4,0
1598488606,5,0
1598490519,1,0
1598492412,7,2
1598494333,2,0
1598496318,4,0
1598498174,5,1
1598500087,3,0
1598502078,1,1
1598503956,3,0
1598505850,5,1
1598507799,5,0
1598509693,5,1
1598512569,8,2
1598514487,7,0
1598516432,3,0
1598518333,5,0
1598520265,6,0
1598522193,6,0
1598524103,3,0
1598526974,4,0
1598529215,7,0
1598531077,7,0
1598532975,6,0
1598534887,7,1
1598536867,16,0
1598538737,6,0
1598540655,4,0
1598542596,6,0
1598544553,14,0
1598546446,1,0
1598548337,7,1
1598550249,6,1
1598552172,9,1
1598554087,6,0
1598556034,3,1
1598557931,27,1
1598560096,7,1
1598562051,4,0
1598563956,6,33
1598565851,3,22
1598567770,5,8
1598569718,5,20
1598571608,1,68
1598573544,3,5
1598575474,4,3
1598577366,4,2
1598579286,4,6
1598581245,3,2
1598583149,2,4
1598585054,6,5
1598586992,5,3
1598588953,4,1
1598590850,4,5
1598592754,5,7
1598594655,1,2
1598596572,4,4
1598598517,8,8
1598600410,5,7
1598602331,3,3
1598604295,4,5
1598606171,4,7
1598608344,5,6
1598610250,0,2
