DateTime,AddedIPs,RemovedIPs
1597630571,6,1
1597632516,3,2
1597634404,4,2
1597636326,4,2
1597638274,1,1
1597640169,5,2
1597642086,2,3
1597644965,6,4
1597646912,3,3
1597648815,0,3
1597650725,9,1
1597652675,3,4
1597654570,4,3
1597656489,6,1
1597659365,4,5
1597661313,2,5
1597663205,4,3
1597665128,4,2
1597667090,3,3
1597668972,4,4
1597670886,2,4
1597672854,6,2
1597674731,5,2
1597676679,4,2
1597678593,4,2
1597680487,2,5
1597682410,5,2
1597684356,4,1
1597686247,8,4
1597688166,6,2
1597690113,4,3
1597692008,9,3
1597693928,4,5
1597695876,0,3
1597697773,4,4
1597699936,7,6
1597701852,2,2
1597703797,6,2
1597705689,4,1
1597707606,1,5
1597709558,1,2
1597711447,5,5
1597713608,3,8
1597715559,2,7
1597717468,3,3
1597719393,3,3
1597721320,6,8
1597724201,4,2
1597726087,3,2
1597728006,3,4
1597729956,3,3
1597731846,1,3
1597733765,3,3
1597735714,3,2
1597738591,5,8
1597740491,10,6
1597742404,2,4
1597744354,3,2
1597746251,4,3
1597748180,4,1
1597750114,2,6
1597752020,8,3
1597753959,4,3
1597755855,6,4
1597757768,12,2
1597759715,2,8
1597761617,4,6
1597763555,6,4
1597765447,15,3
1597767621,5,5
1597769534,5,5
1597771475,3,7
1597773371,2,5
1597775289,2,7
1597777253,3,2
1597779132,3,4
1597781296,2,3
1597783212,4,2
1597785161,0,1
1597787056,3,4
1597788972,6,7
1597790921,6,5
1597792827,3,3
1597794728,3,0
1597796675,2,0
1597798571,7,3
1597800511,4,3
1597803623,2,4
1597805534,2,2
1597807476,2,3
1597809366,0,2
1597811294,1,2
1597814168,4,2
1597816118,3,3
1597818026,5,0
1597819942,4,3
1597821875,3,7
1597823767,0,4
1597825688,4,2
1597827654,4,10
1597829526,3,2
1597831699,5,6
1597833606,5,1
1597835558,7,4
1597837449,6,4
1597839369,3,3
1597841319,1,18
1597843211,4,6
1597845130,11,8
1597847076,6,4
1597848966,4,7
1597851132,0,17
1597853052,3,3
1597855004,1,4
1597856893,3,6
1597858812,6,1
1597860766,7,1
1597862659,3,1
1597864583,2,5
1597866519,2,3
1597868408,7,5
1597870335,1,3
1597872165,7,3
1597874200,1,1
1597876092,1,7
1597878966,2,5
1597881134,5,4
1597883053,0,3
1597884993,5,6
1597886910,5,6
1597888848,3,2
1597890760,2,9
1597892661,1,2
1597894572,3,0
1597896518,2,0
1597898420,2,2
1597900328,3,3
1597902282,0,2
1597904174,1,5
1597906093,0,3
1597908039,1,1
1597909933,0,2
1597911852,3,5
1597913797,0,3
1597915747,4,4
1597918567,7,3
1597920485,8,6
1597922435,1,5
1597924332,2,5
1597926251,3,1
