DateTime,AddedIPs,RemovedIPs
1585805089,20,0
1585827136,6,11
1585848980,22,0
1585871052,1,39
1585893128,5,0
1585914985,0,5
1585937064,5,1
1585958937,3,1
1585980973,7,0
1586002825,1,7
1586024920,2,2
1586046760,0,1
1586068602,1,0
1586090662,28,0
1586112730,28,1
1586146095,56,28
1586167946,5,3
1586190009,2,3
1586211856,3,3
1586233939,6,1
1586256021,4,0
1586277866,2,1
1586299708,7,0
1586321784,12,6
1586343721,3,13
1586365704,98,2
1586387771,4,1
1586431692,1,2
1586453548,0,33
1586475620,0,1
1586519306,1,0
1586541368,0,2
1586563235,0,1
1586585312,0,4
1586607384,1,1
1586629465,24,1
1586651542,3,1
1586673411,1,3
1586695476,1,36
1586717541,22,20
1586739416,6,48
1586761496,0,6
1586783541,0,2
1586805643,0,5
1586827533,1,3
1586849544,1,6
1586871612,1,1
1586893695,1,15
1586915768,0,2
1586949082,2,14
1586970971,2,109
1586992846,31,3
1587014890,8,7
1587036752,0,21
1587058818,0,6
1587080906,0,9
1587103018,1,59
1587125094,1,6
1587147140,0,9
1587234982,1,5
1587256830,1,10
1587278901,2,3
1587300770,5,21
1587322852,1,73
1587344924,36,86
1587367057,0,11
1587389723,17,64
1587411931,1,9
1587433989,5,0
1587467129,0,2
1587489161,6,2
1587533294,1,0
1587555162,9,4
1587577008,28,1
1587599054,0,73
1587621128,1,9
1587642985,2,0
1587686908,8,0
1587708974,32,1
1587731069,51,3
1587753151,10,0
1587775214,13,3
1587797067,23,1
1587819135,21,1
1587852337,11,3
1587874340,52,2
1587896415,59,0
1587918263,36,6
1587940337,1,17
1587962183,15,1
1587984274,2,0
1588028175,6,4
1588050162,3,0
1588072103,1,0
1588094166,1,3
1588116021,2,0
1588137867,1,1
1588159945,0,9
1588182045,2,26
1588204124,12,0
1588226233,25,2
1588248512,0,1
1588270589,2,0
1588292658,1,1
1588314504,17,6
1588336348,12,30
1588358414,9,4
1588380257,8,5
1588402345,26,1
1588424550,9,2
1588446495,7,2
1588468589,5,46
1588490667,5,58
1588512748,18,8
1588534606,2,1
1588556662,2,2
1588578727,5,1
1588600578,19,0
1588633478,1,21
1588655566,0,2
1588677610,6,19
1588699456,1,0
1588721532,2,2
1588743612,59,1
1588765460,15,0
1588787303,1,1
1588809372,0,3
1588842260,1,0
1588864109,131,0
1588908025,1,3
1588930088,1,9
1588951949,3,3
1588974016,1,1
1588996100,9,0
1589018167,6,0
1589040203,3,2
1589062101,2,13
1589084169,5,7
1589106019,3,0
1589127879,1,11
1589149934,58,1
1589171783,4,2
1589193868,0,8
1589215945,1,51
1589249324,2,3
1589271383,3,5
1589293227,2,1
1589315290,0,1
1589337145,41,58
1589359221,1,37
1589381303,1,22
1589403393,0,1
1589425715,1,4
1589447772,0,14
1589469643,3,163
1589491687,5,0
1589513582,1,2
1589535611,0,1
1589557464,0,3
1589601388,2,1
1589645548,1,3
1589667391,1,4
1589689454,1,1
1589711544,0,2
1589733644,1,0
1589755688,3,3
1589777533,5,2
1589799742,37,0
1589821949,0,1
1589865875,0,1
1589887937,9,1
1589910012,13,2
1589931853,16,6
1589953946,2,39
1589976390,0,8
1589998818,0,20
1590020889,16,2
1590042734,6,1
1590064579,1,0
1590086454,0,3
1590108505,6,0
1590196822,0,1
1590218669,1,0
1590240739,8,0
1590262812,0,1
1590284652,0,1
1590306499,0,1
1590328571,2,16
1590361720,19,2
1590383781,2,4
1590405622,0,5
1590427703,1,1
1590449772,2,0
1590493493,9,11
1590515529,0,10
1590537399,12,11
1590570276,2,12
1590592120,1,5
1590614224,1,2
1590647291,2,28
1590669149,0,9
1590691213,0,12
1590713310,0,10
1590735370,0,75
1590757347,1,4
1590779296,54,0
1590801143,4,0
1590823227,11,0
1590845099,1,1
1590867136,1,7
1590888989,3,1
1590910994,4,0
1590932890,2,34
1590954967,0,1
1590976960,4,1
1590998892,27,1
1591020971,10,1
1591042821,7,0
1591064892,2,1
1591086744,6,0
1591108587,3,1
1591130650,4,15
1591152503,49,2
1591185669,7,1
1591229571,0,1
1591317411,27,0
1591361535,0,1
1591383378,1,39
1591405253,19,21
1591449169,4,11
1591471209,0,1
1591493064,1,4
1591515130,7,0
1591536989,0,2
1591559060,0,29
1591580919,1,3
1591602987,1,21
1591635871,2,15
1591657941,32,5
1591679819,2,2
1591701854,0,19
1591723936,7,16
1591746016,4,58
