DateTime,AddedIPs,RemovedIPs
1597630813,27,29
1597632731,148,682
1597634679,19,6
1597636594,16,6
1597638485,15,6
1597640459,15,8
1597642331,15,6
1597644255,23,10
1597646196,21,165
1597648090,20,453
1597650011,36,5
1597651956,14,4
1597653874,14,9
1597655770,53,11
1597657715,13,17
1597659605,18,16
1597661527,18,21
1597663479,24,23
1597665368,14,24
1597667306,14,12
1597669280,19,10
1597671133,13,16
1597673050,14,464
1597674995,23,89
1597676890,17,25
1597678810,13,17
1597680761,6,17
1597682668,11,9
1597684568,23,20
1597686515,15,24
1597688411,19,25
1597690334,20,20
1597692275,23,19
1597694168,17,24
1597696087,286,13
1597698095,26,37
1597699938,18,24
1597701860,16,20
1597703799,22,26
1597705691,12,34
1597707608,13,16
1597709560,19,24
1597711472,17,21
1597713610,18,20
1597715583,22,14
1597717472,23,23
1597719402,15,222
1597721323,21,20
1597723250,20,15
1597725145,11,12
1597727084,18,18
1597728996,11,13
1597731137,10,26
1597733053,13,17
1597735000,13,22
1597736890,13,38
1597738813,11,13
1597740760,13,15
1597742651,13,54
1597744571,9,16
1597746514,66,22
1597748533,11,14
1597750333,12,21
1597752528,17,12
1597754415,16,15
1597756333,18,18
1597758279,18,13
1597760193,17,19
1597762120,15,18
1597764045,15,17
1597765934,16,14
1597767885,16,7
1597769784,21,18
1597771693,7,20
1597773709,20,13
1597775532,21,22
1597777468,16,22
1597779406,12,18
1597781300,22,293
1597783214,19,26
1597785162,12,18
1597787058,12,22
1597788975,15,18
1597790923,29,16
1597792832,19,14
1597794731,14,14
1597796677,20,18
1597798573,17,16
1597800514,14,23
1597802543,11,19
1597804594,16,24
1597806765,19,18
1597808679,14,19
1597810573,15,19
1597812520,15,21
1597814413,13,13
1597816329,13,11
1597818294,15,10
1597820172,16,15
1597822109,21,8
1597824059,21,15
1597825929,16,13
1597828120,292,18
1597830009,13,11
1597831956,33,58
1597833852,14,17
1597835772,14,10
1597837720,20,19
1597839611,18,11
1597841531,11,14
1597843481,18,22
1597845371,17,11
1597847291,16,17
1597850172,27,23
1597852119,18,15
1597854013,13,13
1597855931,15,17
1597857879,19,8
1597859770,20,15
1597861931,16,24
1597863861,25,16
1597865797,15,12
1597867717,15,12
1597869633,13,16
1597872169,29,15
1597874203,24,14
1597876096,19,21
1597878076,22,20
1597879968,11,19
1597881870,20,14
1597883779,29,18
1597885736,18,13
1597887609,18,13
1597889532,15,12
1597891478,12,13
1597893374,22,20
1597895532,16,10
1597897454,14,21
1597899399,12,16
1597901289,19,13
1597903276,8,7
1597905195,10,17
1597907055,13,19
1597908968,28,16
1597910920,10,17
1597912812,12,321
1597914734,16,14
1597916683,63,15
1597918570,17,18
1597920488,30,16
1597922439,23,13
1597924335,25,24
1597926255,15,14
1597928128,15,23
1597930119,23,20
1597932090,23,17
1597933955,13,16
1597935852,15,16
1597937772,14,21
1597939750,15,13
1597941611,18,12
1597943567,27,14
1597945455,14,21
1597947372,18,19
1597949319,21,29
1597951208,9,13
1597953128,8,16
1597955078,15,17
1597956972,21,15
1597958887,13,23
1597961768,22,32
1597963687,21,20
1597965637,19,20
1597967533,20,16
1597969455,16,26
1597971397,19,20
1597973291,18,16
1597975336,26,17
1597977398,13,14
1597979298,15,23
1597981217,26,16
1597983164,16,14
1597985057,21,11
1597986974,17,12
1597988925,18,16
1597990815,19,5
1597992736,15,15
1597994680,9,13
1597996573,20,27
1597998496,10,13
1598000516,12,15
1598002633,136,15
1598004521,41,14
1598006410,18,25
1598008363,14,26
1598010254,23,27
1598012172,18,11
1598014116,15,21
1598016014,13,17
1598017932,19,26
1598019887,28,17
1598021776,11,12
1598023823,18,19
1598026807,11,22
1598028763,12,27
1598030648,20,17
1598032573,15,15
