DateTime,AddedIPs,RemovedIPs
1597563860,0,1
1597565799,2,1
1597567738,1,1
1597569607,5,0
1597571528,3,2
1597573450,4,3
1597575372,0,1
1597577316,11,0
1597580203,3,3
1597582091,3,2
1597584008,1,1
1597585964,2,2
1597587852,2,1
1597589810,2,0
1597591687,5,1
1597593707,1,0
1597595584,2,2
1597597454,3,2
1597599369,2,0
1597601319,2,0
1597603209,1,1
1597605168,2,14
1597607080,2,4
1597608968,1,0
1597610891,2,1
1597612840,2,2
1597614891,2,2
1597619785,2,1
1597621721,6,0
1597625533,1,0
1597627482,1,1
1597629382,17,0
1597631294,3,1
1597635395,2,0
1597637287,1,1
1597639209,2,1
1597641159,2,2
1597643049,0,1
1597646913,4,3
1597648846,1,0
1597650726,2,0
1597652676,7,2
1597654571,0,2
1597656490,1,4
1597659367,0,6
1597661314,3,1
1597663206,1,8
1597665129,3,4
1597667091,1,1
1597668977,2,2
1597670887,4,2
1597672878,2,3
1597674732,2,0
1597676543,1,4
1597678594,2,3
1597680488,1,1
1597682412,1,3
1597684359,4,1
1597686250,0,3
1597688168,2,0
1597690115,5,1
1597692011,2,4
1597693930,12,1
1597695878,6,1
1597697816,3,2
1597699941,0,3
1597701894,3,1
1597703800,1,0
1597705693,3,2
1597707609,2,3
1597709564,4,3
1597711476,1,0
1597713612,4,3
1597715586,0,16
1597717473,0,4
1597719405,5,0
1597723275,3,2
1597725146,2,2
1597727086,1,2
1597728997,2,0
1597731138,1,0
1597733054,2,5
1597736892,2,2
1597738814,3,5
1597740761,2,2
1597742652,0,1
1597744572,1,0
1597746515,2,1
1597748540,2,4
1597750576,1,2
1597752529,1,1
1597754416,15,1
1597756334,3,3
1597758280,4,3
1597760195,1,2
1597762121,1,1
1597764045,2,1
1597765935,0,3
1597767905,2,1
1597769788,1,3
1597771695,0,1
1597773720,4,1
1597775535,2,3
1597777469,1,4
1597779408,1,5
1597781302,5,12
1597783216,0,3
1597785163,6,0
1597787059,1,2
1597788977,1,2
1597790925,0,2
1597792833,0,1
1597794733,2,2
1597796679,0,4
1597798575,2,3
1597800515,1,2
1597804616,1,1
1597806767,4,5
1597808681,9,1
1597810574,1,3
