DateTime,AddedIPs,RemovedIPs
1597488280,1,0
1597490168,1,0
1597492090,1,2
1597494041,3,1
1597495927,1,3
1597497877,3,0
1597499772,0,3
1597501689,0,3
1597504749,0,1
1597506732,0,4
1597510570,0,3
1597514487,1,4
1597518151,2,0
1597520061,0,1
1597522136,3,2
1597524040,0,2
1597525934,3,0
1597527859,0,1
1597529800,3,0
1597533640,1,2
1597535539,1,0
1597537459,2,0
1597539401,2,0
1597541295,0,2
1597543332,1,3
1597547052,1,5
1597548981,2,1
1597550923,0,2
1597552823,2,1
1597556666,1,1
1597558576,3,2
1597560554,0,1
1597562421,2,2
1597564358,0,4
1597566283,0,1
1597568186,1,1
1597570093,1,3
1597572168,2,1
1597574167,0,3
1597576090,2,1
1597578039,1,0
1597579939,1,4
1597583799,2,3
1597585965,1,1
1597587854,5,0
1597599370,2,0
1597601319,0,1
1597605169,0,2
1597607081,3,1
1597608969,0,3
1597610892,0,1
1597612840,3,3
1597614937,0,1
1597616887,0,2
1597619786,2,1
1597621722,1,1
1597623614,0,2
1597625534,0,2
1597627483,1,0
1597629383,2,0
1597631295,0,1
1597633407,0,1
1597635396,2,2
1597637288,3,0
1597639210,1,2
1597643050,1,1
1597644967,0,3
1597646913,1,0
1597648849,1,2
1597650727,2,0
1597652677,1,0
1597654571,3,1
1597656491,0,1
1597659607,5,2
1597661528,3,0
1597663479,1,3
1597665369,2,0
1597667307,1,1
1597670420,2,2
1597672329,2,2
1597674278,2,5
1597678089,1,0
1597680088,1,0
1597681931,3,0
1597686013,2,2
1597689887,2,0
1597691776,1,0
1597693721,5,4
1597695624,1,0
1597697530,4,1
1597699534,0,3
1597701402,2,0
1597707397,0,2
1597709301,3,1
1597713197,0,1
1597715084,2,2
1597720813,2,1
1597722758,2,1
1597724651,0,3
1597726576,0,1
1597728519,3,0
1597731397,2,1
1597733305,1,1
1597735214,1,1
1597737160,3,2
1597739055,0,1
1597740984,1,3
1597742928,1,0
1597744898,1,4
1597746749,0,3
1597748680,1,1
1597750576,3,2
1597752530,1,2
1597754417,1,2
1597756335,2,0
1597758280,2,0
1597760197,2,4
1597764046,1,0
1597765937,4,2
1597767906,0,3
1597769793,2,0
1597773732,2,2
1597775536,2,0
1597777470,2,2
1597779408,3,3
1597781304,0,2
1597783217,2,2
1597785164,3,3
1597787060,1,0
1597788978,2,2
1597790926,2,0
1597796680,1,3
1597798576,1,0
1597802602,2,2
1597806768,4,1
1597808681,1,3
1597810575,1,0
1597814415,1,2
1597816334,0,2
1597818297,1,2
1597820176,1,0
1597822111,1,2
1597824135,1,2
1597826198,1,0
1597828125,3,1
1597830012,3,2
1597835775,0,1
1597837724,0,3
1597839614,2,1
1597841534,0,1
1597843484,2,4
1597847294,2,2
1597849326,0,1
1597851135,0,3
1597853059,0,1
1597855008,3,0
1597856896,0,2
1597858830,2,0
1597860770,6,1
1597862662,15,3
1597864587,17,3
1597866522,6,1
1597868411,0,2
1597870337,1,1
1597872173,2,0
1597874206,1,3
1597876099,3,0
1597879246,1,2
1597881138,1,0
1597883057,3,1
1597884999,1,1
1597886914,3,0
1597890038,0,2
1597891932,0,3
1597893850,1,1
1597895797,1,1
1597897689,0,1
1597901559,0,1
1597903737,2,0
1597905611,4,1
1597907530,0,1
1597909498,1,1
1597911412,0,2
1597913290,1,2
1597915239,2,2
1597917139,0,2
1597919056,4,0
1597920999,3,0
1597922892,2,0
1597924912,2,1
1597926780,6,1
1597928694,3,0
1597930577,4,2
1597932548,1,2
1597934416,1,0
1597936333,2,0
1597938283,3,0
1597940175,3,0
1597942139,0,3
1597944012,1,0
1597945933,0,3
1597947890,4,11
1597949773,2,25
1597951691,2,5
1597953700,2,2
1597955607,3,0
1597957726,1,3
1597959612,1,1
1597961529,3,3
1597963481,3,1
1597965370,2,0
1597967536,2,1
1597969457,2,3
1597971399,1,1
1597973302,2,3
1597979301,4,1
1597981219,0,1
1597983166,2,0
1597988927,0,2
1597990818,0,2
1597992737,2,2
1597994683,1,1
1598000532,3,2
1598002636,3,1
1598004525,3,4
1598006415,1,2
1598008364,8,3
1598010256,2,1
1598012173,4,3
1598014118,4,4
1598016017,1,2
1598017934,2,4
1598019890,1,0
1598021779,3,3
1598023981,0,2
1598026101,3,4
1598028011,1,0
1598029934,1,1
1598033799,3,4
1598035704,4,2
1598037614,1,2
1598039561,2,2
1598041450,4,3
1598043371,2,0
1598045321,0,1
1598047242,3,2
1598049136,1,3
1598051146,2,3
1598053141,0,2
1598055139,1,3
1598057078,1,1
1598058969,2,2
1598062844,1,0
1598064733,3,2
1598066649,1,2
1598070581,0,2
1598072535,2,0
1598074598,1,0
1598078416,0,1
1598080368,1,2
1598082254,1,0
1598084169,2,0
1598086130,0,4
1598088010,1,3
1598089947,3,1
1598091900,2,2
1598093777,0,4
1598095691,0,6
1598097788,4,2
