DateTime,Entries,UniqueIPs
1597631296,1958,1958
1597633454,1952,1952
1597635397,1952,1952
1597637289,1967,1967
1597639223,1963,1963
1597641162,1965,1965
1597643051,1973,1973
1597644968,1976,1976
1597646915,1976,1976
1597648851,1982,1982
1597650728,1989,1989
1597652701,2002,2002
1597654573,2009,2009
1597656493,1988,1988
1597659608,1985,1985
1597661530,1995,1995
1597663481,1983,1983
1597665370,1971,1971
1597667308,1967,1967
1597670421,1971,1971
1597672331,1962,1962
1597674279,1949,1949
1597676170,1941,1941
1597678091,1942,1942
1597680147,1942,1942
1597682197,1942,1942
1597684100,1943,1943
1597686015,2006,2006
1597687964,2018,2018
1597689899,2026,2026
1597691777,2030,2030
1597693723,2026,2026
1597695625,2036,2036
1597697531,1804,1804
1597699535,1808,1808
1597701404,1809,1809
1597703292,1826,1826
1597705343,1842,1842
1597707399,1858,1858
1597709302,1851,1851
1597711216,1878,1878
1597713221,1894,1894
1597715169,1891,1891
1597717023,1892,1892
1597718915,1899,1899
1597720814,1909,1909
1597722760,1913,1913
1597724653,1912,1912
1597726578,1909,1909
1597728521,1919,1919
1597730535,1913,1913
1597732377,1918,1918
1597734285,1910,1910
1597736169,1940,1940
1597738336,1944,1944
1597740267,1935,1935
1597742200,1932,1932
1597744093,1937,1937
1597746011,1940,1940
1597747961,1946,1946
1597749855,1948,1948
1597751804,1956,1956
1597753694,1964,1964
1597756589,1981,1981
1597758493,1972,1972
1597760680,1975,1975
1597762629,1986,1986
1597764520,1996,1996
1597766569,2017,2017
1597768599,2027,2027
1597770503,2025,2025
1597772413,1966,1966
1597774374,1953,1953
1597776269,1962,1962
1597778177,1950,1950
1597780121,1950,1950
1597782020,1931,1931
1597783945,1949,1949
1597785879,1949,1949
1597787784,1952,1952
1597789699,1937,1937
1597791754,1930,1930
1597793793,1912,1912
1597795704,1888,1888
1597797611,1871,1871
1597799557,1875,1875
1597801453,1863,1863
1597803625,1898,1898
1597805536,1899,1899
1597807480,1887,1887
1597809371,1886,1886
1597811297,1885,1885
1597814418,1882,1882
1597816335,1894,1894
1597818298,1894,1894
1597820178,1893,1893
1597822136,1875,1875
1597824150,1883,1883
1597826199,1881,1881
1597828128,1882,1882
1597830014,1874,1874
1597831960,1866,1866
1597833856,1885,1885
1597835777,1883,1883
1597837725,1906,1906
1597839616,1922,1922
1597841535,1920,1920
1597843485,2136,2136
1597845374,2130,2130
1597847295,2129,2129
1597849336,2123,2123
1597851137,2113,2113
1597853078,2114,2114
1597855009,2127,2127
1597856897,2127,2127
1597858832,2134,2134
1597860773,2158,2158
1597862663,2162,2162
1597864588,2189,2189
1597866523,2196,2196
1597868413,2201,2201
1597870340,2201,2201
1597872174,2202,2202
1597874207,2197,2197
1597876100,2220,2220
1597878111,2235,2235
1597879970,2229,2229
1597881889,2238,2238
1597883789,2241,2241
1597885737,2243,2243
1597887610,2247,2247
1597889533,2208,2208
1597891480,2196,2196
1597893375,2198,2198
1597895533,2210,2210
1597897456,2208,2208
1597899401,2204,2204
1597901291,2192,2192
1597903335,2177,2177
1597905197,2172,2172
1597907058,2175,2175
1597908969,2146,2146
1597910921,2136,2136
1597912814,2152,2152
1597914735,2150,2150
1597916692,2153,2153
1597918572,2141,2141
1597920490,2142,2142
1597922449,2148,2148
1597924337,2118,2118
1597926265,2118,2118
1597928187,2107,2107
1597930130,1882,1882
1597932170,1889,1889
1597934193,1918,1918
1597936122,1908,1908
1597938008,1916,1916
1597939933,1906,1906
1597941875,1900,1900
1597943771,1907,1907
1597945729,1913,1913
1597947618,1893,1893
1597949529,1880,1880
1597951480,1889,1889
1597953369,1885,1885
1597955287,1891,1891
1597957324,1884,1884
1597959160,1877,1877
1597961056,1863,1863
1597962966,1866,1866
1597964939,1867,1867
1597966810,1858,1858
1597968735,1874,1874
1597970679,1871,1871
1597972569,1863,1863
1597974521,1855,1855
1597976422,1853,1853
1597978358,1846,1846
1597980281,1838,1838
1597982175,1824,1824
1597984088,1819,1819
1597986078,1816,1816
1597987927,1825,1825
1597989761,1820,1820
1597991807,1825,1825
1597993693,1815,1815
1597995611,1846,1846
1597997576,1847,1847
1597999450,1849,1849
1598001375,1862,1862
1598003362,1874,1874
1598005299,1873,1873
1598007134,1866,1866
1598009077,1871,1871
1598011049,1874,1874
1598012896,1869,1869
1598014903,1880,1880
1598016734,1872,1872
1598018678,1867,1867
1598020600,1830,1830
1598022492,1832,1832
1598024407,1833,1833
1598026369,1826,1826
1598028480,1834,1834
1598030407,1844,1844
1598032357,1837,1837
1598034248,1847,1847
1598036170,1841,1841
1598038114,1832,1832
1598040998,1820,1820
1598042892,1827,1827
1598044818,1834,1834
1598046814,1840,1840
1598048653,1842,1842
1598050668,1851,1851
1598052768,1852,1852
1598055647,1841,1841
1598057530,1850,1850
