DateTime,AddedIPs,RemovedIPs
1587479540,13,8
1587501382,19,12
1587523460,3,8
1587545538,11,7
1587567378,8,12
1587600267,2,19
1587622333,14,6
1587644426,7,14
1587666536,10,13
1587688377,19,5
1587710417,10,3
1587732502,5,8
1587754608,12,10
1587776588,7,7
1587798524,5,3
1587820576,5,4
1587842669,8,9
1587864740,7,5
1587886620,6,0
1587908481,7,10
1587930499,3,7
1587952344,7,11
1587974205,3,23
1588007319,27,75
1588029370,21,30
1588051219,20,7
1588073097,12,19
1588095146,4,8
1588117216,7,12
1588139064,9,4
1588161143,12,5
1588182996,7,3
1588216135,8,7
1588238176,7,12
1588260024,10,9
1588281864,9,22
1588303937,10,8
1588325783,8,4
1588347857,12,7
1588369930,17,13
1588391779,7,4
1588413671,13,3
1588435546,6,7
1588457551,17,6
1588479628,9,5
1588501472,9,8
1588523544,6,5
1588545388,9,4
1588567456,6,7
1588589548,7,3
1588611784,7,29
1588633698,4,22
1588655570,8,18
1588677615,5,13
1588699459,6,6
1588721535,8,12
1588743615,3,8
1588765463,7,11
1588787306,10,8
1588809375,9,2
1588831273,5,10
1588853305,7,9
1588875150,9,7
1588897210,4,8
1588919075,6,8
1588941152,12,7
1588963211,1,8
1588985053,9,21
1589006899,3,9
1589028972,7,11
1589050937,7,9
1589072904,11,10
1589095000,7,9
1589117077,10,7
1589139137,6,11
1589160985,10,7
1589182862,4,7
1589204927,3,6
1589226984,2,6
1589248967,3,11
1589270905,6,7
1589292974,7,10
1589314829,4,9
1589336896,14,13
1589358981,19,13
1589381059,13,12
1589403132,11,17
1589424974,6,15
1589457900,11,11
1589479954,22,8
1589501824,23,6
1589523859,14,7
1589545963,9,12
1589568014,16,4
1589589876,7,9
1589611958,7,5
1589634209,7,9
1589656345,15,7
1589678488,9,13
1589700501,6,8
1589722354,10,10
1589744475,6,3
1589766491,5,11
1589788371,6,3
1589810473,8,3
1589832564,6,3
1589854843,6,4
1589876688,4,5
1589898733,8,12
1589920587,8,9
1589942659,6,13
1589964745,7,18
1589986906,10,14
1590009441,4,9
1590031335,502,3
1590053293,7,6
1590075134,5,18
1590096994,12,15
1590118892,6,17
1590141228,11,17
1590163276,14,6
1590185568,7,7
1590207610,8,8
1590229497,12,7
1590251565,15,6
1590273611,11,26
1590295467,3,3
1590317539,8,3
1590339685,6,7
1590361750,4,2
1590383783,6,5
1590405624,4,8
1590427704,9,1
1590449773,8,9
1590471617,6,3
1590493548,10,8
1590515530,10,4
1590537401,10,5
1590559306,9,8
1590581295,34,6
1590603218,10,6
1590625262,11,8
1590647295,6,7
1590669151,13,4
1590691215,11,2
1590713322,8,12
1590735373,8,7
1590757452,7,11
1590779299,6,6
1590801161,11,3
1590823250,9,8
1590845112,11,19
1590867139,2,501
1590888991,8,10
1590911022,4,6
1590932892,4,4
1590954969,9,5
1590977112,3,3
1590999147,2,4
1591021228,5,5
1591043074,6,10
1591065147,6,5
1591087211,8,7
1591109057,3,6
1591130923,11,6
1591152974,6,18
1591174882,5,38
1591196982,21,11
1591218969,8,10
1591240811,3,15
1591262663,9,9
1591284746,10,4
1591306816,4,6
1591328666,4,7
1591350730,19,4
1591372583,4,11
1591394516,3,18
1591416506,8,6
1591438348,7,9
1591460410,7,14
1591482262,6,12
1591504333,6,11
1591526182,3,5
1591548029,8,5
1591570088,9,7
1591591937,9,7
1591613784,11,4
1591646677,14,10
1591668762,8,6
1591690883,516,6
1591712897,13,5
1591734981,11,13
1591757067,12,6
1591779136,7,6
1591812282,18,32
1591834332,9,7
1591856431,15,7
1591878495,8,9
1591900340,10,5
1591922180,14,5
1591944021,8,8
1591966134,11,16
1591988196,2,4
1592010134,5,7
1592032127,4,5
1592054173,10,16
1592076271,10,6
1592098334,8,7
1592120198,5,2
1592142571,6,4
1592164426,13,7
1592197468,6,12
1592219317,14,6
1592241429,7,8
1592263451,6,4
1592285301,6,5
1592307405,6,499
1592329454,13,8
1592351307,15,11
1592373383,3,8
1592395260,11,11
1592417300,13,8
1592439142,9,5
1592461218,15,12
1592483070,15,13
1592505179,9,10
1592527230,11,16
1592549112,15,9
1592571129,14,12
1592592996,8,4
1592614906,16,9
1592636889,3,2
1592658752,9,10
1592680592,8,8
1592702455,5,9
1592724488,6,9
1592746336,1,5
1592768196,12,10
1592790250,13,4
1592812093,11,10
1592834214,16,11
1592856272,7,4
1592878121,5,8
1592900185,10,3
1592922285,11,17
1592944333,11,10
1592966176,9,8
1592988307,7,9
1593010333,7,10
1593032194,6,11
1593054120,6,11
1593076123,12,13
1593098176,9,8
1593120271,7,10
1593142344,8,17
1593164411,9,12
1593186289,46,7
1593208331,60,19
1593230607,14,10
1593252577,14,4
1593274596,15,7
1593296655,17,7
1593318750,12,9
1593340843,10,6
1593362914,19,10
1593384973,15,7
1593406965,9,9
1593428912,6,13
1593450764,9,10
1593472828,7,6
1593494684,5,6
1593516737,10,19
1593538609,7,7
1593560679,9,9
1593582772,8,11
1593616125,7,11
1593638177,10,13
1593660030,8,6
1593681893,12,9
1593703957,15,8
1593726026,8,8
1593748094,10,13
1593770199,7,11
1593802987,11,75
1593824889,6,41
1593846768,11,6
1593868611,7,19
1593890464,7,27
1593912492,7,10
1593934335,9,8
1593956201,22,12
1593978283,12,20
1594000171,7,16
1594022231,10,8
1594044168,2,7
1594066098,11,6
1594088182,7,8
1594110079,5,5
1594132094,5,9
1594153991,10,7
1594176059,3,12
1594198092,5,7
1594219947,2,5
1594242208,9,9
1594264133,6,10
1594286182,7,13
1594308259,3,15
1594330342,10,9
1594352196,8,12
1594374049,5,12
1594396365,8,11
1594418531,14,7
1594440500,10,10
1594462366,9,14
1594484428,11,10
1594506285,6,6
1594528341,12,7
1594550183,9,10
1594572255,7,23
1594594121,12,9
1594616198,11,6
1594649064,44,13
1594670927,8,9
1594692775,8,5
1594714818,9,5
1594736684,6,3
1594758764,5,6
1594780605,23,8
1594802654,6,4
1594824777,7,3
1594847053,5,11
1594868920,3,7
1594890767,7,7
1594912973,10,3
1594934888,11,9
1594956759,14,5
1594978819,5,7
1595000921,11,8
1595022966,5,10
1595044845,10,11
1595066902,4,9
1595088762,8,10
1595110808,4,6
1595132658,10,10
1595154730,3,7
1595176815,5,12
1595198929,3,12
1595220977,5,11
1595242927,9,34
1595265147,8,15
1595287223,3,13
1595309090,6,10
1595331136,5,3
1595352998,7,10
1595375103,4,14
1595397135,11,16
1595419380,6,7
1595441321,5,6
1595463172,12,6
1595485210,6,4
1595507081,8,6
1595529136,12,6
1595550999,12,12
1595573067,9,11
1595594925,8,7
1595617011,7,10
1595638903,7,5
1595660902,12,4
1595682763,9,7
1595704809,10,6
1595726685,2,8
1595748734,3,10
1595770580,13,2
1595792432,10,6
1595814287,7,7
1595836335,5,10
1595858205,11,5
1595880278,14,5
1595902382,9,4
1595924433,9,10
1595946437,34,5
1595968341,11,8
1595990429,8,7
1596012297,8,6
1596034371,6,4
1596067486,5,14
1596089343,4,5
