DateTime,AddedIPs,RemovedIPs
1596179544,0,1
1596191050,0,1
1596200635,1,0
1596204301,1,0
1596206195,0,1
1596208158,1,0
1596210014,1,0
1596223526,0,2
1596227319,0,1
1596243131,1,2
1596251029,0,1
1596253003,1,0
1596260684,0,1
1596285856,1,1
1596287777,1,0
1596291619,0,1
1596293541,0,1
1596297406,0,1
1596309217,1,0
1596329563,0,1
1596339181,0,1
1596344938,2,0
1596370339,1,0
1596372286,0,1
1596374177,0,1
1596397217,2,0
1596410651,1,0
1596421471,1,0
1596431056,0,2
1596434936,1,0
1596438732,0,1
1596440685,1,0
1596448602,1,0
1596452512,1,0
1596454374,1,0
1596456546,0,1
1596458417,1,0
1596471879,1,0
1596473804,1,0
1596481474,1,0
1596483376,0,2
1596492976,1,0
1596496862,0,1
1596498743,1,0
1596504493,1,0
1596509251,1,1
1596511256,1,0
1596523216,1,1
1596527109,0,1
1596536656,2,0
1596538603,0,1
1596540517,0,1
1596544997,0,1
1596554676,2,0
1596558521,1,0
1596562392,1,0
1596566184,1,0
1596568171,1,0
1596579650,0,1
1596581536,1,0
1596585410,0,1
1596587306,2,0
1596589402,1,1
1596597131,0,1
1596599082,0,1
1596606732,1,0
1596610961,0,1
1596613072,1,0
1596614898,1,0
1596616813,1,0
1596618775,0,1
1596620667,1,0
1596622652,0,2
1596632292,0,1
1596634126,1,0
1596637007,0,1
1596640814,0,1
1596642771,0,1
1596646588,0,1
1596648528,0,1
1596652608,0,2
1596654565,0,1
1596656423,1,0
1596662178,1,0
1596667950,1,1
1596673694,0,2
1596675857,0,1
1596683564,1,0
1596685461,1,0
1596693152,0,1
1596696993,1,0
1596698893,0,1
1596700967,0,1
1596703006,0,1
1596706841,0,1
1596712772,1,0
1596714768,1,0
1596720522,0,1
1596742572,1,1
1596744523,1,0
1596748334,2,1
1596754093,0,1
1596759854,2,0
1596761801,1,0
1596771372,0,2
1596779347,1,0
1596783131,0,1
1596786970,1,0
1596791769,1,0
1596799484,0,1
1596801372,1,1
1596810976,1,0
1596822504,1,0
1596826329,2,0
1596832089,2,1
1596834108,0,1
1596835964,0,1
1596841975,2,0
1596845794,0,1
1596847724,0,2
1596865932,0,1
1596873663,0,1
1596878407,0,1
1596880356,1,0
1596888125,0,1
1596889932,1,0
1596891770,1,0
1596893918,1,0
1596895965,1,0
1596897852,0,1
1596901729,0,1
1596907481,0,1
1596911299,0,1
1596913403,2,1
1596917301,0,1
1596926922,1,0
1596928809,0,2
1596932681,1,0
1596936494,1,0
1596944417,1,0
1596950175,1,0
1596952121,1,0
1596959770,1,0
1596965803,0,1
1596969615,1,0
1596973454,1,0
1596975383,0,1
1596979215,1,2
1596982842,0,1
1596990489,0,1
1596992461,1,0
1596998197,1,1
1597000093,0,1
1597002007,1,0
1597003960,1,0
1597007772,1,0
1597013532,0,1
1597015480,1,0
1597021355,1,1
1597027235,1,0
1597032973,1,0
1597036814,0,1
1597038735,0,1
1597040680,3,0
1597046528,1,1
1597048603,1,0
1597056254,6,1
1597060129,0,1
1597063945,0,1
1597075469,1,0
1597077371,0,1
1597079316,1,0
1597081215,1,0
1597083161,0,1
1597085081,2,0
1597088899,0,1
1597094689,0,1
1597102503,0,2
1597104534,1,0
1597108336,0,1
1597112174,1,1
1597117933,1,0
1597119855,0,1
1597123697,1,0
1597126582,0,1
1597128518,0,2
1597130461,2,0
1597132334,0,1
1597134257,0,1
1597142169,0,1
1597146013,1,0
1597147936,1,0
1597161131,1,1
1597168998,1,1
1597171005,0,2
1597180580,1,0
1597190174,2,1
1597197798,0,1
1597201701,1,0
1597205569,0,1
1597211319,0,1
1597217082,0,2
1597226898,1,0
1597228818,1,0
1597230770,1,0
1597232649,0,1
1597236490,0,5
1597240334,1,0
1597244199,2,0
1597246118,1,0
1597254778,1,0
1597256659,0,2
1597260495,1,0
1597262559,1,0
1597268172,2,1
1597270161,1,0
1597275921,0,1
1597279702,1,1
1597283532,1,0
1597287400,1,1
1597289321,1,0
1597291275,3,0
1597295328,1,0
1597299155,1,0
1597301089,1,0
1597302973,1,0
1597304892,0,1
1597306840,1,0
1597308729,1,0
1597310683,2,0
1597312623,1,1
1597314508,1,1
1597317368,1,2
1597323126,1,0
1597327001,0,1
1597328889,0,1
1597330947,0,2
1597332761,1,1
1597334654,1,0
1597342330,0,1
1597346311,0,1
1597348365,1,1
1597350259,1,0
1597354125,0,2
1597356174,0,1
1597359896,1,0
1597365615,1,0
1597367568,2,1
1597369452,1,1
1597375210,1,2
1597377129,0,1
1597379102,1,0
1597380971,0,2
1597382888,2,0
1597384940,0,2
1597386999,0,1
1597388899,0,1
1597390813,0,1
1597394653,0,1
1597396572,0,2
1597398518,0,1
1597400411,1,1
1597404284,0,1
1597408090,2,0
1597410125,0,1
1597417719,1,0
1597419611,1,2
1597425372,1,0
1597431059,1,0
1597433115,1,1
1597434990,1,1
1597437135,0,1
1597442893,1,0
1597444812,1,0
1597446762,0,1
1597448654,1,0
1597452527,0,3
1597454414,2,0
1597462120,0,1
1597465929,0,1
1597469770,0,2
1597471692,2,1
1597481294,1,0
1597485132,1,0
1597487057,0,1
1597490900,1,0
1597494996,0,2
1597504751,0,2
1597510572,1,0
1597512489,0,1
1597516334,0,1
1597518157,1,0
1597520064,0,1
1597522139,0,1
1597529802,0,2
1597535541,1,1
1597541298,0,2
1597545372,1,0
1597554984,1,0
1597556916,0,1
1597558809,1,1
1597568524,0,1
1597572178,1,1
1597576094,1,0
1597578042,0,1
1597595588,0,1
1597601321,1,0
1597605170,0,1
1597612843,2,0
1597621726,0,1
1597631298,1,0
1597633495,0,1
1597641164,0,1
1597644970,1,1
1597646917,2,0
1597660597,1,0
1597662500,0,1
1597668250,1,0
1597670190,1,0
1597685814,1,0
1597687704,0,1
1597693449,1,0
1597699207,0,2
1597711002,1,0
1597716739,0,1
1597720595,2,0
1597726357,1,0
1597730170,1,1
1597734091,0,2
1597737942,3,0
1597745535,0,1
1597747450,0,1
1597751293,1,0
1597753248,0,1
1597757050,1,1
1597762917,1,0
1597772440,0,1
1597774376,1,0
1597780123,0,1
1597791791,1,0
1597795706,0,1
1597797613,1,0
1597799558,1,0
1597801454,1,0
1597803627,3,0
1597805538,1,2
1597811299,0,1
1597817059,1,1
1597824758,0,2
1597828816,2,0
1597830754,1,0
1597832707,1,0
1597836492,0,1
1597844202,0,1
1597850175,0,1
1597854017,1,0
1597861933,0,1
1597869639,1,0
1597872176,1,0
1597878161,0,1
1597883790,0,1
1597885738,0,1
1597887612,0,1
1597889535,0,1
1597891481,0,1
1597893376,0,1
1597895537,0,1
1597897458,1,0
1597903349,1,1
1597910922,1,0
1597914737,0,1
1597916694,1,2
1597920491,0,1
1597924339,1,0
1597932175,1,0
1597939936,0,1
1597941877,2,0
1597951482,1,0
1597959162,0,1
1597966815,1,0
1597968737,1,0
1597970680,1,1
1597972571,0,1
1597980283,1,0
1597982179,1,0
1597984089,0,1
1597987208,1,0
1597989175,0,1
1597994901,1,0
1597997776,0,1
1598001610,0,1
1598007930,1,0
1598013613,1,0
1598019371,0,1
1598021317,1,0
1598028969,0,2
1598036704,0,1
1598052300,0,1
1598054257,0,1
1598056091,1,1
1598059961,1,0
1598061910,1,0
1598063809,1,0
1598065729,0,1
1598067636,2,0
1598069533,0,1
1598073409,0,1
1598075316,1,1
1598084891,1,0
1598089715,1,0
1598095478,0,1
1598099542,0,1
1598107214,0,1
1598112972,1,0
1598120683,1,0
1598130250,1,0
1598136011,1,0
1598142009,1,0
1598143931,0,1
1598145880,0,1
1598147771,0,1
1598149694,0,1
1598151697,2,0
1598153531,1,1
1598155455,0,1
1598161208,0,1
1598166974,1,0
1598170812,1,1
1598176572,0,1
1598182599,1,0
1598204239,0,1
1598206151,1,0
1598208017,0,1
1598211864,0,1
1598215728,0,1
1598223862,0,1
1598227738,0,1
1598235384,1,0
1598237332,1,1
1598239215,0,2
1598243084,1,0
1598248945,1,0
1598256497,0,1
1598260391,1,0
1598269937,0,1
1598281696,0,1
1598289770,1,0
1598293468,0,1
1598311746,1,0
1598323459,0,1
1598329231,0,1
1598331132,1,0
1598334977,0,1
1598336891,1,0
1598344818,1,0
1598346760,0,1
1598356334,1,0
1598358278,2,0
1598375821,0,1
1598389477,1,0
1598397380,0,1
1598403132,0,1
1598408915,1,0
1598418769,0,1
1598422609,1,0
1598424519,0,1
1598432195,0,1
1598434115,1,0
1598443703,1,2
1598445670,1,1
1598447576,1,0
1598449459,1,0
1598464013,1,0
1598466024,1,0
1598472157,1,0
1598475855,0,1
1598477772,1,0
1598481695,1,0
1598494937,0,1
1598504581,1,0
1598508280,0,1
1598512126,1,0
1598514017,1,0
1598519809,0,1
1598529805,1,1
1598531802,0,1
1598533695,0,1
1598535909,0,1
1598549326,3,0
1598551354,1,1
1598553168,0,1
1598558957,1,1
1598566603,0,1
1598574254,1,0
1598576205,1,0
1598589661,0,1
1598597327,1,1
1598599317,0,1
1598601195,1,0
1598603126,1,0
