DateTime,AddedIPs,RemovedIPs
1595727852,0,1
1595731728,0,1
1595733629,0,1
1595739368,0,1
1595745408,0,1
1595747301,1,0
1595758822,2,0
1595768683,0,2
1595770583,0,1
1595772570,1,1
1595795771,1,0
1595807334,1,0
1595809464,1,0
1595816476,2,0
1595824123,1,0
1595833965,1,1
1595835858,1,0
1595841622,1,0
1595845498,0,2
1595849326,2,0
1595851418,1,0
1595853373,1,0
1595857214,1,0
1595859140,1,1
1595867089,2,0
1595875044,1,0
1595880769,0,1
1595894192,0,1
1595896108,0,1
1595900202,0,1
1595902110,0,1
1595909790,0,1
1595921317,0,1
1595923378,1,1
1595929006,1,1
1595934768,1,1
1595936655,0,2
1595938828,0,1
1595940763,1,0
1595942713,0,1
1595946534,0,1
1595948625,1,0
1595950611,1,0
1595952502,2,0
1595954417,0,2
1595958277,1,0
1595960222,1,1
1595962181,1,0
1595964013,1,0
1595998924,1,0
1596010332,0,1
1596012298,1,0
1596016091,0,1
1596019930,0,1
1596025938,1,0
1596027909,0,1
1596033651,1,0
1596035538,0,1
1596037458,0,1
1596039408,0,2
1596045168,0,1
1596047060,0,1
1596048974,0,1
1596050919,2,1
1596060535,1,0
1596072042,1,0
1596077779,1,0
1596085730,0,1
1596097246,0,1
1596110922,0,1
1596114730,1,0
1596116689,1,0
1596120748,0,1
1596137102,0,2
1596140893,1,0
1596143009,1,0
1596145005,1,0
1596146896,0,1
1596148815,1,0
1596158411,0,1
1596164176,0,1
1596176933,1,0
1596180016,1,0
1596197331,1,0
1596199211,1,0
1596201132,0,1
1596203087,0,1
1596208846,1,0
1596212684,1,0
1596214574,1,0
1596230203,0,3
1596234015,0,2
1596260416,1,0
1596262614,0,1
1596264610,0,1
1596276166,1,0
1596283965,0,1
1596285856,0,1
1596295466,0,1
1596297407,1,1
1596301379,0,1
1596309217,1,0
1596316813,1,0
1596320811,1,0
1596332443,1,0
1596338175,1,0
1596345884,0,1
1596362732,1,1
1596376099,1,0
1596379935,1,0
1596383807,0,1
1596385703,1,0
1596395801,1,1
1596403455,0,1
1596405486,1,0
1596407293,0,1
1596410453,1,0
1596418099,0,1
1596424848,0,1
1596444286,2,0
