DateTime,AddedIPs,RemovedIPs
1597635400,8,16
1597637292,11,8
1597639226,7,9
1597641165,5,3
1597643054,11,3
1597644972,10,10
1597646918,14,6
1597648855,8,8
1597650731,9,7
1597652708,8,6
1597654576,6,9
1597656496,9,14
1597658669,6,3
1597660599,11,10
1597662518,9,5
1597664416,6,10
1597666360,4,6
1597668251,10,9
1597670191,3,7
1597672123,10,6
1597674019,6,9
1597675946,8,6
1597677880,8,7
1597679788,4,6
1597681692,2,1
1597683790,9,10
1597685816,11,9
1597687706,15,7
1597689612,3,8
1597691559,11,6
1597693451,5,10
1597695376,9,9
1597697319,13,15
1597699237,10,6
1597701130,13,8
1597703115,12,10
1597704999,8,10
1597706894,12,6
1597709039,13,9
1597711028,8,14
1597712929,14,7
1597714812,12,9
1597716740,18,10
1597718654,8,4
1597720597,8,9
1597722490,9,3
1597724414,8,11
1597726358,6,8
1597728254,9,10
1597730173,12,12
1597732124,5,8
1597734161,8,15
1597736171,13,10
1597738349,8,7
1597740268,12,7
1597742203,16,10
1597744096,12,8
1597746013,3,5
1597747962,8,8
1597749856,7,9
1597751807,14,3
1597753697,7,7
1597755714,9,8
1597757557,8,11
1597759481,10,4
1597761398,16,9
1597763300,13,9
1597765218,22,5
1597767161,9,4
1597769057,5,6
1597770976,7,6
1597772926,3,10
1597774820,7,14
1597776737,17,4
1597778683,3,10
1597780581,14,4
1597782537,11,9
1597784553,19,10
1597786595,14,13
1597788497,4,9
1597790412,5,10
1597792357,8,15
1597794257,10,5
1597796172,2,16
1597798117,5,11
1597800013,11,8
1597801928,6,14
1597803911,25,18
1597805776,8,7
1597807691,8,10
1597809687,6,10
1597811529,17,10
1597813463,4,4
1597815399,14,11
1597817290,15,12
1597819212,5,8
1597821158,9,11
1597823049,16,6
1597824972,7,8
1597826918,4,12
1597828817,11,17
1597830756,9,13
1597832708,13,4
1597834591,7,8
1597836496,9,6
1597838557,16,17
1597840608,9,5
1597842540,10,13
1597844409,9,5
1597846363,12,13
1597848256,14,12
1597850176,9,8
1597852123,12,21
1597854018,17,10
1597855938,4,8
1597857883,16,4
1597859774,6,1
1597861935,14,8
1597863890,3,15
1597865802,8,12
1597867721,14,8
1597869641,4,17
1597872177,10,17
1597874210,9,13
1597876103,7,7
1597878229,4,3
1597880174,8,11
1597882134,6,7
1597884011,1,6
1597885936,6,6
1597887881,5,7
1597889779,10,15
1597891693,15,16
1597893636,5,7
1597895539,13,9
1597897459,7,11
1597899404,8,3
1597901293,11,16
1597903351,13,18
1597905200,9,5
1597907063,9,8
1597908971,6,18
1597910925,7,5
1597912817,13,2
1597914738,6,10
1597916695,9,7
1597918575,6,12
1597920493,11,8
1597922452,4,7
1597924340,11,17
1597926274,12,10
1597928263,6,12
1597930133,10,7
1597932178,10,11
1597934196,12,7
1597936124,8,17
1597938014,7,10
1597939937,7,13
1597941878,7,6
1597943776,12,14
1597945732,5,6
1597947621,7,10
1597949534,10,5
1597951483,8,7
1597953375,12,18
1597955291,9,6
1597957377,3,3
1597959374,8,10
1597961333,6,9
1597963214,6,6
1597965131,9,5
1597967082,5,11
1597969238,7,3
1597971128,3,2
1597973079,4,4
1597974973,7,10
1597976914,4,11
1597978922,5,12
1597980762,2,5
1597982652,5,13
1597984599,7,10
1597986491,8,8
1597988415,5,16
1597990358,10,8
1597992250,4,6
1597994174,8,11
1597996124,5,3
1597998011,11,12
1597999945,9,10
1598001880,7,10
1598003824,7,7
1598006008,4,10
1598007931,11,10
1598009799,6,5
1598011694,4,6
1598013614,6,11
1598015563,2,9
1598017455,4,6
1598019372,11,9
1598021317,4,8
1598023232,9,10
1598025133,10,7
1598027083,12,5
1598028970,5,13
1598030921,13,6
1598032883,10,9
1598034733,7,9
1598036705,6,7
1598038572,8,12
1598040739,6,10
1598042655,5,8
1598044600,14,4
1598046494,18,7
1598048417,2,8
1598050362,12,8
1598052324,6,9
1598054259,3,6
1598056092,4,3
1598058094,4,1
1598059961,6,4
1598061938,5,9
1598063810,2,5
1598065730,13,5
1598067637,12,5
1598069534,11,4
1598071487,10,8
1598073411,8,6
1598075316,2,4
1598077211,7,9
1598079155,8,5
1598081109,8,8
1598082974,7,12
1598084892,8,9
1598087771,12,7
1598089716,18,10
1598091692,9,4
1598093534,10,5
1598095479,3,12
1598097392,9,1
1598099544,11,6
1598101474,5,5
1598103422,6,2
1598105296,6,10
1598107215,5,4
1598109162,5,10
1598111055,4,8
1598112973,10,3
1598114920,9,12
1598116841,3,11
1598118733,10,7
1598120683,3,11
1598122572,18,8
1598124491,5,11
1598127404,15,4
1598129319,2,8
1598131227,9,9
1598133131,3,20
1598135085,16,11
1598136977,12,6
1598138891,13,7
1598140994,4,4
1598143034,9,4
1598144895,10,7
1598146811,7,5
1598148760,9,4
1598150654,6,3
1598152570,9,12
1598154534,15,8
1598156416,3,8
1598158353,7,8
1598160279,3,6
1598162180,12,6
1598164089,7,8
1598166975,11,10
1598168954,12,10
1598170813,9,9
1598172733,13,7
1598174680,10,15
1598176573,8,15
1598178513,9,8
1598180534,11,8
1598182600,12,6
1598184785,4,11
1598186670,8,8
1598188611,9,6
1598190527,9,6
1598192414,3,7
1598194341,8,5
1598196299,11,5
1598198208,7,5
1598200374,8,13
1598202317,12,7
1598204241,6,9
1598206153,5,4
1598208019,19,10
1598209974,3,12
1598211865,6,14
1598213783,9,6
1598215730,11,5
1598217625,5,9
1598219492,6,2
1598221478,6,15
1598223370,2,10
1598225313,5,13
1598227396,3,3
1598229401,3,7
1598231314,3,11
1598233209,4,6
1598235208,9,10
1598237066,5,7
1598239004,6,9
1598240923,3,13
1598242813,1,3
1598244730,4,8
1598246680,7,4
1598248569,4,12
1598250489,12,5
1598252517,2,6
1598254331,4,5
1598256258,1,15
1598258198,5,7
1598260128,10,11
1598262012,8,12
1598263960,6,9
1598265850,6,7
1598267774,5,10
1598269722,3,8
1598271610,4,3
1598273532,5,10
1598275480,2,8
1598277370,2,6
1598279289,7,6
1598281317,6,8
1598283130,6,11
1598286014,7,13
1598287940,3,11
1598289771,2,8
1598291573,4,6
1598293469,4,18
1598295413,3,9
1598297306,5,3
1598300190,13,12
1598302105,7,10
1598304041,1,6
1598305939,10,6
1598307862,4,5
1598309842,3,5
1598311747,8,7
1598313895,5,3
1598315817,7,4
1598317698,8,3
1598319616,5,3
1598321564,6,8
1598323461,4,5
1598325387,8,6
1598327326,2,3
1598329233,8,1
1598331133,3,3
1598333084,4,7
1598334978,7,5
1598336892,4,13
1598339021,8,1
1598341000,8,5
1598342899,10,1
1598344820,12,7
1598346762,8,8
1598348657,13,8
1598350571,5,2
1598352568,6,5
1598354444,10,4
1598356335,5,2
1598358280,5,3
1598360177,9,5
1598362091,6,3
1598364170,9,3
1598366212,8,8
1598368101,10,4
1598370016,5,10
1598371978,8,3
1598373883,8,5
1598375824,5,2
1598377970,5,5
1598379857,7,4
1598381802,8,5
1598383730,10,5
1598385769,6,8
1598387571,10,11
1598389478,21,2
1598391417,8,5
1598393576,5,11
1598395467,7,2
1598397382,3,6
1598399323,6,6
1598401229,6,8
1598403134,6,9
1598405111,5,7
1598407013,7,7
1598408917,6,5
1598410970,4,7
1598413020,10,3
1598414914,5,7
1598416848,8,5
1598418770,4,3
1598420681,3,7
1598422611,4,6
1598424520,3,4
1598426420,6,8
1598428354,11,7
1598430327,9,7
1598432197,8,11
1598434117,14,5
1598436224,7,7
1598438171,6,2
1598440368,5,10
1598442268,9,9
1598444178,9,7
1598446125,10,6
1598448020,3,4
1598449933,7,6
1598451888,5,7
1598453780,10,12
1598455783,8,4
1598457823,17,8
1598459776,14,9
1598461768,2,10
1598464014,5,7
1598466026,5,4
1598468212,9,9
1598470094,6,11
1598472163,6,6
1598474017,4,14
1598475857,3,15
1598477773,7,7
1598479734,9,6
1598481697,2,8
1598483726,6,7
1598485702,7,6
1598487637,8,5
1598489529,7,5
1598491452,3,7
1598493396,2,7
1598495297,3,5
1598497265,2,6
1598499163,1,9
1598501051,8,6
1598502885,1,9
1598505080,6,7
1598507104,6,4
1598508973,4,4
1598510894,4,2
1598512834,5,6
1598514789,11,9
1598516853,14,11
1598519810,11,10
1598521691,6,6
1598523640,10,5
1598525539,10,0
1598527457,6,7
1598529810,13,11
1598531804,7,2
1598533696,11,5
1598535910,13,8
1598537780,11,4
1598539721,10,7
1598541618,6,11
1598543533,5,14
1598545471,3,14
1598547395,3,6
1598549327,5,7
1598551370,7,8
1598553170,7,6
1598555068,6,5
1598556977,3,6
1598558959,6,10
1598560826,2,5
1598562737,5,4
1598564747,2,14
1598566605,6,9
1598568500,1,6
1598570443,4,8
1598572353,7,5
1598574255,5,7
1598576207,2,9
1598578093,3,3
1598580098,9,3
1598581965,4,3
1598583858,4,2
1598585780,4,1
1598587727,2,7
1598589662,2,6
1598591545,0,2
1598593482,4,6
1598595387,11,5
1598597329,7,3
1598599318,6,1
1598601197,10,7
1598603127,7,12
1598605184,3,4
1598607162,5,6
1598609059,7,2
