DateTime,AddedIPs,RemovedIPs
1597587857,2,4
1597589838,0,3
1597591690,1,2
1597593778,2,1
1597595588,0,2
1597597466,2,0
1597599373,0,3
1597601322,2,0
1597603212,1,2
1597605171,0,1
1597607084,1,1
1597609002,0,2
1597610896,0,1
1597612843,1,1
1597615020,91,0
1597616889,33,1
1597619814,0,1
1597621727,2,1
1597623620,3,2
1597625540,2,1
1597627505,2,1
1597629388,2,1
1597631300,1,2
1597633542,1,3
1597635400,0,2
1597637293,2,2
1597641165,1,1
1597643055,1,1
1597646919,4,2
1597648856,2,1
1597650732,3,1
1597652712,2,1
1597656497,3,1
1597658691,1,5
1597660599,2,58
1597662519,2,0
1597664417,0,1
1597666360,1,1
1597668252,0,2
1597670192,2,3
1597672123,3,1
1597674020,1,2
1597675947,1,0
1597677881,1,1
1597679789,2,1
1597681692,0,1
1597683798,161,2
1597685816,2,0
1597687707,1,2
1597689613,2,1
1597691559,1,0
1597693452,1,1
1597695376,1,0
1597697319,7,0
1597699239,111,1
1597701130,2,54
1597703116,0,70
1597705000,2,0
1597706894,4,0
1597709052,2,4
1597711029,1,2
1597712960,0,1
1597714812,0,3
1597716741,1,1
1597718654,0,1
1597720597,0,1
1597722491,2,0
1597724414,1,2
1597726359,2,1
1597728255,3,0
1597730173,1,1
1597732125,2,1
1597734168,2,4
1597736171,4,4
1597738350,3,2
1597740269,1,0
1597742204,2,2
1597744097,2,2
1597746014,1,1
1597747963,1,3
1597749857,2,0
1597751809,1,0
1597753698,0,1
1597755722,2,2
1597757557,1,0
1597759482,1,4
1597761399,1,0
1597763300,3,2
1597765218,0,1
1597767162,0,1
1597769057,2,28
1597770977,0,134
1597772927,1,1
1597774821,2,2
1597776738,3,2
1597778683,1,1
1597780582,1,1
1597782538,1,0
1597784554,1,93
1597786595,2,27
1597788498,2,0
1597792358,0,4
1597794258,1,3
1597796173,1,2
1597798118,1,0
1597801928,1,1
1597803912,1,0
1597805777,2,0
1597807692,2,0
1597809712,74,3
1597811529,4,1
1597813346,0,2
1597815400,1,2
1597817290,0,1
1597819213,3,3
1597821158,5,3
1597823050,0,2
1597824973,1,3
1597826919,1,1
1597828818,2,2
1597830757,0,2
1597832709,4,1
1597834591,1,1
1597836497,1,2
1597838560,1,1
1597840609,1,0
1597842540,2,2
1597844409,1,1
1597846363,1,1
1597848256,1,2
1597850177,1,2
1597852123,3,0
1597854019,3,0
1597855939,0,2
1597857884,3,0
1597859774,4,2
1597861935,1,2
1597863892,0,2
1597865803,1,1
1597867722,1,1
1597869641,1,1
1597872178,1,2
1597874210,0,2
1597876103,1,1
1597880175,5,1
1597882135,1,1
1597884012,0,1
1597885936,2,0
1597887881,2,1
1597889779,0,1
1597891694,0,2
1597893637,3,2
1597895540,0,74
1597897460,3,4
1597899404,3,0
1597901294,0,1
1597905201,1,2
1597907063,2,6
1597908972,1,0
1597910925,0,1
1597914738,1,3
1597916696,2,0
1597918576,1,3
1597920494,1,1
1597922453,0,2
1597924341,1,1
1597926275,1,1
1597928283,163,1
1597930133,35,1
1597932179,1,2
1597934197,0,1
1597936125,1,1
1597938014,3,3
1597939938,3,2
1597941879,1,1
1597943777,3,1
1597945732,1,6
1597947622,1,1
1597949535,1,0
1597951484,1,0
1597953376,2,1
1597955291,4,2
1597957398,175,1
1597959375,87,0
1597963215,3,1
1597965132,6,0
1597967083,2,5
1597969239,0,1
1597971129,1,1
1597973080,7,2
1597974973,19,1
1597976915,7,0
1597978959,26,1
1597980762,18,2
1597982654,13,0
1597984600,14,4
1597986518,15,2
1597988417,2,0
1597990359,4,0
1597992251,2,1
1597994175,0,3
1597996125,1,0
1597998012,2,0
1597999947,0,1
1598001881,1,1
1598003825,1,1
1598006009,2,2
1598009800,2,1
1598011695,2,1
1598013615,2,28
1598015563,1,170
1598017455,1,0
1598019372,0,1
1598021318,3,0
1598023233,5,1
1598025134,4,4
1598027083,0,3
1598028970,2,3
1598030921,3,1
1598032931,2,0
1598034734,1,1
1598036707,1,1
1598038574,0,2
1598040740,2,3
1598042655,4,120
1598044600,0,89
1598046494,2,55
1598048418,2,0
1598050363,1,6
1598052350,30,4
1598054260,125,1
1598056093,42,0
1598058114,0,1
1598059962,1,15
1598061941,56,13
1598063812,3,12
1598065731,1,24
1598067638,1,18
1598069549,1,8
1598071489,1,17
1598073411,0,13
1598075317,0,1
1598077212,1,4
1598079157,2,2
1598081109,2,0
1598082976,1,2
1598084893,1,1
1598087772,0,1
1598089717,1,1
1598091693,1,1
1598093534,1,1
1598095480,1,1
1598097393,4,1
1598099545,2,3
1598101475,1,2
1598103423,0,1
1598105296,1,0
1598107216,4,3
1598109163,0,4
1598111056,3,5
1598114921,1,2
1598116845,2,2
1598118733,0,2
1598120684,3,2
1598122573,1,0
1598124491,1,1
1598126520,1,2
1598128336,0,3
1598130251,1,1
1598132200,1,1
1598134096,0,3
1598136012,1,1
1598139852,0,68
1598142011,2,129
1598143932,2,0
1598145881,0,1
1598147774,1,56
1598149695,0,2
1598151733,3,1
1598153802,0,2
1598155704,2,1
1598157618,0,1
1598159592,2,0
1598161458,2,0
1598163378,0,1
1598165333,1,2
1598167220,0,2
1598169147,1,1
1598171083,1,1
1598172978,1,0
1598174950,1,0
1598176952,1,1
1598179001,1,1
1598180897,0,1
1598182829,1,1
1598184786,63,5
1598186670,1,2
1598188611,2,0
1598190527,1,0
1598192414,2,1
1598194342,1,4
1598196300,2,0
1598198208,2,3
1598200375,4,0
1598202318,1,2
1598204241,2,1
1598206153,1,1
1598208020,1,3
1598209974,1,0
1598211865,0,1
1598213784,1,1
1598215730,1,0
1598217626,2,2
1598219497,224,0
1598221479,16,1
1598223372,1,0
1598225314,1,0
1598227399,1,2
1598229402,2,2
1598231314,1,0
1598233210,4,1
1598235209,1,0
1598237075,1,2
1598239005,1,1
1598240923,1,0
1598242814,0,2
1598244731,1,0
1598246680,5,3
1598248571,1,1
1598250489,2,0
1598252521,0,1
1598256258,1,1
1598258200,1,2
1598260129,5,0
1598262013,2,1
1598263961,0,1
1598265851,1,1
1598269723,3,1
1598271611,2,63
1598273532,1,2
1598275481,1,2
1598277371,1,1
1598279290,1,2
1598283130,3,3
1598285051,1,3
1598287007,3,2
1598288901,2,2
1598290841,0,1
1598292756,1,1
1598294691,1,1
1598296613,3,1
1598298506,3,0
1598300440,0,1
1598302331,1,1
1598304269,1,14
1598306207,1,226
1598308112,2,2
1598311027,3,2
1598313270,2,1
1598315140,2,2
1598316995,1,0
1598318897,1,4
1598321019,2,2
1598322999,1,1
1598325168,2,1
1598327072,3,1
1598330920,1,1
1598332816,4,2
1598334734,0,4
1598336686,1,2
1598340493,3,0
1598342589,2,1
1598344609,2,1
1598346493,0,4
1598348414,0,3
1598350358,1,0
1598352255,6,1
1598356146,1,3
1598358015,2,2
1598359936,1,1
1598361896,1,1
1598364171,2,1
1598366213,2,1
1598368102,1,1
1598370017,4,3
1598371979,0,2
1598373884,1,1
1598375824,3,2
1598377971,1,0
1598379857,0,1
1598381803,1,2
1598383730,1,3
1598385771,4,2
1598389524,0,1
1598391418,0,1
1598393576,1,3
1598395468,0,2
1598397383,0,1
1598399323,0,2
1598401230,6,1
1598403135,15,2
1598405112,2,1
