DateTime,AddedIPs,RemovedIPs
1597635401,104,49
1597637293,77,41
1597639227,65,52
1597641166,108,40
1597643056,53,28
1597644973,77,40
1597646919,48,1033
1597648857,84,47
1597650733,51,24
1597652716,70,24
1597654577,59,77
1597656497,61,120
1597658694,86,75
1597660600,55,67
1597662520,74,66
1597664418,169,77
1597666361,354,96
1597668253,304,57
1597670193,65,62
1597672127,47,48
1597674021,54,58
1597675948,55,84
1597677882,51,83
1597679790,55,74
1597681693,47,73
1597683799,56,53
1597685817,62,73
1597687708,65,86
1597689614,44,77
1597691560,69,69
1597693453,57,77
1597695377,43,59
1597697321,51,90
1597699239,62,89
1597701158,69,80
1597703117,59,76
1597705001,58,50
1597706895,81,79
1597709067,58,113
1597711079,73,110
1597712961,181,99
1597714842,67,79
1597716741,66,145
1597718655,43,76
1597720598,54,153
1597722492,56,85
1597724426,60,87
1597726360,54,92
1597728256,48,103
1597730174,37,94
1597732126,61,105
1597734172,66,71
1597736172,57,91
1597738351,52,101
1597740271,38,68
1597742205,51,68
1597744098,306,69
1597746015,491,80
1597747964,1501,73
1597749858,212,62
1597751810,239,66
1597753699,280,74
1597755727,36,59
1597757568,57,73
1597759483,55,52
1597761400,58,41
1597763301,41,52
1597765219,52,45
1597767162,60,41
1597769058,99,42
1597770978,68,46
1597772928,60,47
1597774822,62,55
1597776739,54,48
1597778685,60,54
1597780583,75,42
1597782539,47,46
1597784555,343,28
1597786596,1329,56
1597788499,1168,41
1597790414,1135,36
1597792359,100,135
1597794259,45,271
1597796174,42,234
1597798119,56,363
1597800015,42,93
1597801929,62,50
1597803913,38,43
1597805779,44,37
1597807693,40,57
1597809729,49,47
1597811531,53,32
1597813358,47,31
1597815401,57,45
1597817291,34,33
1597819214,55,50
1597821159,31,45
1597823051,37,37
1597824974,23,30
1597826920,46,39
1597828819,43,35
1597830758,42,94
1597832710,38,522
1597834592,32,37
1597836498,33,50
1597838563,39,57
1597840610,58,48
1597842541,60,39
1597844410,43,32
1597846364,45,44
1597848257,48,43
1597850178,50,41
1597852124,36,37
1597854020,51,68
1597855940,51,48
1597857885,32,44
1597859776,48,44
1597861936,47,50
1597863893,54,31
1597865804,64,43
1597867723,59,30
1597869642,54,37
1597872179,78,60
1597874211,59,33
1597876104,47,38
1597878238,52,52
1597880176,57,56
1597882136,54,46
1597884014,42,48
1597885938,40,51
1597887882,41,46
1597889780,45,40
1597891695,33,54
1597893638,42,39
1597895541,45,47
1597897461,29,38
1597899405,29,49
1597901295,34,44
1597903353,105,45
1597905202,214,59
1597907065,237,47
1597908973,381,51
1597910926,155,40
1597912819,41,1006
1597914739,35,190
1597916708,45,42
1597918600,41,42
1597920495,44,31
1597922454,39,32
1597924342,40,43
1597926276,43,47
1597928335,42,64
1597930335,36,45
