DateTime,AddedIPs,RemovedIPs
1597226902,1,1
1597228822,4,1
1597236736,0,1
1597238656,0,1
1597240612,0,1
1597244531,2,0
1597250197,54,2
1597254017,2,1
1597256192,1,1
1597258112,0,2
1597260106,0,1
1597261977,0,6
1597263864,0,440
1597265817,0,570
1597267698,1,1
1597271774,1,0
1597273722,0,1
1597277539,1,0
1597281383,1,0
1597283293,1,0
1597287151,0,1
1597291003,2,1
1597294984,1,0
1597296978,1,2
1597300885,1,1
1597302812,2,0
1597304679,1,0
1597312336,2,0
1597314257,4,5
1597316202,1,0
1597321959,1,0
1597329618,1,1
1597331792,0,1
1597333696,1,0
1597335684,1,82
1597337546,2,81
1597341413,0,2
1597343322,34,1
1597346314,9,0
1597348368,1,0
1597350261,1,0
1597354128,0,1
1597356233,2,0
1597358177,654,1
1597360096,677,0
1597365854,3,0
1597368019,0,1
1597369938,1,1
1597373787,1,0
1597375971,0,2
1597381971,0,2
1597387740,2,1
1597389649,1,4
1597391553,22,0
1597393490,5,0
1597395375,6,0
1597397544,2,1
1597399552,0,3
1597401406,2,4
1597405220,1,0
1597409107,0,1
1597412901,1,0
1597414852,1,0
1597416789,1,1
1597418708,1,1
1597422513,0,2
1597424570,1,1
1597430665,1,2
1597432589,43,0
1597434527,5,1
1597436414,0,1
1597438346,1,0
1597440306,2,0
1597442213,0,1
1597444092,0,5
1597446126,0,79
1597447951,0,8
1597451816,0,3
1597453700,1,0
1597455646,1,1
1597459462,0,1
1597463294,3,0
1597474977,0,2
1597476976,0,1
1597478893,1,6
1597480840,0,244
1597482756,1,1
1597484683,28,2
1597486586,403,0
1597488491,0,2
1597490443,2,0
1597492335,1,1
1597494260,1,0
1597500200,1,1
1597502203,0,2
1597506013,0,1
1597509864,0,1
1597511775,1,0
1597513721,3,0
1597518169,2,1
1597520067,3,66
1597522142,0,24
1597524051,6,1
1597525939,117,1
1597527870,0,1
1597535548,2,0
1597539433,0,1
1597541307,0,1
1597549212,3,2
1597551135,0,1
1597553086,2,0
1597558813,1,0
1597560736,2,0
1597564570,0,1
1597566494,1,0
1597568566,1,1
1597570625,1,64
1597572563,0,88
1597574443,2,0
1597576334,0,2
1597578279,6,1
1597580206,0,1
1597582096,2,0
1597585981,2,1
1597589860,4,0
1597593800,1,0
1597595770,1,0
1597597719,0,1
1597599613,3,3
1597601605,3,0
1597603485,2,1
1597605419,0,2
1597607533,1,2
1597609459,0,69
1597611417,71,1332
1597613299,395,95
1597615419,390,0
1597621222,1,2
1597623227,1,0
1597626973,1,0
1597628917,1,0
1597630816,1,0
1597636612,1,3
1597640586,0,2
1597644491,0,1
1597646446,2,2
1597650274,1,0
1597652183,0,1
1597654138,0,1
1597657931,0,1
1597661770,35,2
1597663689,5,1
1597666838,1242,5
1597668738,401,2
1597672573,0,2
1597674494,1,0
1597676546,0,4
1597678596,0,1
1597680490,1,0
1597682414,0,1
1597686253,0,3
1597688171,0,1
1597690117,317,2
1597693931,3,1
1597695880,3,0
1597697837,0,1
1597699943,1,9
1597701897,0,3
1597703802,1,0
1597705696,61,0
1597707612,13,1
1597709566,8,1
1597711503,140,0
1597713615,759,1
1597715589,704,1
1597717475,619,1
1597719408,107,0
1597723322,3,1
1597733056,0,2
1597735005,540,0
1597736895,0,1
1597740765,2,0
1597744576,1,0
1597746522,1,0
1597748545,3,11
1597750579,3,7
1597752532,1,13
1597754419,0,8
1597758283,1,0
1597760199,0,1
1597765941,0,1
1597773755,1,0
1597775802,0,229
1597777727,3,88
1597779614,2,0
1597781558,6,1
1597783484,1,2
1597785376,1,0
1597787319,1,0
1597791132,3,2
1597793100,1,779
1597794999,1,1161
1597796914,0,1023
1597800016,1,1187
1597801931,0,686
1597803915,1,660
1597805780,0,82
1597809766,0,2
1597811815,1,0
1597813704,1,0
1597815610,1,0
1597817561,1,0
1597819452,6,0
1597821376,2,0
1597825209,2,0
1597827133,0,2
1597829082,1,0
1597830968,1,1
1597833154,1,4
1597837004,0,3
1597838900,0,1
1597840814,0,551
1597842785,1,0
1597844658,0,1
1597848523,1,0
1597850433,1,0
1597852337,2,0
1597858346,1,0
1597860281,0,1
1597862214,1,0
1597864096,0,3
1597866016,0,2
1597867984,0,6
1597869857,1,1
1597872181,0,1
1597874213,1,1
1597878246,0,3
1597880178,0,1
1597882137,2,1
1597884016,0,1
1597885939,1,0
1597887884,1,0
1597889782,0,1
1597899407,1,2
1597901298,0,1
1597903355,454,1
1597905204,963,5
1597907068,811,2
1597908975,991,0
1597910929,1095,2
1597912822,1376,0
1597914741,10,1
1597916712,1,1
1597918602,1,1
1597920497,1,0
1597924344,1,0
1597926278,1,0
1597930337,2,1
1597934201,1,1
1597936128,0,1
1597938017,0,1
1597939941,0,1
1597945736,1,1
1597947648,6,0
1597949538,3,1
1597951487,1,0
1597957423,0,1
1597961340,1,1
1597967094,0,1
1597969242,0,1
1597973083,0,1
1597974976,0,1
1597978995,2,0
1597982895,1,0
1597984815,1,1
1597988657,1,0
1597990595,2,918
1597992530,5,879
1597994414,4,873
1597996336,2,970
1597998280,3,1634
1598000172,0,426
1598002115,1,2
1598004322,1,1
1598006202,1,1
1598010012,0,1
1598011961,0,1
1598013858,1,0
1598015776,1,2
1598017717,1,0
1598019615,1,0
1598021531,0,1
1598025370,1,0
1598029379,1,0
1598031380,0,1
1598033309,301,2
1598035246,497,5
1598037137,897,0
1598039063,870,0
1598041002,261,0
1598042898,2,0
1598046817,1,1
1598048657,1,0
1598059691,1,0
1598061738,1,0
1598063561,0,1
1598065501,71,1
1598067373,1719,0
1598069330,989,1
1598071289,661,1
1598073173,629,0
1598075061,417,1
1598076977,0,1
1598078924,5,1
1598080816,0,1
1598084718,0,1
1598088500,0,1
1598090566,1,1
1598093785,0,1
1598099810,1,1
1598101713,0,1
1598103618,0,1
1598105574,0,1
1598107455,1,0
1598111325,2,1
1598113219,1,0
1598115153,0,1
1598119033,0,162
1598120894,0,522
1598122931,353,666
1598124735,169,949
1598126899,52,533
1598128818,0,2
1598134577,0,2
1598136525,5,0
1598138415,1094,0
1598140337,1248,0
1598142284,708,0
1598144176,75,0
1598146093,1,1
1598148167,0,1
1598151911,0,4
1598153805,1,1630
1598155709,0,907
1598157620,1,680
1598159595,0,662
1598161460,0,371
1598165335,0,3
1598176958,0,1
1598180900,1,0
1598186673,0,1
1598188614,3,0
1598190530,1,0
1598194345,20,1
1598196303,19,0
1598198211,14,2
1598200378,1,1
1598204244,1,0
1598208024,0,1
1598209978,0,18
1598211896,899,2
1598213787,1603,0
1598215733,731,0
1598217629,49,0
1598219550,3,0
1598223375,0,5
1598225317,0,13
1598227447,1,336
1598229406,24,4
1598231317,10,3
1598233213,219,1
1598235212,113,0
1598237080,3,0
1598239008,2,0
1598240926,1,1
1598246683,1,0
1598248577,2,0
1598250493,1,0
1598258207,2,0
1598260140,1,0
1598263964,2,0
1598267778,1,1
1598275489,0,4
1598277374,2,0
1598279293,1,0
1598281327,0,17
1598283134,2,9
1598285066,0,6
1598287010,0,2
1598288906,0,1
1598290846,0,1
1598296617,1,0
1598298509,4,1059
1598300444,6,1536
1598302334,1,617
1598304272,0,27
1598306211,0,3
1598308115,3,0
1598310104,4,0
1598311989,6,1
1598313908,0,43
1598315818,0,39
1598317699,0,193
1598319617,0,147
1598321565,0,620
1598323462,2,251
1598325389,0,17
1598327327,2,1
1598329234,78,0
1598331134,12,0
1598333085,193,1
1598334980,2,2
1598336893,0,1
1598339022,1,0
1598344822,0,2
1598346763,0,1
1598348676,1,0
1598350573,0,2
1598354447,0,1
1598364175,0,2
1598366217,1,1
1598370049,0,2
1598371982,1,0
1598381806,2,1
1598383734,0,2
1598385775,2,2
1598387575,1,1
1598389541,8,1
1598391422,4,0
1598393580,18,0
1598395471,9,10
1598397386,0,3
1598399327,0,24
1598401233,2,1
1598403144,1,0
1598408921,0,1
1598410975,0,1
1598413025,0,1
1598414918,2,172
1598416862,0,5
1598418774,0,7
1598420686,0,1
1598422614,0,2
1598424524,0,1
1598434121,1,0
1598436245,1,1
1598438174,4,0
1598442272,1,0
1598451892,1,0
1598453785,0,1
1598455787,1,0
1598468216,1,2
1598472167,0,2
1598474020,82,6
1598475862,7,11
1598477777,2,290
1598479737,77,486
1598481700,0,84
1598487642,0,1
1598489533,0,1
1598491455,1,0
1598497337,674,0
1598499171,924,0
1598501054,787,2
1598502889,1577,0
1598505084,919,0
1598507107,954,0
1598508977,88,0
1598520856,0,1
1598522658,1,0
1598524570,0,7
1598528766,0,1
1598532547,1,0
1598538344,0,1
1598540204,3,0
1598542337,1,1
1598544563,1,0
1598546455,2,0
1598552181,1,0
1598554101,2,1
1598557938,1,0
1598560104,2,707
1598562242,1,1095
1598564211,2,220
1598566174,29,77
1598568032,629,0
1598569966,872,0
1598571878,651,0
1598573769,5,0
1598579542,0,1
1598581469,1,0
1598583443,3,580
1598585333,0,884
1598587289,1,860
1598589666,0,1780
1598591548,0,777
1598593485,0,917
1598595390,0,94
1598607165,1,0
1598609062,1,1
