DateTime,AddedIPs,RemovedIPs
1597476977,0,1
1597478893,0,1
1597480841,0,1
1597482757,0,2
1597486587,2,0
1597488491,0,1
1597490443,0,2
1597492335,0,1
1597494261,0,1
1597496222,1,0
1597498092,1,0
1597500231,1,1
1597502203,0,3
1597504094,3,2
1597506013,0,4
1597507966,3,0
1597509864,1,1
1597511775,0,1
1597513722,1,1
1597515616,1,1
1597518170,1,1
1597520068,1,0
1597522143,1,0
1597524051,0,1
1597525939,2,2
1597527870,0,2
1597529808,0,4
1597531703,0,2
1597535548,3,1
1597537470,1,0
1597539434,1,0
1597541308,0,2
1597543371,0,1
1597545388,1,3
1597551135,1,0
1597554987,2,2
1597556919,0,2
1597558813,0,1
1597560736,0,2
1597562684,1,1
1597564570,2,1
1597568566,0,2
1597572565,1,2
1597574445,1,0
1597576334,2,0
1597578280,2,1
1597582097,1,0
1597585981,0,1
1597587871,0,1
1597589860,0,2
1597593804,2,2
1597595770,0,1
1597597720,1,1
1597599614,1,1
1597601605,1,0
1597603486,1,0
1597605420,1,1
1597607534,0,2
1597609459,1,1
1597611417,1,1
1597613299,1,1
1597615421,1,0
1597617433,1,1
1597619292,2,2
1597621222,2,2
1597625064,1,1
1597626973,2,0
1597628917,3,0
1597630817,1,0
1597632735,1,0
1597638495,0,1
1597640596,0,2
1597642600,1,0
1597644492,1,0
1597646448,1,0
1597648362,0,1
1597650274,1,1
1597652183,4,1
1597654138,2,1
1597659885,3,1
1597661770,0,1
1597663690,2,2
1597667535,1,1
1597669361,0,1
1597671399,2,0
1597673293,0,2
1597675218,0,1
1597679053,3,1
1597682916,1,1
1597684810,1,1
1597688677,1,2
1597690571,1,0
1597692505,0,1
1597695382,2,0
1597697398,0,1
1597699241,0,4
1597701160,1,4
1597703120,1,0
1597705003,0,2
1597706897,2,2
1597709076,3,0
1597711083,2,0
1597712963,0,1
1597714900,0,2
1597716743,0,1
1597718657,0,1
1597720600,0,3
1597722494,1,2
1597726362,1,0
1597728258,2,0
1597730176,1,1
1597734176,1,1
1597736174,0,1
1597738353,1,4
1597740273,0,2
1597744104,1,1
1597746017,3,2
1597747966,1,0
1597749861,1,1
1597751818,0,1
1597753701,2,1
1597757570,1,1
1597759486,1,0
1597761415,1,0
1597765221,1,1
1597767164,1,0
1597769060,0,2
1597770980,4,1
1597772930,2,1
1597774824,0,1
1597776741,3,1
1597778687,1,0
1597780584,0,1
1597782543,1,0
1597786598,0,1
1597788501,3,0
1597790419,0,1
1597794261,5,4
1597796176,4,2
1597798121,3,1
1597800017,4,0
1597801931,5,0
1597803915,3,0
1597805781,1,1
1597807696,1,0
1597809777,1,1
1597811817,3,1
1597813704,1,1
1597815611,1,1
1597817561,2,0
1597819453,0,1
1597821376,1,1
1597825210,1,0
1597829083,1,0
1597830969,0,2
1597833155,1,3
1597835064,2,0
1597837005,0,1
1597838900,1,0
1597840814,0,1
1597842786,1,0
1597844658,3,0
1597846577,0,1
1597848523,1,0
1597850434,1,0
1597852337,2,1
1597854282,1,1
1597858347,2,3
1597860282,0,1
1597864097,1,3
1597866017,8,0
1597867985,3,1
1597869858,1,2
1597872182,2,1
1597874214,4,2
1597876107,2,1
1597878257,2,1
1597880179,0,3
1597882138,1,2
1597884016,1,2
1597885940,0,4
1597887885,2,6
1597889783,1,3
1597891697,1,0
1597893640,0,2
1597895544,1,0
1597897463,2,1
1597899408,0,4
1597901299,0,2
1597903355,1,0
1597905204,0,2
1597907068,1,0
1597908976,1,0
1597910929,0,1
1597912823,2,0
1597914742,0,2
1597916713,1,0
1597918602,2,0
1597920497,0,1
1597922457,2,0
1597924345,1,0
1597926279,1,2
1597928406,0,1
1597932183,0,2
1597936129,0,1
1597938018,1,2
1597939941,1,0
1597941883,0,2
1597943781,1,1
1597945737,0,3
1597947648,1,0
1597949538,0,1
1597951488,1,1
1597953379,0,1
1597955295,1,3
1597957438,2,6
1597959381,4,5
1597961341,0,2
1597963219,4,4
1597965138,0,1
1597967096,3,3
1597969242,0,1
1597971135,0,1
1597973084,1,2
1597974976,3,0
1597976918,0,1
1597978997,3,1
1597981026,1,0
1597982896,2,1
1597984843,1,1
1597990596,0,3
1597994415,0,1
1597996337,0,1
1597998280,0,2
1598000173,0,1
1598004323,1,1
1598006202,1,0
1598008092,0,2
1598010012,2,0
1598011961,1,1
1598013859,1,1
1598015776,1,0
1598017717,0,1
1598019616,2,0
1598023521,4,0
1598025371,0,3
1598027315,1,0
1598029380,0,1
1598033312,1,0
1598035246,0,1
1598039089,4,1
1598044828,1,2
