DateTime,AddedIPs,RemovedIPs
1594237983,1,0
1594253308,1,0
1594259086,0,2
1594261008,0,1
1594278741,0,1
1594282659,1,0
1594284503,1,0
1594286514,0,1
1594294103,2,0
1594300113,1,0
1594302030,1,0
1594319778,0,2
1594321970,1,0
1594325807,0,1
1594333489,1,0
1594339456,0,1
1594343329,2,0
1594352944,1,0
1594364783,2,0
1594368502,0,1
1594370421,1,1
1594382187,0,2
1594386281,0,1
1594388174,0,1
1594408122,0,1
1594413889,1,0
1594419619,0,1
1594421539,1,0
1594429446,0,2
1594435461,1,0
1594439326,0,1
1594449149,1,0
1594451097,0,2
1594453022,1,0
1594456830,1,1
1594480148,1,0
1594493786,1,0
1594495701,1,0
1594499804,0,1
1594501701,1,0
1594509375,0,1
1594513224,1,0
1594515149,1,0
1594520948,0,1
1594534820,0,1
1594538660,0,1
1594542499,0,1
1594552580,1,0
1594568204,0,1
1594579723,0,1
1594581617,0,1
1594589292,0,1
1594600129,0,2
1594611880,1,0
1594613843,1,0
1594639221,0,1
1594641175,1,0
1594692794,1,0
1594698773,0,2
1594718426,1,0
1594725031,1,0
1594726847,0,1
1594762445,2,0
1594777939,0,1
1594797143,1,0
1594805136,1,1
1594811062,0,1
1594828649,1,0
1594840394,1,0
1594848069,0,1
1594849936,0,1
1594881379,1,0
1594883396,0,1
1594890981,0,1
1594892926,1,0
1594900593,1,0
1594915128,0,1
1594949779,1,0
1594969037,1,1
1594978825,0,1
1594982674,0,1
1594986532,0,1
1595033341,1,0
1595037146,0,1
1595051061,1,0
1595054927,1,0
1595056821,0,1
1595064511,1,0
1595076258,1,0
1595083943,1,0
1595105579,1,0
1595120898,0,1
1595138186,0,1
1595140402,1,1
1595149966,0,1
1595163406,0,1
1595170109,0,1
1595179698,1,0
1595191736,0,1
1595197504,1,0
1595226836,0,1
1595228693,1,0
1595253901,1,0
1595265615,0,1
1595290838,1,0
1595292737,1,0
1595298525,1,0
1595300704,1,0
1595316020,1,1
1595319893,1,0
1595341216,0,1
1595364560,0,1
1595374382,1,0
1595380132,0,1
1595385933,0,2
1595387795,1,1
1595396199,1,0
1595400019,1,0
1595401963,0,1
1595405783,0,1
1595419432,1,0
1595459783,0,1
1595473405,1,1
1595483055,0,1
1595486941,0,1
1595498727,1,0
1595502795,1,0
1595506593,0,1
1595522215,1,0
1595527968,1,0
1595545551,1,0
1595551218,2,0
1595553176,1,0
1595555056,1,0
1595582422,0,1
1595584337,0,1
1595588173,0,1
1595607946,0,1
1595613830,0,1
1595633099,0,1
1595636894,0,2
1595640015,0,1
1595647461,1,1
1595705855,1,0
1595734839,0,1
1595771538,1,0
1595790192,1,0
1595792174,0,1
1595841623,1,0
1595859141,0,1
1595875052,0,1
1595884644,1,0
1595898297,1,0
1595929212,0,1
1595946589,1,0
1595964019,1,0
1595971730,0,1
1595989261,0,1
1596004859,1,0
1596014662,1,0
1596020593,1,0
1596032178,0,1
1596036025,1,0
1596045712,1,0
1596049489,1,0
1596051378,0,1
1596067019,1,0
1596068920,2,0
1596071018,1,0
1596082849,1,0
1596092571,1,1
1596102014,0,1
1596105898,0,1
1596111656,1,0
1596113548,1,0
1596115488,2,0
1596131332,0,1
1596137109,1,1
1596140900,1,0
1596152658,1,1
1596156532,0,2
1596158425,0,1
1596160336,1,0
1596168262,0,1
1596170219,1,0
1596178095,0,1
1596195614,1,0
1596197566,2,1
1596199485,0,2
1596201381,1,2
1596205251,2,0
1596217036,1,0
1596218901,1,0
1596220824,1,0
1596224669,0,1
1596226570,2,0
1596228531,0,1
1596240203,0,1
1596242209,1,0
1596244114,1,0
1596246018,0,1
1596257545,0,1
1596267373,3,0
1596281088,0,1
1596282987,1,2
1596286973,1,1
1596290926,0,1
1596292822,0,1
1596300506,1,0
1596302443,1,0
1596304335,0,1
1596306255,0,1
1596308203,0,1
1596310338,1,0
1596312262,0,2
1596321994,1,0
1596329768,1,2
1596339615,2,0
1596349266,1,0
1596353087,1,2
1596354982,0,1
1596368896,0,1
1596372733,0,1
1596387399,0,2
1596396042,0,1
1596407633,0,1
1596415215,0,1
1596421007,1,0
1596424854,0,2
1596436593,0,1
1596450259,1,0
1596452237,2,0
1596482446,1,0
1596484340,1,0
1596490093,1,0
1596493985,1,0
1596507382,1,2
1596509259,3,0
1596532888,1,0
1596536663,0,1
1596538609,0,2
1596547098,2,0
1596548933,1,0
1596560594,1,0
1596572046,0,1
1596573933,1,0
1596575792,0,1
1596581542,0,1
1596583470,2,0
1596589426,0,1
1596593330,0,1
1596595225,0,1
1596597137,0,2
1596602900,1,0
1596606737,1,0
1596610968,1,0
1596614905,1,0
1596618783,0,1
1596634131,0,2
1596637012,0,1
1596646594,0,1
1596654570,1,0
1596660275,1,1
1596669929,1,2
1596689335,0,1
1596693158,0,1
1596696999,0,1
1596700976,0,1
1596720535,1,0
1596735370,1,0
1596737339,1,0
1596739213,1,0
1596741134,0,1
1596748841,1,0
1596756493,0,1
1596774024,0,1
1596775936,1,0
1596781721,2,0
1596797325,1,0
1596803059,1,0
1596804978,1,0
1596806938,0,1
1596816530,1,0
1596820340,0,1
1596822290,0,1
1596824214,1,0
1596826101,0,1
1596828074,1,0
1596829940,1,0
1596835696,1,1
1596840729,1,0
