DateTime,AddedIPs,RemovedIPs
1597771523,8,31
1597772069,4,8
1597773218,11,3
1597775131,27,37
1597775664,8,15
1597778723,52,63
1597780107,46,13
1597781883,28,45
1597782862,26,9
1597784763,26,57
1597786462,10,8
1597787723,19,3
1597789085,6,55
1597790081,7,5
1597791419,11,3
1597793122,19,5
1597793661,2,41
1597797267,39,41
1597798764,5,51
1597800323,10,0
1597802067,18,8
1597803924,26,32
1597804465,8,18
1597805680,10,3
1597807528,36,44
1597809388,37,10
1597811668,34,19
1597814132,25,10
1597816232,27,12
1597817825,14,9
1597819287,13,7
1597820537,8,4
1597822463,24,7
1597823818,18,2
1597825524,20,7
1597826065,2,8
1597827203,5,3
1597828433,24,5
1597829668,8,7
1597831415,8,8
1597833266,22,5
1597834628,12,5
1597836329,6,4
1597837826,15,9
1597838988,182,6
1597840462,7,22
1597841724,21,4
1597844067,204,11
1597845304,20,6
1597846692,462,7
1597847663,8,9
1597849493,491,9
1597851265,35,29
1597852958,244,11
1597854863,89,25
1597856537,436,19
1597858465,120,29
1597860183,259,15
1597861469,80,17
1597862578,14,18
1597865124,398,26
1597865665,2,10
1597866815,171,10
1597868257,279,41
1597869871,18,36
1597872325,49,21
1597872863,3,7
1597875418,70,16
1597876464,23,23
1597877582,5,5
1597879527,60,25
1597881023,9,19
1597882650,7,20
1597883661,3,20
1597884999,4,21
1597886278,43,12
1597888224,13,32
1597890328,62,7
1597891542,23,8
1597893927,57,18
1597895491,11,22
1597897164,55,21
1597898066,12,29
1597899821,40,30
1597901668,7,18
1597903069,13,15
1597904727,10,12
1597905265,19,10
1597907159,8,19
1597908868,17,19
1597910844,10,24
1597912462,20,14
1597913615,7,21
1597914937,68,14
1597916067,6,27
1597917351,6,11
1597918854,172,10
1597920177,8,21
1597922721,37,18
1597924230,16,22
1597925661,40,25
1597926868,18,14
1597929783,68,14
1597931262,2,16
1597934066,54,69
1597935524,58,28
1597936802,6,8
1597937661,2,20
1597939053,51,11
1597941263,9,26
1597943377,75,24
1597944865,10,27
1597947033,57,29
1597948464,0,26
1597951527,72,51
1597953024,20,49
1597955665,83,36
1597956915,60,2
1597958721,36,26
1597959259,5,11
1597960635,56,8
1597962327,10,28
1597963711,18,28
1597965920,59,19
1597967425,26,22
1597968684,42,8
1597970970,32,21
1597972941,69,19
1597974623,30,39
1597975878,59,20
1597978224,12,52
1597979620,46,33
1597980871,9,29
1597982189,4,12
1597983339,33,11
1597984467,6,22
1597988074,24,47
1597990697,31,37
1597991671,7,24
1597993197,4,31
1597994305,11,3
1597995260,4,30
1597996575,17,6
1597997899,20,21
1597998867,3,20
1598000006,14,7
1598001522,6,11
1598002460,8,30
1598004831,10,25
1598006278,9,17
1598008169,16,32
1598009668,15,95
1598012722,40,41
1598014142,19,153
1598015903,18,142
1598016862,5,167
1598020464,43,362
1598021612,17,9
1598023127,18,123
1598024063,4,138
1598025272,9,13
1598026843,13,328
1598027661,12,184
1598028856,12,4
1598030419,5,197
1598031263,5,141
1598032543,10,9
1598034236,15,152
1598035483,25,170
1598037924,15,282
1598038463,1,85
1598039634,2,11
1598041525,24,51
1598042067,6,7
1598043303,15,8
1598044528,9,46
1598045661,11,30
1598048141,12,30
1598049416,4,54
1598050544,3,3
1598052322,13,12
1598053822,1,10
1598055704,20,7
1598056461,11,54
1598057791,14,2
1598059240,21,67
1598060062,2,8
1598063665,49,90
1598065054,23,9
1598066725,5,16
1598067268,8,54
1598068526,6,11
1598070870,55,41
1598072335,36,16
1598073924,12,2
1598074466,3,14
1598078061,23,40
1598079585,4,14
1598081122,18,4
1598081669,12,24
1598082977,9,6
1598084726,40,12
1598085264,4,60
1598086894,25,64
1598088863,7,149
1598091924,17,65
1598093428,16,16
1598094625,3,48
1598096061,11,16
1598097404,10,13
1598099124,4,59
1598100622,6,14
1598102726,33,51
1598104225,20,26
1598106863,18,67
1598108590,35,73
1598110463,5,5
1598112180,5,81
1598113367,4,0
1598115048,4,6
1598116232,8,67
1598117665,11,8
1598119849,18,67
1598121268,13,18
1598123042,22,79
1598124864,25,18
1598127688,22,74
1598129424,8,30
1598131522,14,44
1598133023,5,12
1598136630,51,72
1598138725,14,21
1598140223,13,75
1598142860,38,72
1598144699,10,82
1598145926,9,2
1598147429,25,9
1598149528,19,54
1598151030,15,9
1598153662,17,54
1598157264,33,29
1598158525,5,6
1598160325,14,24
1598160862,4,12
1598164462,13,16
1598166384,24,20
1598168062,19,21
1598169740,434,18
1598171125,113,8
1598173628,524,26
1598175666,28,14
1598177238,673,15
1598178724,15,28
1598179825,21,14
1598182461,653,45
1598185526,410,38
1598186064,4,9
1598188127,58,24
1598190649,26,22
1598192366,67,16
1598193265,11,23
1598195437,48,21
1598196863,14,19
1598198226,36,17
1598199924,26,19
1598201420,39,19
1598202677,15,18
1598204413,9,23
1598206350,68,19
1598207665,13,20
1598209439,45,13
1598211268,21,29
1598214324,91,22
1598215823,30,23
1598217143,30,8
1598218464,29,9
1598222066,60,21
1598224382,20,8
1598225668,20,22
1598227030,28,11
1598228725,32,16
1598229272,12,17
1598231626,17,38
1598233827,46,11
1598235929,19,18
1598237429,16,7
1598238533,18,10
1598240068,21,34
1598243902,24,64
1598245619,7,20
1598247270,65,9
1598249863,104,16
1598250860,10,15
1598252033,6,1
1598253352,36,25
1598254509,10,33
1598257541,32,19
1598258737,7,14
1598260064,20,13
1598261663,24,20
1598264022,28,14
1598265266,19,11
1598266435,21,3
1598267860,10,22
1598269822,37,13
1598272470,37,42
1598274952,60,30
1598276067,12,5
1598278692,42,29
1598279667,17,5
1598282367,35,11
1598283507,3,10
1598285988,38,6
1598286866,9,17
1598288133,18,11
1598289609,28,7
1598290467,6,15
1598291582,9,4
1598293047,7,7
1598294065,4,33
1598296848,27,19
1598297663,3,11
1598300722,76,26
1598302223,14,10
1598304146,58,11
1598305826,26,42
1598307164,60,23
1598308470,12,8
1598310599,75,22
1598312063,12,19
1598315667,20,34
1598318007,127,19
1598319266,22,34
1598321835,57,18
1598323256,15,15
1598325807,66,31
1598327233,27,14
1598329528,6,7
1598330679,1,10
1598332827,15,12
1598334622,14,11
1598337265,12,39
1598340090,31,271
1598341250,7,105
1598342848,11,250
1598344243,6,202
1598345428,42,18
1598346654,7,337
1598348068,10,215
1598349758,16,335
1598351662,14,261
1598354713,21,475
1598357031,38,99
1598358867,27,21
1598362462,44,94
1598363712,12,5
1598365088,9,58
1598366066,8,21
1598367312,14,5
1598369125,7,56
1598369665,6,28
1598370806,9,2
1598372082,7,60
1598374226,17,11
1598375444,44,80
1598377045,7,24
1598378365,2,61
1598380464,15,15
1598381638,7,3
1598383524,24,71
1598384060,6,13
1598385249,13,6
1598387125,7,28
1598387663,2,19
1598390216,4,30
1598391263,3,16
1598392794,6,24
1598394327,15,3
1598397927,17,54
1598401532,12,35
1598403985,18,54
1598405662,22,14
1598409268,43,50
1598412328,19,26
1598413883,16,14
1598415412,7,4
1598416473,4,67
1598418116,30,86
1598420069,24,45
1598421241,14,9
1598422351,7,15
1598423578,24,29
1598425134,22,23
1598426729,20,3
1598427262,14,21
1598428769,26,24
1598430325,18,5
1598430867,3,23
1598432504,20,18
1598433738,19,0
1598435426,8,31
1598438120,41,33
1598440443,28,43
1598442215,26,28
1598444719,18,34
1598446226,12,46
1598447819,26,20
1598448866,29,36
1598451860,23,15
1598453240,27,21
1598454511,12,14
1598455720,7,1
1598456062,2,16
1598458537,16,23
1598459658,6,17
1598461040,18,8
1598462429,7,9
1598463266,3,6
1598465897,14,20
1598466867,5,6
1598468801,15,65
1598469922,10,0
1598471425,13,10
1598474066,17,68
1598475319,8,12
1598477123,28,67
1598477665,2,15
1598479146,13,56
1598481264,27,30
1598484862,19,15
1598486218,9,2
1598487926,31,110
1598488465,12,15
1598491530,13,53
1598493027,12,31
1598495126,15,60
1598495668,16,10
1598498723,40,25
1598500230,14,17
1598502023,36,3
1598502865,18,19
1598504243,9,3
1598505706,12,11
1598506465,3,10
1598510064,51,39
1598511748,42,4
1598513666,35,5
1598516387,29,46
1598517266,5,7
1598519972,30,11
