DateTime,AddedIPs,RemovedIPs
1597766804,17,39
1597768478,15,9
1597769816,18,3
1597771536,8,31
1597772083,5,8
1597773235,10,3
1597775145,27,37
1597775677,8,14
1597778733,53,63
1597780124,45,13
1597781906,30,46
1597782877,25,8
1597784791,25,57
1597786475,10,8
1597787736,19,3
1597789105,6,55
1597790097,7,5
1597791450,11,2
1597793133,18,5
1597793674,2,41
1597797282,39,40
1597798789,5,51
1597800339,10,1
1597802082,18,8
1597803937,26,32
1597804481,8,18
1597805705,11,3
1597807545,35,44
1597809409,37,10
1597811682,33,19
1597814146,26,9
1597816248,28,12
1597817845,14,9
1597819310,12,7
1597820567,8,5
1597822481,24,7
1597823838,18,2
1597825537,20,7
1597826078,2,8
1597827223,6,3
1597828450,24,5
1597829680,8,7
1597831439,8,8
1597833282,23,5
1597834657,11,5
1597836341,7,4
1597837845,15,9
1597839001,182,6
1597840476,7,22
1597841739,21,4
1597844105,204,11
1597845323,22,7
1597846707,461,7
1597847676,6,9
1597849527,498,9
1597851278,27,28
1597853001,247,11
1597854877,88,26
1597856560,436,19
1597858479,118,27
1597860205,261,15
1597861482,79,18
1597862599,14,18
1597865137,398,26
1597865678,3,10
1597866829,173,10
1597868269,274,41
1597869886,18,34
1597872339,49,21
1597872879,3,7
1597875445,71,16
1597876482,22,24
1597877604,3,4
1597879543,60,22
1597881040,9,18
1597882667,7,19
1597883677,3,20
1597885012,5,20
1597886299,43,12
1597888238,12,32
1597890345,62,7
1597891557,23,7
1597893941,57,18
1597895506,11,22
1597897179,55,22
1597898084,14,29
1597899849,39,30
1597901684,6,18
1597903082,13,15
1597904739,10,12
1597905280,19,9
1597907182,8,19
1597908882,18,19
1597910866,9,24
1597912478,20,14
1597913628,6,21
1597914965,68,14
1597916085,6,27
1597917374,7,11
1597918874,171,10
1597920191,8,21
1597922735,37,18
1597924250,17,22
1597925677,39,25
1597926886,18,14
1597929804,68,14
1597931316,2,26
1597934082,53,59
1597935542,57,27
1597936822,6,7
1597937677,2,20
1597939065,51,11
1597941278,9,26
1597943390,75,24
1597944879,10,27
1597947045,57,29
1597948477,0,26
1597951541,72,51
1597953039,21,49
1597955681,83,36
1597956929,63,2
1597958736,33,27
1597959273,6,11
1597960647,53,8
1597962341,10,26
1597963743,17,27
1597965935,58,19
1597967436,26,22
1597968722,42,8
1597971013,32,21
1597972962,69,19
1597974637,32,40
1597975891,56,20
1597978244,13,51
1597979637,46,32
1597980887,9,30
1597982204,4,11
1597983367,32,11
1597984482,6,22
1597988092,25,47
1597990712,30,35
1597991689,7,24
1597993276,4,32
1597995275,16,32
1597996593,16,6
1597997923,21,21
1597998882,2,20
1598000019,14,7
1598001544,6,11
1598002474,8,30
1598004842,10,25
1598006294,9,17
1598008194,15,32
1598009685,13,95
1598012735,41,41
1598014161,18,153
1598015917,18,141
1598016874,5,167
1598020477,31,362
1598021624,16,9
1598023140,18,123
1598024077,4,138
1598025285,9,13
1598026858,13,328
1598027675,12,184
1598028868,12,4
1598030433,5,197
1598031310,6,141
1598032558,8,10
1598034261,14,151
1598035496,25,170
1598037936,14,282
1598038477,1,85
1598039651,3,12
1598041539,22,50
1598042081,6,7
