DateTime,Entries,UniqueIPs
1597771528,1957,1957
1597772074,1948,1948
1597773223,1952,1952
1597775136,1960,1960
1597775669,1957,1957
1597778728,1980,1980
1597780115,1970,1970
1597781893,1984,1984
1597782869,1976,1976
1597784774,1985,1985
1597786467,1987,1987
1597787728,1986,1986
1597789094,1957,1957
1597790088,1947,1947
1597791429,1957,1957
1597793127,1961,1961
1597793667,1958,1958
1597797273,1949,1949
1597798769,1972,1972
1597800330,1979,1979
1597802074,1978,1978
1597803929,1979,1979
1597804471,1962,1962
1597805690,1968,1968
1597807536,1962,1962
1597809395,1950,1950
1597811674,1929,1929
1597814138,1933,1933
1597816239,1931,1931
1597817833,1939,1939
1597819297,1923,1923
1597820546,1916,1916
1597822468,1924,1924
1597823824,1929,1929
1597825529,1937,1937
1597826070,1932,1932
1597827211,1951,1951
1597828438,1965,1965
1597829673,1971,1971
1597831425,1965,1965
1597833274,1960,1960
1597834641,1957,1957
1597836334,1966,1966
1597837831,1973,1973
1597838993,1947,1947
1597840467,1951,1951
1597841729,1967,1967
1597844097,1975,1975
1597845313,1975,1975
1597846700,1912,1912
1597847669,1910,1910
1597849499,1820,1820
1597851271,1848,1848
1597852964,1798,1798
1597854869,1800,1800
1597856543,1740,1740
1597858470,1756,1756
1597860189,1718,1718
1597861474,1733,1733
1597862583,1741,1741
1597865129,1751,1751
1597865670,1736,1736
1597866821,1710,1710
1597868262,1662,1662
1597869878,1664,1664
1597872331,1672,1672
1597872869,1668,1668
1597875429,1661,1661
1597876470,1665,1665
1597877587,1679,1679
1597879533,1686,1686
1597881030,1672,1672
1597882658,1699,1699
1597883666,1701,1701
1597885004,1722,1722
1597886283,1725,1725
1597888229,1727,1727
1597890334,1730,1730
1597891549,1728,1728
1597893934,1728,1728
1597895497,1719,1719
1597897170,1731,1731
1597898073,1722,1722
1597899833,1721,1721
1597901676,1725,1725
1597903075,1738,1738
1597904732,1743,1743
1597905270,1732,1732
1597907166,1732,1732
1597908874,1741,1741
1597910852,1745,1745
1597912471,1754,1754
1597913621,1754,1754
1597914942,1737,1737
1597916078,1739,1739
1597917357,1746,1746
1597918859,1725,1725
1597920184,1737,1737
1597922726,1731,1731
1597924236,1715,1715
1597925667,1736,1736
1597926874,1730,1730
1597929789,1730,1730
1597931299,1734,1734
1597934072,1747,1747
1597935532,1727,1727
1597936807,1736,1736
1597937668,1730,1730
1597939058,1727,1727
1597941270,1719,1719
1597943381,1716,1716
1597944870,1702,1702
1597947038,1717,1717
1597948469,1718,1718
1597951532,1721,1721
1597953030,1723,1723
1597955672,1713,1713
1597956921,1710,1710
1597958727,1717,1717
1597959263,1711,1711
1597960640,1699,1699
1597962333,1716,1716
1597963718,1717,1717
1597965927,1724,1724
1597967430,1726,1726
1597968695,1699,1699
1597970976,1704,1704
1597972950,1709,1709
1597974629,1710,1710
1597975884,1711,1711
1597978232,1722,1722
1597979626,1726,1726
1597980877,1723,1723
1597982196,1740,1740
1597983345,1738,1738
1597984474,1763,1763
1597988084,1787,1787
1597990704,1810,1810
1597991677,1803,1803
1597993205,1798,1798
1597994310,1805,1805
1597995265,1798,1798
1597996586,1808,1808
1597997912,1807,1807
1597998873,1783,1783
1598000012,1793,1793
1598001533,1809,1809
1598002466,1806,1806
1598004836,1819,1819
1598006284,1827,1827
1598008178,1829,1829
1598009675,1825,1825
1598012728,1843,1843
1598014152,1849,1849
1598015909,1871,1871
1598016867,1860,1860
1598020470,1880,1880
1598021617,1899,1899
1598023132,1905,1905
1598024069,1901,1901
1598025277,1909,1909
1598026848,1913,1913
1598027666,1906,1906
1598028861,1906,1906
1598030424,1913,1913
1598031268,1906,1906
1598032548,1911,1911
1598034243,1958,1958
1598035488,1933,1933
1598037929,1946,1946
1598038470,1939,1939
1598039639,1946,1946
1598041532,1960,1960
1598042074,1944,1944
1598043310,1957,1957
1598044534,1956,1956
1598045666,1963,1963
1598048152,1957,1957
1598049421,1957,1957
1598050550,1973,1973
1598052328,1982,1982
1598053828,1949,1949
1598055709,1949,1949
1598056468,1948,1948
1598057797,1959,1959
1598059246,1971,1971
1598060068,1964,1964
1598063671,1964,1964
1598065059,1969,1969
1598066730,1981,1981
1598067273,1956,1956
1598068537,1961,1961
1598070877,1957,1957
1598072341,1952,1952
1598073931,1962,1962
1598074474,1954,1954
1598078066,1965,1965
1598079592,1968,1968
1598081127,1974,1974
1598081674,1953,1953
1598082990,1961,1961
1598084731,1980,1980
1598085271,1970,1970
1598086899,1989,1989
1598088868,1991,1991
1598091929,2021,2021
1598093434,2016,2016
1598094631,2020,2020
1598096066,2021,2021
1598097409,2025,2025
1598099129,2038,2038
1598100631,2002,2002
1598102731,2022,2022
1598104230,2013,2013
1598106868,2015,2015
1598108600,2030,2030
1598110469,2040,2040
1598112186,2039,2039
1598113377,2048,2048
1598115056,2046,2046
1598116237,2052,2052
1598117670,2055,2055
1598119856,2058,2058
1598121276,2058,2058
1598123049,2054,2054
1598124870,2044,2044
1598127693,2075,2075
1598129429,2082,2082
1598131527,2092,2092
1598133028,2086,2086
1598136636,2101,2101
1598138730,2110,2110
1598140228,2106,2106
1598142867,2091,2091
1598144718,2104,2104
1598145931,2125,2125
1598147434,2120,2120
1598149534,2146,2146
1598151036,2144,2144
1598153669,2156,2156
1598157270,2171,2171
1598158536,2172,2172
