DateTime,Entries,UniqueIPs
1597772061,12844,12844
1597773213,12852,12852
1597775121,12828,12828
1597775654,12805,12805
1597778716,12848,12848
1597780101,12858,12858
1597781875,12878,12878
1597782855,12860,12860
1597784753,12842,12842
1597786454,12808,12808
1597787718,12800,12800
1597789077,12799,12799
1597790072,12817,12817
1597791409,12843,12843
1597793115,12829,12829
1597793654,12774,12774
1597797258,12775,12775
1597798758,12759,12759
1597800315,12800,12800
1597802059,12771,12771
1597803918,12760,12760
1597804456,12708,12708
1597805668,12707,12707
1597807519,12708,12708
1597809378,12692,12692
1597811659,12705,12705
1597814120,12684,12684
1597816219,12653,12653
1597817820,12682,12682
1597819281,12651,12651
1597820519,12622,12622
1597822455,12606,12606
1597823813,12588,12588
1597825514,12579,12579
1597826054,12543,12543
1597827189,12558,12558
1597828428,12550,12550
1597829658,12529,12529
1597831402,12525,12525
1597833256,12521,12521
1597834618,12535,12535
1597836321,12532,12532
1597837818,12518,12518
1597838982,12505,12505
1597840455,12515,12515
1597841719,12536,12536
1597844056,12554,12554
1597845298,12568,12568
1597846681,12592,12592
1597847654,12589,12589
1597849487,12606,12606
1597851256,12601,12601
1597852952,12609,12609
1597854856,12630,12630
1597856530,12635,12635
1597858457,12630,12630
1597860161,12628,12628
1597861463,12657,12657
1597862573,12651,12651
1597865117,12671,12671
1597865655,12658,12658
1597866810,12677,12677
1597868250,12684,12684
1597869861,12661,12661
1597872316,12683,12683
1597872854,12675,12675
1597875398,12706,12706
1597876456,12689,12689
1597878058,12677,12677
1597879518,12709,12709
1597881013,12672,12672
1597882642,12685,12685
1597883654,12690,12690
1597884992,12713,12713
1597886268,12696,12696
1597888214,12666,12666
1597890318,12668,12668
1597891535,12669,12669
1597893919,12678,12678
1597895485,12657,12657
1597897159,12672,12672
1597898058,12661,12661
1597899815,12676,12676
1597901656,12681,12681
1597903064,12686,12686
1597904717,12691,12691
1597905254,12654,12654
1597907149,12640,12640
1597908858,12639,12639
1597910838,12635,12635
1597912457,12632,12632
1597913609,12658,12658
1597914930,12643,12643
1597916057,12624,12624
1597917347,12627,12627
1597918847,12624,12624
1597920171,12619,12619
1597922714,12583,12583
1597924223,12566,12566
1597925651,12553,12553
1597926858,12533,12533
1597929777,12794,12794
1597931256,12821,12821
1597934055,12807,12807
1597935485,12824,12824
1597936796,12812,12812
1597937656,12789,12789
1597939047,12784,12784
1597941256,12789,12789
1597943370,12790,12790
1597944855,12766,12766
1597947026,12751,12751
1597948456,12722,12722
1597951516,12736,12736
1597953014,12710,12710
1597955659,12708,12708
1597956908,12725,12725
1597958714,12720,12720
1597959253,12701,12701
1597960629,12696,12696
1597962319,12715,12715
1597963664,12689,12689
1597965915,12670,12670
1597967419,12641,12641
1597968670,12626,12626
1597970964,12611,12611
1597972928,12631,12631
1597974617,12599,12599
1597975867,12596,12596
1597978218,12588,12588
1597979613,12550,12550
1597980858,12517,12517
1597982183,12521,12521
1597983333,12524,12524
1597984457,12432,12432
1597988060,12403,12403
1597990688,12396,12396
1597991657,12383,12383
1597993190,12386,12386
1597994295,12394,12394
1597995254,12374,12374
1597996564,12383,12383
1597997890,12370,12370
1597998858,12354,12354
1597999998,12362,12362
1598001512,12357,12357
1598002453,12333,12333
1598004823,12324,12324
1598006273,12313,12313
1598008132,12311,12311
1598009657,12295,12295
1598012717,12313,12313
1598014136,12286,12286
1598015891,12280,12280
1598016854,12262,12262
1598020456,12224,12224
1598021606,12223,12223
1598023121,12221,12221
1598024054,12213,12213
1598025265,12382,12382
1598026838,12485,12485
1598027656,12477,12477
1598028846,12501,12501
1598030408,12501,12501
1598031254,12480,12480
1598032537,12485,12485
1598034230,12498,12498
1598035477,12483,12483
1598037914,12474,12474
1598038454,12464,12464
1598039628,12492,12492
1598041518,12497,12497
1598042057,12464,12464
1598043297,12476,12476
1598044519,12469,12469
1598045654,12456,12456
1598048132,12448,12448
1598049411,12457,12457
1598050536,12496,12496
1598052313,12612,12612
1598053816,12583,12583
1598055698,12583,12583
1598056456,12567,12567
1598057781,12562,12562
1598059234,12565,12565
1598060054,12545,12545
1598063655,12524,12524
1598065045,12539,12539
1598066717,12536,12536
1598067258,12523,12523
1598068513,12508,12508
1598070858,12431,12431
1598072328,12432,12432
1598073916,12445,12445
1598074456,12424,12424
1598078052,12426,12426
1598079579,12419,12419
1598081112,12434,12434
1598081660,12405,12405
1598082971,12395,12395
1598084718,12419,12419
1598085256,12393,12393
1598086885,12399,12399
1598088856,12389,12389
1598091916,12454,12454
1598093418,12623,12623
1598094614,12615,12615
1598096055,12590,12590
1598097398,12613,12613
1598099119,12494,12494
1598100616,12297,12297
1598102718,12305,12305
1598104217,12262,12262
1598106854,12241,12241
1598108581,12226,12226
1598110455,12222,12222
1598112158,12213,12213
1598113359,12217,12217
1598115036,12190,12190
1598116227,12168,12168
1598117654,12166,12166
1598119845,12164,12164
1598121260,12208,12208
1598123036,12191,12191
1598124856,12327,12327
1598127682,12326,12326
1598129413,12306,12306
1598131517,12331,12331
1598133016,12298,12298
1598136618,12268,12268
1598138717,12245,12245
1598140216,12200,12200
1598142854,12162,12162
1598144693,12148,12148
1598145915,12156,12156
1598147420,12127,12127
1598149518,12121,12121
1598151022,12104,12104
1598153656,12089,12089
1598157256,12104,12104
1598158514,12111,12111
1598160317,12103,12103
1598160855,12075,12075
1598164453,12053,12053
1598166357,12040,12040
1598168054,12027,12027
1598169730,12016,12016
1598171116,12038,12038
1598173621,12011,12011
1598175659,11998,11998
1598177229,11969,11969
1598178714,11960,11960
1598180457,11943,11943
1598181915,11970,11970
1598182453,11944,11944
1598185520,11948,11948
1598186057,11923,11923
1598188121,11925,11925
1598190646,11915,11915
1598192360,11902,11902
1598193257,11891,11891
1598195431,11738,11738
1598196854,11638,11638
1598198221,11645,11645
1598199914,11636,11636
1598201415,11631,11631
1598202669,11615,11615
1598204401,11612,11612
1598206340,11607,11607
1598207655,11598,11598
1598209434,11596,11596
1598211258,11580,11580
1598214316,11606,11606
1598215815,11590,11590
1598217135,11583,11583
1598218455,11583,11583
1598222058,11462,11462
1598224376,11464,11464
1598225657,11457,11457
1598227022,11464,11464
1598228718,11474,11474
1598229262,11462,11462
1598231620,11470,11470
1598233816,11477,11477
1598235920,11488,11488
1598237417,11483,11483
1598238526,11482,11482
1598240057,11480,11480
1598243889,11480,11480
1598245613,11469,11469
1598247262,11440,11440
1598249852,11426,11426
1598250855,11438,11438
1598252026,11471,11471
1598253344,11462,11462
1598254497,11445,11445
1598257527,11478,11478
1598258728,11465,11465
1598260057,11399,11399
1598261657,11392,11392
1598264016,11702,11702
1598265258,11914,11914
1598266424,12075,12075
1598267829,12121,12121
1598269814,12183,12183
1598272458,12195,12195
1598274945,12452,12452
1598276056,12526,12526
1598278679,12640,12640
1598279654,12660,12660
1598282361,12726,12726
1598283501,12727,12727
1598285983,12901,12901
1598286855,12921,12921
1598288127,12966,12966
1598289603,12975,12975
1598290457,12964,12964
1598291575,12928,12928
1598293041,12956,12956
1598294058,12932,12932
1598296842,12903,12903
1598297656,12915,12915
1598300716,12948,12948
1598302217,12944,12944
1598304139,12991,12991
1598305817,12976,12976
1598307158,13019,13019
1598308458,13069,13069
1598310589,13108,13108
1598312054,13119,13119
1598315655,13137,13137
1598317996,13151,13151
1598319259,13186,13186
1598321826,13210,13210
1598323248,13214,13214
1598325795,13240,13240
1598327225,13232,13232
1598329519,13283,13283
1598330673,13322,13322
1598332819,13333,13333
1598334616,13334,13334
1598337258,13359,13359
1598340082,13398,13398
1598341243,13407,13407
1598342840,13412,13412
1598344232,13402,13402
1598345418,13413,13413
1598346649,13427,13427
1598348060,13423,13423
1598349746,13408,13408
1598351654,13419,13419
1598354701,13448,13448
1598357020,13436,13436
1598358856,13430,13430
1598362455,13420,13420
1598363705,13430,13430
1598365081,13459,13459
1598366058,13499,13499
1598367304,13567,13567
1598369115,13667,13667
1598369656,13698,13698
1598370792,13773,13773
1598372076,13869,13869
1598374216,14000,14000
1598375438,14076,14076
1598377039,14162,14162
1598378356,14226,14226
1598380455,14353,14353
1598381632,14418,14418
1598383518,14519,14519
1598384054,14543,14543
1598385241,14623,14623
1598387118,14719,14719
1598387654,14732,14732
1598390211,14876,14876
1598391254,14908,14908
1598392786,14894,14894
1598394314,14899,14899
1598397919,14909,14909
1598401520,14938,14938
1598403977,14913,14913
1598405653,14917,14917
1598409258,14913,14913
1598412316,14935,14935
1598413875,14936,14936
1598415389,14934,14934
1598416459,14894,14894
1598418103,14858,14858
1598420059,14809,14809
1598421235,14801,14801
1598422345,14811,14811
1598423572,14802,14802
1598425127,14783,14783
1598426717,14818,14818
1598427254,14798,14798
1598428755,14758,14758
1598430318,14775,14775
1598430859,14765,14765
1598432498,14735,14735
1598433726,14741,14741
1598435416,14649,14649
1598438114,14650,14650
1598440436,14640,14640
1598442209,14623,14623
1598444713,14636,14636
1598446220,14593,14593
1598447811,14603,14603
1598448854,14586,14586
1598451848,14584,14584
1598453228,14556,14556
1598454506,14531,14531
1598455715,14550,14550
1598456054,14510,14510
1598458524,14492,14492
1598459653,14473,14473
1598461031,14477,14477
1598462423,14476,14476
1598463257,14461,14461
1598464859,14453,14453
1598466856,14440,14440
1598468797,14444,14444
1598469916,14462,14462
1598471417,14422,14422
1598474060,14402,14402
1598475312,14411,14411
1598477114,14408,14408
1598477657,14365,14365
1598479137,14346,14346
1598481253,14337,14337
1598484855,14304,14304
1598486212,14305,14305
1598487916,14301,14301
1598488456,14254,14254
1598491518,14239,14239
1598493016,14183,14183
1598495117,14166,14166
1598495658,14136,14136
1598498716,14150,14150
1598500220,14119,14119
1598502013,14125,14125
1598502856,14117,14117
1598504235,14118,14118
1598505702,14101,14101
1598506454,14069,14069
1598510056,14059,14059
1598511739,14035,14035
1598513658,14032,14032
1598516381,14042,14042
1598517256,14026,14026
1598519966,14035,14035
1598521816,14008,14008
1598524455,13983,13983
1598525718,14000,14000
1598527238,14006,14006
1598528059,14008,14008
1598530493,14012,14012
1598531656,13998,13998
1598532946,14013,14013
1598534328,14007,14007
1598535253,13968,13968
1598538860,13798,13798
1598541711,13700,13700
1598543418,13559,13559
1598544685,13487,13487
1598546054,13429,13429
1598549654,13196,13196
1598551437,13084,13084
1598553254,13009,13009
1598554638,12990,12990
1598556313,12943,12943
1598556854,12822,12822
1598558218,12801,12801
1598559918,12742,12742
1598561420,12628,12628
1598563315,12622,12622
1598564054,12586,12586
1598566659,12610,12610
1598567657,12603,12603
1598568971,12603,12603
1598570374,12607,12607
1598571254,12593,12593
1598573018,12580,12580
1598574858,12504,12504
1598578457,12037,12037
1598582056,12122,12122
1598584623,12165,12165
1598585655,12184,12184
1598588202,12222,12222
1598589259,12235,12235
1598590992,12247,12247
1598592854,12231,12231
1598594777,12228,12228
1598595916,12263,12263
1598598196,12220,12220
1598600054,12247,12247
1598601341,12262,12262
1598602836,12266,12266
1598603654,12249,12249
1598607256,12227,12227
1598608362,12231,12231
