DateTime,AddedIPs,RemovedIPs
1597131272,0,1
1597136775,0,1
1597138473,0,1
1597142069,1,0
1597144017,1,1
1597146347,9,0
1597147955,36,0
1597149269,24,0
1597152329,1,1
1597156471,0,1
1597159533,0,1
1597160787,1,0
1597163668,0,21
1597168227,1,0
1597169691,0,1
1597174471,1,0
1597181671,1,1
1597185273,1,0
1597186673,0,1
1597192474,1,0
1597196066,1,1
1597197980,1,0
1597199672,1,2
1597201134,0,1
1597212474,0,1
1597215754,0,1
1597221270,0,1
1597223547,0,4
1597228466,0,1
1597229752,0,1
1597233032,1,0
1597234719,1,2
1597250067,0,2
1597252173,1,0
1597255358,1,0
1597259769,6,0
1597270223,1,0
1597274683,1,1
1597275267,0,1
1597278872,0,1
1597280691,0,6
1597283335,0,115
1597285320,0,21
1597289672,2,2
1597292577,4,1
1597293697,1,0
1597295967,1,0
1597296873,0,22
1597300469,0,1
1597304072,1,1
1597314871,0,2
1597316802,0,32
1597320454,2,42
1597324231,1,0
1597325694,2,0
1597329268,1,0
1597337429,1,0
1597344627,1,0
1597347890,0,1
1597351826,1,1
1597358067,1,0
1597361669,1,4
1597365271,0,1
1597368868,0,1
1597370075,1,0
1597375532,1,0
1597379059,1,1
1597381430,1,0
1597386331,1,0
1597387829,0,1
1597391774,0,1
1597396379,1,1
1597397671,0,1
1597399200,0,1
1597401271,4,2
1597403735,1,2
1597406805,1,0
1597407934,1,0
1597409432,0,2
1597412066,0,3
1597413459,0,1
1597415129,1,0
1597419271,1,0
1597421017,0,3
1597425465,0,1
1597426638,0,1
1597429528,1,0
1597430071,1,1
1597431299,0,1
1597433670,0,1
1597436358,3,3
1597437270,1,0
1597439067,0,1
1597441427,1,1
1597442565,0,1
1597444473,1,0
1597446603,0,1
1597448074,1,0
1597452633,0,3
1597455270,0,3
1597459836,0,1
1597462471,0,1
1597466073,2,3
1597468915,0,1
1597473266,0,1
1597475594,1,1
1597476864,0,1
1597479483,0,2
1597480467,0,2
1597481927,0,1
1597484067,0,4
1597490248,0,1
1597494332,0,1
1597495830,0,1
1597498465,0,1
1597500649,0,1
1597505671,0,1
1597509266,1,1
1597512871,0,1
1597514185,1,0
1597523127,2,0
1597526702,1,0
1597528132,1,0
1597529554,1,0
1597538078,2,2
1597548874,1,0
1597556066,1,1
1597559670,0,1
1597561968,1,2
1597566870,0,1
1597568147,14,1
1597569338,18,0
1597570472,3,0
1597571663,3,0
1597573533,2,1
1597577128,4,0
1597578638,5,1
1597580730,10,0
1597582233,2,2
1597584874,3,0
1597587933,4,0
1597589329,1,0
1597590963,4,0
1597592469,0,1
1597595134,1,0
1597595672,2,0
1597599270,3,5
1597601868,2,1
1597604589,1,1
1597606468,1,2
1597608936,1,2
1597611572,3,0
1597613151,2,1
1597613669,1,0
1597615160,1,1
1597617274,1,0
1597628071,1,2
1597631677,0,1
1597634016,0,1
1597635270,0,2
1597641336,3,0
1597642477,1,0
1597646071,2,0
1597649673,1,2
1597656874,0,2
1597664075,4,0
1597665235,2,0
1597669134,0,2
1597677935,1,0
1597692870,0,2
1597695815,1,1
1597699536,2,1
1597701309,1,0
1597707275,0,1
1597709111,1,2
1597711593,0,3
1597718073,0,1
1597722345,7,1
1597725279,1,1
1597727473,0,2
1597731280,1,1
1597735535,0,1
1597736829,1,0
1597739675,1,2
1597741259,1,1
1597743277,0,2
1597746876,0,1
1597748140,2,0
1597749821,0,1
1597750475,0,2
1597752671,0,2
1597754070,1,1
1597757668,2,0
1597760737,3,1
1597763829,1,0
1597766801,0,1
1597768475,3,0
1597771532,1,1
1597775141,3,2
1597775674,2,1
1597778731,1,0
1597780121,1,0
1597781902,1,0
1597782874,0,1
1597786472,0,1
1597787732,1,0
1597789101,1,2
1597791441,1,0
1597797277,3,1
1597800334,2,0
1597803933,0,2
1597804475,0,1
1597807542,1,1
1597811678,1,2
1597814142,1,20
1597816244,0,48
1597817840,62,0
1597819304,1,1
1597820561,2,0
1597822474,1,1
1597827218,0,1
1597828442,0,1
1597833279,0,1
1597834650,1,4
1597837842,0,1
1597838997,2,0
1597844102,1,1
1597851275,0,1
1597854874,1,0
1597856553,1,0
1597861478,1,0
1597862597,1,0
1597865134,3,0
1597868266,0,7
1597872335,0,1
1597875438,1,0
1597879538,1,0
1597882663,1,0
1597885009,1,0
1597886296,0,1
1597888234,1,0
1597895502,2,1
1597897175,0,1
1597898079,1,0
1597901681,0,1
1597904736,1,0
1597905274,1,0
1597907179,0,1
1597908878,2,1
1597913625,0,1
1597914950,0,3
1597916082,0,2
1597920188,0,1
1597922731,2,1
1597924243,0,2
1597925674,9,0
1597929801,61,1
1597931312,11,0
1597934077,0,2
1597935538,0,1
1597936818,1,0
1597939062,1,0
1597941275,0,1
1597944876,0,1
1597948474,0,1
1597955677,1,1
1597958732,0,1
1597960644,0,1
1597972955,0,1
1597974633,1,1
1597975887,1,0
1597978238,1,1
1597979631,2,0
1597980882,0,1
1597982201,0,1
1597984479,0,2
1597988088,0,2
1597993252,1,0
