DateTime,AddedIPs,RemovedIPs
1597540172,27,21
1597542006,33,30
1597543929,23,37
1597545875,42,30
1597547764,32,27
1597549929,33,0
1597553791,27,55
1597557694,30,54
1597560516,22,27
1597562415,26,32
1597564326,21,15
1597566273,14,30
1597568178,16,25
1597570087,33,27
1597572055,24,17
1597573930,21,32
1597575874,21,28
1597577765,15,25
1597579689,18,22
1597581634,23,29
1597583531,20,18
1597585449,21,21
1597587366,24,25
1597589284,26,33
1597591270,32,31
1597593123,32,30
1597595046,38,24
1597596991,26,0
1597598887,33,0
1597600835,22,37
1597602758,25,21
1597604654,25,28
1597606570,21,24
1597608516,26,24
1597610408,30,30
1597612328,33,39
1597614275,24,29
1597616165,34,0
1597618111,24,29
1597620005,31,49
1597621925,26,35
1597623871,25,43
1597625765,18,30
1597627763,26,27
1597629645,39,29
1597631529,29,20
1597633693,21,41
1597635605,29,36
1597637560,25,33
1597639446,27,0
1597641368,37,30
1597643312,24,0
1597645245,27,33
1597647125,25,19
1597650965,12,39
1597652887,10,17
1597654906,14,18
1597656731,26,28
1597658892,25,17
1597660828,24,23
1597662753,20,18
1597664647,31,17
1597666565,32,22
1597668512,30,22
1597672324,33,46
1597674271,29,26
1597676165,49,26
1597678084,30,29
1597680040,29,36
1597681927,39,31
1597684091,34,30
1597686008,27,31
1597687955,19,24
1597689848,27,21
1597691770,37,26
1597693713,30,21
1597695620,36,25
1597697525,29,33
1597699507,32,29
1597701366,33,23
1597703285,21,28
1597705243,30,20
1597709295,21,51
1597711208,12,24
1597713173,29,18
1597715047,31,34
1597718884,23,71
1597720806,29,21
1597722750,27,30
1597724647,35,39
1597726569,26,26
1597730418,32,63
1597733287,32,30
1597735204,26,31
1597737152,21,0
1597740963,14,31
1597746727,25,76
1597748673,17,21
1597750570,22,25
1597752525,32,31
1597754405,22,31
1597756330,35,28
1597758275,26,0
1597760170,4,38
1597762115,27,32
1597764040,41,48
1597765927,36,25
1597767876,18,30
1597769766,38,40
1597771690,28,37
1597773635,35,29
1597775525,23,22
1597779401,29,67
1597781291,29,38
1597783210,37,35
1597785158,32,28
1597787049,37,37
1597788970,34,35
1597790919,36,20
1597792806,36,27
1597794726,32,0
1597796673,36,20
1597798567,20,14
1597800509,31,30
1597802447,22,39
1597804325,28,0
1597806249,38,22
1597808193,26,33
1597810095,22,32
1597812009,28,38
1597813955,26,28
1597815851,26,0
1597817773,30,36
1597819717,33,31
1597821607,17,29
1597823525,36,0
1597825472,20,25
1597827366,20,13
1597829289,15,0
1597831248,23,0
1597835056,19,23
1597836995,23,32
1597838892,30,0
1597840807,35,44
1597842755,32,36
1597844648,24,0
1597846571,22,35
1597848515,22,0
1597850428,33,26
1597852328,43,75
1597854272,31,0
1597856165,37,17
1597858330,34,62
1597860247,41,37
1597862195,37,27
1597864089,36,0
1597866006,43,25
1597867953,33,25
1597869849,28,33
1597872158,31,34
1597874195,20,34
1597876087,38,28
1597878006,25,32
1597879953,30,40
1597881847,30,21
1597883775,32,36
1597885730,26,22
1597887605,28,33
1597889526,30,23
1597891472,31,28
1597893368,34,35
1597895527,33,21
1597897450,32,17
1597899391,34,29
1597901284,25,26
1597903216,33,26
1597906089,28,39
1597908032,35,55
1597909930,22,31
1597911849,16,0
1597913793,25,41
1597915744,12,17
1597917639,29,0
1597919558,21,19
1597921664,21,20
1597923609,34,26
1597925528,33,29
1597927475,23,32
1597929389,36,24
1597931286,21,19
1597933230,18,24
1597935128,19,28
1597937047,8,32
1597940885,24,77
1597942832,33,44
1597944732,35,37
1597946652,29,47
1597948592,37,0
1597950513,41,77
1597952409,42,45
1597954358,38,33
1597956246,35,0
1597958175,30,26
1597960334,44,28
1597962246,37,20
1597966084,42,55
1597968018,37,34
1597969953,37,31
1597971851,27,33
1597973795,30,22
1597975698,24,31
1597977608,32,33
1597979553,31,26
1597981444,35,31
1597983619,26,33
1597985544,25,25
1597987474,22,32
1597991284,27,56
1597993241,43,25
1597995130,31,33
1597997048,46,21
1597998995,14,16
1598000889,20,23
1598002850,34,15
1598004774,20,36
1598006656,13,20
1598008567,12,23
