DateTime,Entries,UniqueIPs
1597540172,6379,6650
1597542006,6383,6652
1597543929,6384,6652
1597545875,6390,6661
1597547764,6394,6665
1597549929,6404,6675
1597553791,6390,6661
1597557694,6376,6647
1597560516,6375,6645
1597562415,6371,6640
1597564326,6376,6645
1597566273,6367,6636
1597568178,6361,6630
1597570087,6376,6646
1597572055,6379,6650
1597573930,6377,6649
1597575874,6376,6648
1597577765,6374,6646
1597579689,6379,6651
1597581634,6374,6644
1597583531,6378,6648
1597585449,6380,6650
1597587366,6377,6647
1597589284,6385,6655
1597591270,6382,6652
1597593123,6382,6653
1597595046,6384,6657
1597596991,6380,6654
1597598887,6371,6644
1597600835,6364,6637
1597602758,6359,6631
1597604654,6365,6637
1597606570,6376,6648
1597608516,6372,6645
1597610408,6380,6653
1597612328,6380,6653
1597614275,6380,6653
1597616165,6387,6661
1597618111,6404,6679
1597620005,6406,6679
1597621925,6406,6678
1597623871,6406,6678
1597625765,6399,6671
1597627763,6398,6670
1597629645,6414,6686
1597631529,6422,6694
1597633693,6413,6684
1597635605,6409,6680
1597637560,6405,6676
1597639446,6400,6674
1597641368,6392,6664
1597643312,6393,6665
1597645245,6390,6662
1597647125,6388,6658
1597650965,6363,6629
1597652887,6354,6620
1597654906,6354,6619
1597656731,6357,6622
1597658892,6358,6623
1597660828,6345,6610
1597662753,6333,6599
1597664647,6341,6609
1597666565,6338,6607
1597668512,6334,6606
1597672324,6310,6580
1597674271,6302,6573
1597676165,6322,6594
1597678084,6315,6586
1597680040,6307,6580
1597681927,6312,6585
1597684091,6309,6582
1597686008,6313,6587
1597687955,6312,6587
1597689848,6304,6579
1597691770,6313,6589
1597693713,6336,6612
1597695620,6338,6614
1597697525,6339,6615
1597699507,6342,6618
1597701366,6349,6624
1597703285,6349,6626
1597705243,6337,6614
1597709295,6324,6601
1597711208,6280,6557
1597713173,6275,6554
1597715047,6295,6574
1597718884,6249,6527
1597720806,6264,6544
1597722750,6244,6523
1597724647,6266,6545
1597726569,6261,6540
1597730418,6246,6524
1597733287,6210,6490
1597735204,6229,6510
1597737152,6211,6490
1597740963,6207,6486
1597746727,6176,6455
1597748673,6141,6420
1597750570,6154,6434
1597752525,6136,6417
1597754405,6150,6432
1597756330,6122,6405
1597758275,6125,6407
1597760170,6117,6399
1597762115,6134,6416
1597764040,6165,6448
1597765927,6166,6449
1597767876,6176,6459
1597769766,6190,6473
1597771690,6197,6480
1597773635,6214,6497
1597775525,6204,6487
1597779401,6154,6435
1597781291,6175,6456
1597783210,6174,6455
1597785158,6146,6427
1597787049,6138,6419
1597788970,6132,6413
1597790919,6151,6432
1597792806,6172,6453
1597794726,6162,6441
1597796673,6186,6465
1597798567,6178,6457
1597800509,6161,6440
1597802447,6177,6456
1597804325,6176,6455
1597806249,6183,6463
1597808193,6197,6477
1597810095,6194,6474
1597812009,6189,6470
1597813955,6192,6473
1597815851,6188,6469
1597817773,6183,6464
1597819717,6191,6472
1597821607,6185,6465
1597823525,6200,6479
1597825472,6214,6493
1597827366,6217,6497
1597829289,6211,6491
1597831248,6212,6492
1597835056,6190,6470
1597836995,6183,6463
1597838892,6181,6461
1597840807,6184,6464
1597842755,6177,6456
1597844648,6161,6441
1597846571,6146,6425
1597848515,6154,6433
1597850428,6163,6441
1597852328,6179,6456
1597854272,6184,6461
1597856165,6200,6477
1597858330,6206,6483
1597860247,6217,6493
1597862195,6229,6507
1597864089,6238,6515
1597866006,6244,6521
1597867953,6242,6520
1597869849,6235,6513
1597872158,6230,6508
1597874195,6223,6502
1597876087,6220,6500
1597878006,6220,6501
1597879953,6223,6503
1597881847,6226,6506
1597883775,6233,6511
1597885730,6234,6512
1597887605,6252,6531
1597889526,6241,6519
1597891472,6234,6512
1597893368,6251,6530
1597895527,6248,6527
1597897450,6259,6538
1597899391,6267,6547
1597901284,6264,6543
1597903216,6268,6547
1597906089,6258,6537
1597908032,6265,6544
1597909930,6268,6547
1597911849,6267,6546
1597913793,6276,6556
1597915744,6278,6558
1597917639,6281,6561
1597919558,6282,6560
1597921664,6287,6565
1597923609,6303,6581
1597925528,6313,6591
1597927475,6307,6583
1597929389,6311,6590
1597931286,6304,6583
1597933230,6315,6594
1597935128,6324,6603
1597937047,6319,6598
1597940885,6322,6601
1597942832,6334,6613
1597944732,6341,6621
1597946652,6335,6615
1597948592,6342,6622
1597950513,6357,6637
1597952409,6361,6640
1597954358,6385,6666
1597956246,6404,6688
1597958175,6426,6710
1597960334,6429,6713
1597962246,6432,6717
1597966084,6431,6713
1597968018,6434,6715
1597969953,6462,6743
1597971851,6470,6751
1597973795,6482,6764
1597975698,6480,6762
1597977608,6489,6770
1597979553,6497,6778
1597981444,6506,6787
1597983619,6511,6793
1597985544,6501,6782
1597987474,6501,6782
1597991284,6486,6768
1597993241,6501,6783
1597995130,6506,6788
1597997048,6524,6806
1597998995,6523,6804
1598000889,6527,6808
1598002850,6537,6818
1598004774,6540,6821
1598006656,6540,6821
1598008567,6541,6822
1598010512,6539,6820
1598014332,6526,6809
1598016274,6523,6807
1598018165,6549,6833
1598020331,6563,6848
1598022255,6556,6841
1598024201,6581,6866
1598028006,6590,6873
1598029928,6587,6870
1598031845,6598,6880
1598033792,6604,6886
1598035684,6611,6893
1598037607,6607,6889
1598039553,6612,6894
1598041446,6611,6892
1598043366,6600,6880
1598047214,6574,6854
1598051083,6565,6845
1598053001,6563,6844
1598054917,6571,6856
1598056809,6573,6859
1598058732,6586,6871
