DateTime,AddedIPs,RemovedIPs
1597540172,60,53
1597542006,59,60
1597543929,53,61
1597545875,63,47
1597547764,63,67
1597549929,66,61
1597553791,61,66
1597557694,65,63
1597560516,48,63
1597562415,44,45
1597564326,37,50
1597566273,38,36
1597568178,51,38
1597570087,63,50
1597572055,58,62
1597573930,49,57
1597575874,55,51
1597577765,41,52
1597579689,47,42
1597581634,53,46
1597583531,50,55
1597585449,55,51
1597587366,43,50
1597589284,57,51
1597591270,59,55
1597593123,54,55
1597595046,61,59
1597596991,59,60
1597598887,60,59
1597600835,64,61
1597602758,47,64
1597604654,59,45
1597606570,49,56
1597608516,50,49
1597610408,58,51
1597612328,62,63
1597614275,52,60
1597616165,63,52
1597618111,52,62
1597620005,50,49
1597621925,50,53
1597623871,51,48
1597625765,47,55
1597627763,60,40
1597629645,66,67
1597631529,59,67
1597633693,53,56
1597635605,62,53
1597637560,59,59
1597639446,52,60
1597641368,59,55
1597643312,63,58
1597645245,50,60
1597647125,53,54
1597650965,43,50
1597652887,23,48
1597654906,36,22
1597656731,56,34
1597658892,49,53
1597660828,52,49
1597662753,52,52
1597664647,46,52
1597666565,61,50
1597668512,54,60
1597672324,63,56
1597674271,56,61
1597676165,74,57
1597678084,51,76
1597680040,66,51
1597681927,59,64
1597684091,62,58
1597686008,58,65
1597687955,51,54
1597689848,61,49
1597691770,55,64
1597693713,51,53
1597695620,56,54
1597697525,50,53
1597699507,50,52
1597701366,61,50
1597703285,48,62
1597705243,48,46
1597709295,38,46
1597711208,32,36
1597713173,55,35
1597715047,60,55
1597718884,49,65
1597720806,63,48
1597722750,47,61
1597724647,62,49
1597726569,61,60
1597730418,60,58
1597733287,60,61
1597735204,47,57
1597737152,56,52
1597740963,26,53
1597746727,39,32
1597748673,43,39
1597750570,37,39
1597752525,64,41
1597754405,35,61
1597756330,60,35
1597758275,56,62
1597760170,10,57
1597762115,54,12
1597764040,65,48
1597765927,59,67
1597767876,37,58
1597769766,58,39
1597771690,51,58
1597773635,51,50
1597775525,44,51
1597779401,43,42
1597781291,41,42
1597783210,54,42
1597785158,54,53
1597787049,58,55
1597788970,55,58
1597790919,57,55
1597792806,65,59
1597794726,57,65
1597796673,62,53
1597798567,49,66
1597800509,57,48
1597802447,50,53
1597804325,55,50
1597806249,68,57
1597808193,59,68
1597810095,57,56
1597812009,52,60
1597813955,57,51
1597815851,54,59
1597817773,62,57
1597819717,53,60
1597821607,45,56
1597823525,59,44
1597825472,36,60
1597827366,47,36
1597829289,41,48
1597831248,38,38
1597835056,36,37
1597836995,46,36
1597838892,57,47
1597840807,56,53
1597842755,49,58
1597844648,51,49
1597846571,45,51
1597848515,53,48
1597850428,56,53
1597852328,61,56
1597854272,58,61
1597856165,56,57
1597858330,62,58
1597860247,65,57
1597862195,65,67
1597864089,57,61
1597866006,62,60
1597867953,53,63
1597869849,49,53
1597872158,56,47
1597874195,47,55
1597876087,60,49
1597878006,57,61
1597879953,63,58
1597881847,60,60
1597883775,58,58
1597885730,47,57
1597887605,59,48
1597889526,54,58
1597891472,51,59
1597893368,54,49
1597895527,64,56
1597897450,54,63
1597899391,56,52
1597901284,52,60
1597903216,62,52
1597906089,48,61
1597908032,60,46
1597909930,52,64
1597911849,38,49
1597913793,39,42
1597915744,36,38
1597917639,60,31
1597919558,43,60
1597921664,49,44
1597923609,48,51
1597925528,60,50
1597927475,46,59
1597929389,66,47
1597931286,53,64
1597933230,37,55
1597935128,32,37
1597937047,14,32
1597940885,54,14
1597942832,52,52
1597944732,60,52
1597946652,41,56
1597948592,58,45
1597950513,59,60
1597952409,65,58
1597954358,56,62
1597956246,56,62
1597958175,59,57
1597960334,64,56
1597962246,61,64
1597966084,62,62
1597968018,64,60
1597969953,56,58
1597971851,52,65
1597973795,59,51
1597975698,56,55
1597977608,58,58
1597979553,63,61
1597981444,60,58
1597983619,55,62
1597985544,52,55
1597987474,46,53
1597991284,61,45
1597993241,71,65
1597995130,52,67
1597997048,63,54
