DateTime,AddedIPs,RemovedIPs
1597013763,31,49
1597017604,56,25
1597019521,97,3527
1597021682,3527,97
1597023604,58,57
1597027443,42,54
1597031281,54,53
1597035122,44,40
1597038963,33,110
1597040882,23,22
1597044721,23,513
1597046641,491,0
1597048561,28,25
1597052402,23,32
1597058162,19,33
1597060082,21,33
1597063921,24,30
1597067763,29,32
1597071602,36,25
1597075442,35,35
1597077361,25,29
1597081203,36,35
1597085042,29,40
1597088882,38,27
1597092722,21,37
1597096562,36,30
1597100409,24,38
1597102434,62,34
1597106162,21,22
1597110002,47,34
1597113842,41,44
1597117681,62,71
1597121521,39,40
1597125362,39,41
1597129207,16,24
1597131121,10,5177
1597133042,5177,0
1597134962,29,32
1597140721,28,28
1597142642,24,23
1597146481,31,31
1597150321,20,29
1597152242,28,36
1597158008,32,26
1597162082,37,28
1597164002,32,28
1597167848,25,38
1597171682,21,31
1597173602,30,24
1597179362,17,25
1597183210,32,35
1597185121,17,27
1597189206,52,25
1597191122,25,28
1597195202,61,37
1597200962,45,59
1597206722,47,59
1597208641,48,44
1597210562,40,38
1597214403,28,33
1597218242,30,23
1597222082,29,27
1597225921,22,31
1597227842,31,22
1597229762,35,51
1597233610,28,20
1597235522,18,31
1597239362,38,35
1597243204,29,24
1597245123,24,29
1597247042,48,45
1597250882,36,33
1597254722,32,35
1597258562,19,42
1597262409,44,33
1597264321,31,28
1597270083,122,39
1597273923,69,67
1597277763,26,28
1597283521,49,35
1597287362,39,56
1597291212,64,68
1597293121,4,5978
1597295282,5972,0
1597297202,41,27
1597301048,24,32
1597306802,48,26
1597308722,33,35
1597314482,33,32
1597316403,24,25
1597318321,7,4786
1597320242,4775,0
1597322161,25,22
1597326004,27,35
1597329842,29,26
1597335604,31,27
1597337522,36,36
1597341362,31,26
1597345209,23,35
1597347196,30,29
1597349042,28,31
1597353363,30,26
1597359122,33,34
1597362962,46,32
1597366809,28,25
1597368723,4,5429
1597370641,4838,0
1597372562,639,60
1597374482,62,57
1597380243,41,43
1597384082,37,35
1597387922,27,29
1597391762,35,28
1597395603,28,35
1597397523,60,68
1597399443,2,0
1597401361,31,23
1597405202,24,25
1597409044,20,21
1597410962,21,20
1597412881,40,39
1597416722,36,33
1597420562,22,42
1597424411,42,22
1597426324,48,120
1597428242,25,31
1597430163,24,28
1597434002,22,17
1597437843,26,22
1597439762,50,24
1597445522,45,31
1597449363,82,27
1597453206,26,23
1597455194,36,36
1597458962,43,56
1597460883,50,56
1597466644,40,42
1597470481,40,39
1597474323,23,28
1597478162,22,19
1597482010,32,24
1597485842,18,42
1597487763,22,28
1597491603,21,29
1597495443,29,22
