DateTime,AddedIPs,RemovedIPs
1597885219,0,1
1597885520,1,0
1597885816,2,0
1597886118,19,0
1597889117,2,0
1597889416,3,0
1597889717,16,0
1597893017,1,0
1597893318,11,0
1597896617,1,0
1597896916,10,0
1597897217,1,0
1597897518,15,0
1597898116,5,0
1597898418,3,0
1597900519,7,0
1597903517,0,1
1597904118,8,0
1597907119,1,0
1597907719,3,0
1597908016,1,0
1597910720,1,0
1597911020,1,0
1597911316,1,0
1597914318,0,2
1597914917,3,0
1597918218,1,0
1597918519,14,0
1597920320,0,4
1597920616,0,1
1597922118,6,0
1597925418,1,0
1597925719,12,0
1597928717,1,1
1597929318,11,0
1597932917,8,0
1597936218,2,0
1597936519,9,0
1597937416,0,1
1597939518,1,0
1597940116,17,0
1597941317,0,1
1597943119,0,1
1597943719,8,0
1597944318,47,0
1597947318,15,0
1597950619,29,0
1597950919,25,0
1597954519,14,0
1597957519,0,1
1597958117,14,0
1597961716,16,0
1597965319,15,0
1597969216,17,0
1597971918,0,1
1597972518,9,0
1597976117,5,0
1597979418,1,0
1597979718,14,0
1597983617,6,0
1597986917,14,1
1597989919,1,0
1597990517,7,1
1597994118,10,0
1597997718,13,0
1598001318,12,0
1598005217,14,0
1598008517,8,0
1598008818,6,0
1598010018,0,1
1598012118,19,0
1598012417,1,0
1598013920,13,0
1598015120,0,2
1598015720,8,0
1598016017,1,0
1598018117,17,0
1598019320,19,0
1598019618,10,0
1598022318,1,1
1598022918,13,0
1598026520,9,0
1598026818,2,0
1598029520,1,1
1598030119,20,0
1598030418,4,0
1598031917,0,1
1598033719,20,0
1598034017,3,0
1598036721,0,1
1598037319,12,0
1598037618,3,0
1598040318,1,0
1598040918,15,0
1598044519,15,0
1598044818,2,0
1598048117,13,0
1598048717,0,1
1598049017,0,2
1598052016,14,0
1598054721,0,1
1598055018,1,0
1598055617,18,0
1598058917,9,0
1598062519,12,0
1598066118,15,0
1598069120,32,0
1598069418,67,0
1598069718,11,0
1598072719,14,0
1598073017,17,0
1598073318,12,0
1598076320,12,0
1598076626,15,0
1598076917,10,0
1598079920,6,0
1598080218,10,0
1598080517,10,0
1598083519,2,1
1598083817,5,0
1598084117,10,0
1598087119,5,0
1598087417,5,0
1598087720,7,0
1598088018,1,0
1598090719,0,1
1598091018,3,0
1598091317,12,0
1598094616,7,0
1598094919,15,0
1598095518,0,1
1598098218,2,0
1598098520,18,0
1598099117,13,0
1598101518,1,0
1598101818,1,0
1598102119,16,0
1598105121,0,2
1598105417,2,0
1598105719,10,0
1598109017,2,0
1598109321,5,0
1598109618,1,0
1598109917,0,2
1598112318,0,1
1598112917,12,0
1598113218,0,1
1598115921,1,0
1598116519,15,0
1598119518,0,2
1598120117,16,0
1598123418,55,0
1598124018,10,0
1598126719,31,0
1598127017,14,0
1598127319,10,0
1598130318,17,0
1598130617,13,0
1598130917,12,0
1598133620,1,0
1598133921,5,0
1598134218,5,0
1598134518,20,0
1598134817,1,0
1598137518,3,0
1598137818,5,0
1598138118,14,0
1598141121,7,0
1598141418,7,0
1598141718,7,0
1598144717,2,0
1598145019,1,0
1598145318,14,0
1598148319,1,0
1598148619,1,0
1598148917,8,0
1598151920,2,0
1598152217,1,0
1598152516,17,0
1598155817,1,0
1598156418,8,0
1598159419,2,0
1598159719,18,0
1598162718,1,0
1598163017,2,0
1598163322,10,0
1598166319,1,1
1598166618,1,0
1598166917,9,0
1598169921,2,0
1598170520,16,0
1598170819,9,0
1598174118,9,0
1598178017,11,0
1598181316,12,0
1598181619,1,0
1598184318,1,0
1598184617,1,0
1598185217,14,0
1598188519,16,0
1598190320,0,2
1598192118,10,0
1598192418,1,0
1598195118,0,1
1598195718,12,0
1598196018,2,0
1598196617,0,1
1598196916,0,1
1598198718,0,1
1598199318,8,0
1598199618,1,0
1598202318,1,0
1598203218,15,0
1598206220,1,0
1598206520,19,0
1598206818,1,0
1598209817,1,0
1598210117,14,0
1598212218,1,0
1598213717,9,0
1598214018,2,0
1598217016,1,0
1598217317,22,0
1598220617,1,0
1598220920,18,0
1598224519,15,0
1598224817,1,0
1598227820,1,0
1598228118,10,0
1598231118,1,0
1598231418,1,0
1598231718,17,0
1598234720,1,0
1598235317,4,0
1598238616,2,0
1598238919,11,0
1598242519,11,0
1598246119,3,0
1598246418,10,0
1598249118,0,1
1598249718,8,0
1598250018,1,0
1598250321,20,1
1598253319,14,0
1598253617,3,0
1598256618,1,0
1598256916,9,0
1598257218,1,0
1598260518,9,0
1598260819,1,0
1598261118,1,0
1598263518,0,1
1598264119,11,0
1598266819,0,5
1598267718,11,0
1598268018,1,0
1598270720,29,0
1598271018,26,0
1598271319,7,0
1598271618,1,0
1598274317,15,0
1598274618,17,0
1598274919,9,0
1598275219,2,0
1598277920,4,0
1598278217,7,0
1598278517,6,0
1598281519,2,1
1598281818,4,0
1598282120,18,0
1598285120,7,0
1598285418,5,0
1598286018,16,0
1598288718,2,0
1598289616,26,0
1598292317,3,0
1598292620,1,0
1598292920,13,0
1598296519,11,0
1598296817,1,0
1598299518,1,0
1598299818,2,0
1598300117,4,0
1598303118,1,0
1598303417,1,0
1598303717,25,0
1598304017,1,0
1598306721,1,0
1598307017,4,0
1598307319,21,0
1598310917,15,0
1598313919,1,0
1598314218,1,0
1598314519,17,0
1598317817,1,0
1598318118,12,0
1598321418,1,0
1598321718,6,0
1598325017,3,0
1598325321,31,0
1598328617,1,0
1598328917,12,0
1598331917,0,1
1598332218,2,0
1598332521,5,0
1598335817,1,0
1598336119,12,0
1598336418,11,0
1598339419,1,0
1598339717,7,0
1598340017,2,0
1598342719,0,1
1598343018,2,0
1598343316,8,0
1598343617,1,0
1598346320,0,1
1598346617,2,0
1598346919,9,0
1598347219,2,0
1598350517,8,0
1598352620,0,3
1598353817,1,0
1598354120,9,0
1598354417,0,5
1598356818,0,2
1598357118,75,0
1598357417,2,0
1598357720,13,0
1598361319,49,0
1598362516,2,0
1598363417,39,0
1598364319,2,1
1598364917,16,0
1598365517,1,0
1598368219,1,0
1598368517,13,0
1598368818,1,0
1598371820,1,0
1598372117,16,0
1598372418,1,0
1598375120,0,1
1598375720,20,0
1598379019,1,0
1598379617,31,0
1598382321,0,1
1598383217,28,0
1598386520,25,0
1598389521,0,1
1598389817,1,0
1598390121,42,0
1598390418,1,0
1598393418,1,0
1598394018,34,0
1598394917,0,2
1598395219,0,2
1598396718,0,2
1598397018,1,0
1598397318,19,0
1598400618,1,0
1598400917,24,0
1598404517,23,0
1598408119,23,0
1598411417,1,0
1598411717,29,0
1598414717,0,1
1598415317,21,0
1598415920,0,1
1598418617,1,0
1598419217,24,0
1598421918,0,1
1598422518,20,0
1598425521,0,1
1598426118,21,0
1598429119,0,1
1598429418,2,0
1598429719,14,0
1598433017,2,0
1598433619,18,0
1598436921,22,0
1598440217,1,0
1598440520,26,0
1598443518,0,2
1598444118,21,0
1598445618,0,1
1598447119,37,1
