DateTime,AddedIPs,RemovedIPs
1592755817,6,0
1592756416,1,0
1592756716,2,0
1592757618,1,0
1592757918,1,0
1592758217,1,0
1592759417,2,0
1592760617,1,0
1592761216,1,0
1592761818,1,0
1592762116,1,0
1592762717,2,1
1592763320,2,0
1592763618,2,0
1592763918,1,0
1592764217,1,0
1592765417,2,0
1592766320,3,0
1592766617,1,0
1592766917,1,0
1592767218,1,0
1592768116,1,0
1592769016,61,0
1592769619,2,0
1592769916,1,0
1592770218,2,0
1592772616,2,0
1592772918,1,0
1592773219,1,0
1592774117,1,0
1592775019,1,0
1592775920,2,0
1592776819,1,0
1592777118,1,0
1592778616,1,0
1592779217,1,0
1592784616,11,0
1592813417,8,0
1592814017,2,0
1592842216,11,0
1592843418,1,0
1592843716,1,0
1592869519,0,1
1592871318,8,0
1592886619,0,1
1592899818,8,0
1592902217,1,0
1592928617,8,0
1592940619,6,0
1592957718,9,0
1592969118,0,1
1592986217,7,0
1593015016,8,0
1593044119,11,0
1593048017,0,1
1593063017,1,0
1593063317,2,0
1593072619,6,0
1593101417,11,0
1593117017,1,0
1593130217,13,0
1593143416,10,0
1593150916,0,1
1593159017,17,0
1593172819,0,4
1593188117,16,0
1593210017,1,0
1593216617,14,0
1593218418,1,0
1593219017,0,1
1593245416,7,0
1593274216,11,0
1593281118,3,0
1593296118,1,0
1593303016,11,0
1593328817,5,0
1593331816,8,0
1593335417,0,1
1593335718,0,1
1593360617,6,0
1593389417,8,0
1593418217,15,0
1593422717,0,1
1593426017,5,0
1593447017,13,0
1593453919,2,0
1593454817,1,0
1593458120,0,1
1593466818,3,0
1593475818,14,0
1593489618,0,1
1593499819,1,0
1593504616,9,0
1593519618,2,0
1593533117,13,0
1593533416,21,0
1593533717,0,2
1593552017,3,0
1593562217,37,0
1593580817,0,1
1593582617,0,1
1593586516,3,0
1593586818,1,0
1593591019,40,0
1593612321,2,0
1593616517,0,1
1593619817,23,0
1593624917,0,1
1593648617,19,0
1593664218,0,1
1593671417,0,1
1593674720,6,0
