DateTime,AddedIPs,RemovedIPs
1589675411,512,0
1589706017,0,512
1589720414,1024,0
1589722519,256,0
1589727613,256,256
1589750111,256,0
1589758717,256,0
1589764746,256,0
1589787910,256,0
1589793702,0,1536
1589806812,1280,0
1589814014,1280,768
1589826796,0,256
1589835617,256,512
1589836512,0,256
1589867111,0,256
1589882415,0,1024
1589897712,1536,512
1589904245,0,512
1589913434,256,0
1589913903,0,256
1589935158,0,256
1589953512,256,0
1589987712,0,1792
1589991313,768,0
1589992383,256,0
1589999411,256,0
1590002239,0,256
1590020112,256,0
1590039254,0,256
1590075911,768,512
1590080415,0,256
1590093011,256,0
1590104703,256,0
1590145216,0,1792
1590152413,1280,0
1590154211,256,0
1590175811,256,256
1590183013,0,256
1590231614,0,768
1590240612,1792,0
1590264212,256,512
1590269411,256,0
1590322774,0,1536
1590334212,1280,768
1590356712,256,0
1590366611,0,256
1590420612,1536,1024
1590427811,0,256
1590437106,0,256
1590443103,0,512
1590496211,1536,256
1590539743,0,768
1590586211,0,1024
1590591616,0,256
1590600612,1024,0
1590615903,256,0
1590685212,1280,768
1590690612,256,0
1590694212,256,256
1590753619,0,1536
1590766211,1280,0
1590773411,0,256
1590778813,0,256
1590784212,0,256
1590795903,0,256
1590841811,0,512
1590856211,512,0
1590872416,0,512
1590885011,256,0
1590898744,0,256
1590940812,1024,512
1590953582,512,0
1591019112,1280,1024
1591023613,256,0
1591029011,256,0
1591047011,512,0
1591050611,256,256
1591098311,0,1792
1591108212,1280,256
1591113614,0,512
1591162211,768,0
1591191911,768,1024
1591207214,768,512
1591215312,256,0
1591260312,2048,0
1591268412,512,0
1591281012,256,1280
1591291811,512,0
1591302612,0,256
1591313891,256,0
1591324211,512,0
1591371011,256,2560
1591378211,0,256
1591381811,256,0
1591385412,0,256
1591393115,0,256
1591410908,0,256
1591420903,0,1280
1591470911,1024,256
1591475411,512,512
1591490711,512,0
1591538412,0,1024
1591542011,2304,0
1591557312,256,0
1591567214,0,768
1591577112,512,0
1591611783,0,256
1591621215,1280,0
1591635855,256,2048
1591668012,256,768
1591715712,1536,1280
1591727765,0,512
1591757113,256,1280
1591794911,1280,0
1591833216,512,1024
1591874111,256,512
1591888511,0,1536
1591939363,2304,256
1591982112,1280,1536
1592009102,512,0
1592015790,256,0
1592060588,1280,1280
1592062211,256,0
1592137440,0,2048
1592150584,1280,256
1592161212,256,0
1592229612,1280,1024
1592235011,256,0
1592246090,0,256
1592310611,2048,768
1592323213,0,512
1592337789,512,256
1592346612,0,512
1592393718,0,1280
1592400611,0,256
1592432111,1280,768
1592440517,256,256
1592492414,2048,1536
1592507711,512,0
1592523011,512,0
1592569811,0,1280
1592584212,1536,512
1592619312,0,1024
1592656211,0,1280
1592663412,1536,0
1592681411,256,256
1592694011,256,0
1592724611,256,0
1592743502,0,1024
1592757012,1280,256
1592763311,256,512
1592766912,256,0
1592773212,512,256
1592788826,256,0
1592825411,1792,0
1592830812,256,1280
1592850612,1280,768
1592860512,256,256
1592861412,0,256
1592873112,256,0
1592924413,2304,3328
1592928013,256,0
1592939053,512,0
1592947811,256,0
1592951411,0,512
1592958604,256,0
1592991912,0,2304
1593005411,256,0
1593014412,256,0
1593016212,256,0
1593023412,512,0
1593029712,0,256
1593048611,512,256
1593082812,0,1280
1593091812,2048,0
1593095412,0,256
1593100812,256,0
1593102611,0,256
1593111845,256,512
1593117012,0,256
1593120611,256,0
1593124211,512,0
1593135011,256,0
1593142211,256,256
1593171011,0,2304
1593178211,1024,0
1593181811,256,256
1593210611,256,1280
1593220773,256,0
1593239630,256,0
1593262811,0,1024
1593264612,2560,0
1593271811,256,512
1593289811,512,0
1593304209,512,256
1593356413,1280,2304
1593363611,256,0
1593379811,256,0
1593383411,0,256
1593420312,0,256
1593430211,1024,0
1593442811,0,1280
1593462611,1024,768
1593495912,256,0
1593518415,256,1536
1593522145,1280,0
1593553512,0,512
1593578137,256,0
1593608411,0,2048
1593614711,1024,512
1593619214,256,0
1593628386,512,0
1593634511,256,0
1593635411,256,0
1593639011,256,0
1593698412,0,1536
1593705817,1536,0
1593711012,256,256
1593716648,256,256
1593721812,0,256
1593737111,0,256
1593750052,0,256
1593784812,0,1280
1593788412,1280,0
1593792014,512,0
1593797412,0,768
1593802812,256,0
1593841017,256,0
1593874812,768,768
1593898211,0,256
1593905907,0,256
1593954012,1280,0
1593957611,0,1280
1593961213,256,0
1593973811,256,512
1594040412,0,768
1594043111,1536,0
1594046711,256,256
1594049412,0,512
1594063970,256,0
1594070111,256,512
1594077312,0,256
1594126813,0,768
1594130413,1792,0
1594146830,512,256
1594152912,0,256
1594176311,0,256
1594209613,256,0
1594217012,0,1024
1594218938,512,768
1594294622,0,768
1594300512,2560,256
1594304111,0,512
1594311311,512,256
1594319411,512,0
1594321212,0,256
1594326611,256,0
1594335603,0,256
1594395911,1024,2560
1594402211,0,1024
1594416936,256,0
1594472412,0,1024
1594476011,768,0
1594554311,1280,0
1594560848,512,512
1594567812,256,256
1594574112,0,256
1594579512,256,256
1594585812,256,0
1594590303,256,0
1594620013,256,0
1594638912,0,512
1594642511,0,512
1594653312,0,512
1594661411,256,256
1594688403,512,0
1594733411,512,768
1594755911,512,512
1594766711,0,256
1594812944,0,512
1594828813,1280,512
1594843212,256,0
1594849512,256,0
1594864296,512,512
1594908911,512,768
1594924532,256,0
1594932312,256,0
1594933213,256,0
1594939787,0,256
1594951215,256,0
1594962912,0,256
1594988112,0,768
1594999155,0,1280
1595010612,1536,0
1595025911,0,256
1595078112,1536,0
1595080812,256,0
1595091612,256,1280
1595111682,256,256
1595160911,1280,1280
1595163613,256,0
1595176516,512,256
1595184311,0,768
1595236512,0,768
1595254767,0,1024
1595263511,1792,256
1595284496,1024,0
1595347212,1280,1280
1595354414,0,1536
1595371511,256,0
1595379613,256,0
1595424612,1024,1024
1595442612,256,0
1595473213,768,256
1595492112,256,0
1595510367,0,1280
1595521812,1024,256
1595538014,256,768
1595541614,256,0
1595606412,1024,1024
1595612711,256,768
1595650512,0,256
1595683811,0,256
1595694611,1024,256
1595713512,0,256
1595721929,256,0
1595754240,256,0
1595779212,1536,1024
1595784825,0,768
1595815220,256,256
1595865612,768,512
1595889012,256,1024
1595912412,256,0
1595938512,768,1024
1595957411,0,256
1595972078,512,0
1595980813,256,256
1596038403,768,1024
1596043811,256,0
1596051182,256,0
1596088812,768,0
1596103212,0,768
1596135226,1280,1024
1596150911,256,512
1596205812,0,1792
1596209412,1536,0
1596213012,256,0
1596216787,256,0
1596223812,0,512
1596303912,512,1536
1596310211,256,0
1596332712,256,0
1596385811,512,256
1596413713,256,512
1596427213,1024,0
1596431713,256,0
1596446111,256,0
1596519912,256,1024
1596675818,1536,3840
1596743137,2816,0
1596744011,256,0
1596808373,1280,0
1596829537,0,2560
1596830234,0,256
1596832239,256,0
1596834040,256,0
1596837603,256,0
1596848438,256,0
1596893448,0,512
1596898803,768,0
1596901406,0,256
1596905654,0,256
1596918636,0,256
1596919410,0,256
1596933044,512,0
1596947446,256,0
1596981141,512,0
1596985203,0,768
1596992132,0,256
1596995668,256,0
1597009533,0,256
1597015847,0,256
1597019451,1024,0
1597066251,0,1024
1597071201,256,0
1597077034,0,256
1597091441,256,0
1597102249,0,256
1597153609,1024,0
1597157132,0,1024
1597165203,0,256
1597172429,256,0
1597186942,0,256
1597194381,256,0
1597239951,0,512
1597244403,768,0
1597253433,0,512
1597254333,0,256
1597258828,256,256
1597270538,256,0
1597280850,0,256
1597330803,768,256
1597336231,0,256
1597343434,0,256
1597357842,256,0
1597417203,768,256
1597424403,0,256
1597425331,0,256
1597439736,0,256
1597440638,256,0
1597451445,512,0
1597458645,256,0
1597459626,256,0
1597503225,0,768
1597506325,1280,0
1597512632,256,0
1597518003,256,0
1597537845,256,512
1597539650,256,0
1597546052,0,256
1597549650,256,0
1597593137,512,1024
1597599032,0,256
1597623342,0,256
1597624241,256,0
1597626003,0,256
1597635911,0,256
1597660933,1280,0
1597672510,256,0
1597676430,256,0
1597678917,0,1024
1597693607,0,256
1597747504,768,768
1597751137,0,256
1597753828,256,0
1597758336,0,256
1597765523,0,256
1597774536,0,512
1597833951,0,768
1597838444,0,256
1597839350,0,256
1597855282,512,0
1597856443,0,256
1597857343,0,256
1597858243,256,0
1597860100,256,0
1597941903,0,256
1597944661,0,256
1597945411,512,0
1597946435,0,256
1597948235,0,256
1597951837,256,0
1597983386,256,0
1598021027,1024,0
1598025633,256,0
1598031935,0,256
1598037338,0,256
1598041840,0,256
1598069749,0,256
1598107153,512,0
1598111103,0,256
1598122836,256,0
1598130039,256,0
1598139045,0,256
1598189429,256,0
