DateTime,AddedIPs,RemovedIPs
1592196246,9,0
1592211616,899,1521
1592244511,725,770
1592264645,12,25
1592273290,14,21
1592277126,6,47
1592279942,139,68
1592280966,14,5
1592298017,1059,1758
1592335450,711,741
1592349365,16,0
1592361611,42,50
1592366343,91,84
1592369285,11,22
1592384419,1143,1480
1592427131,673,772
1592437927,13,24
1592446808,15,17
1592450648,17,29
1592452742,93,76
1592454485,14,15
1592470817,1164,1610
1592518448,694,673
1592522882,16,17
1592531526,16,18
1592535367,23,17
1592539142,104,94
1592543047,18,10
1592557218,1222,1538
1592607850,10,25
1592608335,500,422
1592609546,401,241
1592620093,51,50
1592625543,95,62
1592627766,14,14
1592643617,1096,1453
1592696408,11,32
1592699547,500,487
1592699770,257,173
1592704815,16,11
1592708892,14,12
1592712725,92,79
1592730018,790,1198
1592781366,15,0
1592790511,697,656
1592793368,38,0
1592798342,80,69
1592801046,22,0
1592816417,948,1261
1592869924,9,20
1592878569,20,30
1592881964,771,621
1592882407,17,30
1592884742,109,74
1592886250,18,13
1592902817,1240,1246
1592954883,20,22
1592963287,26,0
1592967130,28,0
1592971142,106,53
1592973873,783,660
1592974819,12,5
1592989217,1168,1329
1593040087,24,0
1593052087,49,22
1593059764,18,0
1593064335,669,721
1593075620,1264,1440
1593128644,30,42
1593136566,32,16
1593140407,16,10
1593143942,120,107
1593148325,4,16
1593155526,765,737
1593162017,1154,1527
1593213609,16,12
1593225127,41,35
1593230342,118,57
1593232806,13,0
1593246488,616,558
1593301929,965,1166
1593309610,18,13
1593313449,16,20
1593316742,123,44
1593321130,11,12
1593331217,889,1314
1593337450,659,706
1593386652,14,0
1593398168,33,17
1593403142,120,37
1593405849,12,4
1593417619,937,1486
1593428167,684,704
1593475210,18,23
1593483128,15,0
1593486967,30,35
1593489542,104,59
1593490812,12,0
1593504019,1408,1367
1593519370,672,735
1593560167,15,0
1593571698,35,32
1593575942,91,68
1593577448,13,13
1593590417,1264,1328
1593610114,568,717
1593645369,19,13
1593656887,30,36
1593662342,88,33
1593666493,16,11
1593676817,1238,1208
1593689556,668,0
1593711611,640,660
1593733686,12,14
1593741365,14,0
1593745207,20,32
1593748742,72,50
1593751208,18,19
1593761053,677,0
1593763218,997,1109
1593802120,653,683
1593818167,22,8
1593829686,45,37
1593835925,94,46
1593849617,963,1116
1593893554,500,496
1593893777,340,229
1593906730,16,32
1593914407,20,0
1593918489,18,37
1593921542,100,53
1593924968,7,12
1593936018,887,1164
1593985210,706,671
1593991450,18,0
1594002969,41,29
1594007942,69,63
1594009685,18,5
1594013051,693,0
1594022418,891,1565
1594080248,11,31
1594088166,22,0
1594092005,18,31
1594094342,86,65
1594098494,17,9
1594104492,769,683
1594108819,1104,2046
1594165204,18,0
1594173129,15,26
1594176966,17,13
1594180742,90,52
1594183450,16,20
1594191619,977,1652
1594196174,511,686
1594250167,16,31
1594261685,38,32
1594267143,99,55
1594268404,12,0
1594278019,1290,1793
1594287616,735,639
1594338968,22,27
1594346646,22,0
1594350491,17,28
1594353542,90,52
1594356727,672,684
1594357218,15,22
1594364417,1106,1528
1594373538,702,0
1594376918,653,0
1594423687,40,13
1594435207,57,46
1594439943,95,63
1594441924,24,20
1594450816,987,1307
1594468565,665,631
1594512023,14,24
1594519684,11,0
1594523525,16,42
1594526342,77,68
1594530489,14,9
1594537217,834,1377
1594560256,668,732
1594596250,17,0
1594607766,22,44
1594612743,67,69
1594615447,23,9
1594623618,789,1790
1594651718,765,686
1594684567,18,25
1594692247,14,13
1594696089,18,20
1594699143,88,59
1594703764,12,10
1594710018,1165,1705
1594743615,714,853
1594770009,13,0
1594777685,10,0
1594781526,5,17
1594785542,77,67
1594789208,11,21
1594796417,1209,1436
1594824251,747,742
1594855689,15,18
1594867212,25,40
1594871942,90,87
1594874885,16,13
1594882817,1103,1591
1594916443,783,712
1594940988,18,15
1594952406,19,0
1594956256,18,28
1594958342,93,58
1594960086,17,0
1594969218,2252,1329
1595008330,686,683
1595029450,15,21
1595037125,18,19
1595040967,14,0
1595044743,85,63
1595048646,16,20
1595052020,1516,1193
1595099536,664,670
1595113930,7,11
1595125451,15,36
1595129285,11,39
1595131142,108,56
1595133128,7,0
1595138417,1959,1210
1595191222,748,681
1595202726,17,30
1595210420,27,0
1595214490,13,11
1595217543,76,62
1595222163,12,23
1595224818,1452,1723
1595282648,808,882
1595287685,17,0
1595299206,38,34
1595303942,111,58
1595306884,15,21
1595311218,1803,1890
1595373854,734,724
1595376248,18,25
1595383932,22,0
1595387766,8,20
1595390342,115,40
1595391848,24,0
1595394017,1682,1782
1595423556,1,680
1595461208,21,0
1595472730,36,34
1595476743,117,51
1595480421,20,32
1595481163,2053,2176
1595546168,12,11
1595557689,21,28
1595561526,20,46
1595563217,1901,1485
1595565367,11,0
1595572601,675,749
1595634726,21,47
1595642421,18,0
1595646491,14,18
1595649542,1904,1143
1595654165,15,29
1595664038,547,637
1595719450,26,0
1595731212,31,67
1595735942,1625,1275
1595738888,13,0
1595755930,713,728
1595804657,14,33
1595815218,934,1493
1595816409,18,0
1595820248,15,30
1595822342,72,61
1595824086,10,10
1595848102,697,602
1595893686,15,13
1595901366,19,20
1595901619,1237,1984
1595905210,15,0
1595908743,80,78
1595913124,16,11
1595939801,726,621
1595978648,20,16
1595988017,1234,1474
1595990167,32,32
1595995142,116,63
1595997850,20,24
1596032171,0,669
1596033137,737,0
1596066967,26,14
1596074650,24,16
1596078489,1518,1454
1596081542,74,82
1596086166,22,13
