DateTime,AddedIPs,RemovedIPs
1598261521,4,0
1598262121,2,0
1598262962,25,24
1598263322,1,0
1598263921,1,0
1598264521,3,0
1598265123,9,1868
1598265182,1,0
1598265722,1,0
1598267042,1205,0
1598268121,1,0
1598268722,6,0
1598268962,688,19
1598269321,2,0
1598269922,2,1
1598270521,3,0
1598271722,2,0
1598272321,2,0
1598272802,18,26
1598272921,2,0
1598274722,7,0
1598275981,1,0
1598276641,38,27
1598277721,4,0
1598278321,2,0
1598278921,3,0
1598279522,5,0
1598280121,2,0
1598280481,18,25
1598280721,5,0
1598281322,1,0
1598281922,2,0
1598282521,1,0
1598283721,3,0
1598284323,38,23
1598284922,4,0
1598285521,5,0
1598286121,4,0
1598287322,3,0
1598287921,3,0
1598288162,15,23
1598290065,1,0
1598290921,3,0
1598291521,1,0
1598292003,26,32
1598292721,2,0
1598293321,11,0
1598293922,3,2986
1598294522,2,0
1598295121,6,0
1598295843,2696,1
1598296921,2,0
1598297763,311,28
1598298121,4,0
1598298721,4,0
1598299366,1,0
1598300522,2,0
1598301603,29,25
1598301721,2,0
1598302922,2,0
1598303521,3,0
1598304121,2,0
1598305443,24,38
1598306521,4,0
1598307122,5,0
1598307722,7,0
1598308921,3,0
1598309521,6,0
1598310121,2,0
1598311202,22,27
1598311321,1,0
1598312522,1,0
1598313123,61,21
1598313722,5,0
1598314921,3,0
1598316122,6,0
1598316962,19,24
1598317321,3,0
1598318521,2,0
1598319181,1,0
1598319721,2,0
1598320805,51,30
1598320922,1,0
1598322121,4,0
1598322722,14,2167
1598323322,5,0
1598324643,2146,0
1598325122,2,0
1598326562,59,59
1598326921,0,1
1598328122,3,0
1598329321,1,1
1598330402,38,36
1598330521,1,0
1598331121,2,0
1598331722,1,0
1598332322,2,0
1598334243,37,31
1598336522,4,1
1598337181,1,0
1598337721,1,0
1598338082,39,38
1598338921,1,0
1598340122,4,0
1598341922,24,24
1598342521,4,0
1598343121,1,0
1598343721,1,0
1598345762,34,25
1598346121,2,0
1598347321,2,0
1598348522,1,0
1598349604,23,25
1598349722,3,0
1598350921,1,0
1598351522,4,2253
1598353441,2233,0
1598353921,1,0
1598355362,35,24
1598355722,6,0
1598356322,1,0
1598356922,2,0
1598357521,2,0
1598358122,51,0
1598358781,52,1
1598359442,29,26
1598359921,2,0
1598360521,9,0
1598361721,7,0
1598362382,9,0
1598362921,7,0
1598363282,26,19
1598363521,12,0
1598364121,9,0
1598364721,7,0
1598365202,37,50
1598365321,26,0
1598365981,1,0
1598366521,19,0
1598367122,53,26
1598367721,18,0
1598368321,12,0
1598369042,39,33
1598369581,8,0
1598370121,6,0
1598370722,4,0
1598370964,50,46
1598371321,12,0
1598372521,14,0
1598373122,18,0
1598373721,18,0
1598374809,38,25
1598374921,18,0
1598375522,16,0
1598376121,21,0
1598376721,9,2194
1598377322,31,0
1598377921,15,0
1598378642,2185,0
1598379122,5,0
1598379721,2,0
1598380921,12,0
1598382483,38,27
1598382721,29,0
1598383321,29,0
1598384402,34,30
1598384522,19,0
1598385721,34,1
1598386321,9,1
1598386922,3,0
1598387521,6,0
1598387581,1,0
1598388121,9,4
1598388482,24,31
1598389322,14,0
1598389922,27,0
1598390521,16,0
1598391721,16,1
1598392322,48,33
1598392921,14,0
1598393521,8,0
1598394122,10,0
1598394782,1,0
1598395321,9,0
1598396162,30,30
1598396522,15,0
