DateTime,AddedIPs,RemovedIPs
1597276322,244,268
1597277041,4592,4567
1597277771,2,4
1597280163,81,72
1597284076,831,776
1597287841,4991,5178
1597288779,6,2
1597298641,1928,1897
1597299602,586,615
1597299675,5,1
1597309441,1812,1784
1597309573,1,0
1597310599,6,3
1597314962,262,288
1597316747,8,0
1597318802,284,263
1597320241,2057,2045
1597321686,4,39
1597331041,2960,2912
1597332168,3,79
1597334162,149,158
1597336353,36,33
1597341841,3580,3566
1597342552,5,1
1597345682,141,138
1597353362,4097,4110
1597353806,6,13
1597357202,30,27
1597358184,255,0
1597362334,34,46
1597363441,4403,4386
1597364882,66,114
1597368722,20,22
1597372562,831,780
1597374385,4801,4954
1597375907,9,51
1597386912,3,42
1597387922,551,573
1597390329,2258,2241
1597396883,0,2
1597397780,5,40
1597399443,282,267
1597400177,1587,1566
1597406679,1,1
1597406794,6,0
1597407123,247,247
1597408763,3,71
1597410241,2047,1995
1597419771,5,116
1597421041,2829,2813
1597422482,159,168
1597424170,51,66
1597426323,133,144
1597430162,144,133
1597430322,8,3
1597431841,3376,3376
1597434002,131,145
1597437036,1,0
1597437843,77,80
1597439736,0,9
1597441340,2,1
1597441682,80,77
1597442641,3882,3868
1597445522,76,80
1597448487,55,44
1597451496,245,0
1597452428,3,0
1597453205,29,29
1597453691,4526,4649
1597459626,251,0
1597460882,852,797
1597463474,4,1
1597464241,2119,2120
1597468562,511,509
1597472402,800,819
1597474345,4,5
1597475041,1678,1658
1597480082,434,422
1597483922,422,434
1597485324,5,3
1597485841,1457,1436
1597487762,3,10
1597489548,6,0
1597495442,346,359
1597496402,6,4
1597496753,1764,1733
1597503993,1,0
1597506963,206,197
1597507441,2574,2543
1597512273,46,39
1597518027,2,2
1597518100,255,0
1597518482,3311,3305
1597525552,0,2
1597529047,3,2
1597529143,3550,3539
1597530242,123,130
1597535193,62,106
1597537923,82,95
1597540096,4148,4282
1597549442,861,801
1597549650,250,0
1597550641,1770,1743
1597551105,2,3
1597553282,426,464
1597557122,464,426
1597560963,426,464
1597561441,1440,1412
1597562144,4,4
1597564802,767,738
1597569343,0,3
1597572241,1402,1376
1597572996,3,2
1597575997,4,0
1597576802,178,182
1597583041,1331,1296
1597583147,1,0
1597583795,2,3
1597584482,425,437
1597585448,43,37
1597588322,195,188
1597592402,188,195
1597593137,256,0
1597593841,2107,2097
1597594624,3,8
1597595429,0,254
1597596243,195,188
1597604162,0,1
1597604641,2640,2615
1597605609,1,2
1597608002,185,187
1597612535,0,11
1597615682,3267,3316
1597617038,5,5
1597619523,31,31
1597621728,55,61
1597626241,3956,4051
1597626387,7,3
1597627203,111,114
1597631043,862,817
1597637041,1709,1708
1597637542,3,6
1597642562,604,613
1597647841,1358,1348
1597648542,1,6
1597657922,307,310
1597658641,1305,1173
1597659380,5,1
1597660933,243,0
1597665610,282,285
1597665628,0,255
1597669441,1388,1338
1597669994,4,2
1597673767,41,44
1597680241,2216,2208
1597680931,1,3
1597681202,163,166
1597691041,2978,3043
1597691735,3,2
1597692722,134,129
1597698937,13,0
1597700402,87,105
1597701841,3579,3590
1597702291,5,1
1597707664,57,40
1597711922,864,822
1597712641,4121,4255
1597713412,2,0
1597719610,622,610
1597723441,1955,1951
1597724343,2,3
1597727283,624,633
1597734241,1557,1525
1597735284,1,2
1597738802,311,293
1597742642,293,311
1597745041,1362,1330
1597746482,307,292
1597750322,282,282
1597754162,282,282
1597754234,0,256
1597755594,3,5
1597755841,1763,1737
1597758003,281,282
1597761610,66,71
1597761843,135,142
1597766641,2483,2471
1597773363,143,131
1597777210,255,276
1597777441,3080,3054
1597785123,96,102
1597785341,6,0
1597787807,4,5
1597788241,3538,3531
1597794096,52,40
1597796642,109,119
1597798837,5,2
1597799041,4117,4258
1597800482,889,849
1597804322,608,624
1597809841,1763,1744
1597815843,621,628
1597820299,1,0
1597820641,1363,1353
1597827363,301,305
1597828550,1,0
1597830949,3,5
1597831441,1232,1234
1597841819,3,4
1597842241,1372,1337
1597843477,1,1
1597846563,292,305
1597847907,0,510
1597849445,56,67
1597850402,158,173
1597852799,5,4
1597853041,2097,2078
1597855282,253,0
1597855503,0,754
1597858322,193,179
1597862162,179,193
1597863843,0,1
1597864086,2716,2698
1597866003,191,179
1597874163,96,100
1597874908,3106,3112
1597880788,57,41
1597881842,103,99
1597885682,4038,4140
1597885903,5,0
1597889522,861,839
1597896241,1566,1561
1597896932,1,1
1597901042,597,607
1597907041,1254,1261
1597908032,1,2
1597917841,1254,1226
1597918560,4,1
1597920243,284,270
1597928643,288,290
1597928660,1093,1066
1597936323,163,166
1597937286,70,56
1597939551,1627,1598
1597940163,167,162
1597947842,249,271
1597950241,2244,2242
1597955522,126,108
1597959362,108,126
1597959811,12,1
1597961041,2851,2852
1597963203,113,140
1597967042,117,143
1597972262,3812,3900
1597978562,848,803
1597982641,1820,2010
1597983608,5,2
1597990082,553,573
1597993441,1274,1294
1597994645,4,3
1597998649,0,506
1598001602,284,291
1598003353,1,1
1598004241,1294,1282
1598004972,0,3
1598013122,247,237
1598015041,1440,1375
1598015809,2,2
1598017928,55,35
1598020802,125,137
1598021027,414,0
1598025841,2108,2115
1598026583,1,4
1598032569,157,153
1598036641,2780,2733
1598037518,3,1
1598044083,110,113
1598044541,4,0
1598047441,3251,3215
1598048559,1,1
1598053284,36,92
1598055602,29,30
1598058241,3917,4048
1598059142,5,0
1598063282,84,94
1598067123,822,796
1598069041,1700,1781
1598070169,2,2
1598070962,791,812
1598074803,812,791
1598078645,277,297
1598079841,1352,1357
1598081271,6,1
1598086322,373,407
1598090162,335,309
1598090641,1280,1269
1598092318,0,2
1598094002,297,325
1598101441,1354,1294
1598101923,421,397
1598103041,3,2
1598105767,58,59
1598109602,165,168
1598112241,2060,2009
1598114157,5,3
1598115125,0,245
1598123041,2952,2654
1598124962,89,100
1598125066,2,2
1598130039,250,0
1598130348,5,0
1598133841,3239,3196
1598135786,1,4
1598136482,97,105
1598140322,93,100
1598144163,869,752
1598144641,3826,4055
1598146418,2,3
1598148003,759,867
1598151843,828,755
1598155682,2254,2255
1598157263,1,0
1598163362,190,209
1598166241,1359,1335
1598167202,249,269
1598168044,0,3
1598174149,1,0
1598177041,1302,1254
1598178722,340,328
1598178993,3,1
1598186402,202,220
1598187841,1499,1458
1598189650,2,4
1598190243,372,339
1598193606,51,38
1598197923,129,121
1598198641,2186,2146
1598200534,0,2
1598204703,0,254
1598205603,92,98
1598209442,49,54
1598210137,2749,2720
1598211261,3,5
1598214638,248,0
1598217123,51,55
1598217340,4,0
1598220241,3150,3114
1598220962,25,26
1598222918,0,4
1598224802,77,75
1598226142,63,32
1598228642,75,77
1598231041,3817,4027
1598232482,822,798
1598232573,6,1
1598236322,360,338
1598241841,2179,2290
1598243344,0,2
1598247843,586,614
1598252641,1533,1442
1598254298,2,3
1598259363,309,299
1598263441,1548,1176
1598265294,6,6
1598274241,1678,1618
1598274723,275,267
1598276131,2,743
1598280697,418,0
1598281449,55,50
1598285041,2402,2383
1598286243,191,172
1598287106,5,257
1598296114,3135,3169
1598297762,127,134
1598298264,253,2
1598303138,3,6
1598306133,0,244
1598306641,3635,3577
1598309282,127,129
1598310726,1,1
1598313122,142,150
1598317441,3987,4461
1598320032,6,5
1598320802,30,30
1598324642,880,825
1598328241,2037,1904
1598330786,4,1
1598336162,632,642
1598339201,1581,1416
1598340010,641,632
1598341232,2,2
1598343842,632,641
1598349841,1628,1567
1598351522,341,350
1598352241,3,2
1598359203,224,234
1598360947,2186,2135
1598363577,5,1
1598366882,175,185
1598369289,52,45
1598370168,252,0
1598370722,185,175
1598371441,2949,2918
1598372134,0,256
1598374391,3,2
1598376638,0,256
1598378410,177,185
1598382243,139,158
1598382940,3471,3479
1598385200,2,2
1598387977,0,251
1598389922,97,107
1598390146,8,3
1598393289,3855,3825
1598396016,8,3
1598398944,33,62
1598401856,452,0
1598403842,4165,4364
1598406911,1,2
1598409362,870,821
1598413449,1,1
1598414641,1851,1851
1598415984,4,72
1598417787,9,2
1598420882,587,602
1598425441,1560,1438
1598428371,5,3
1598432403,274,284
1598432779,0,1
1598436482,1694,1647
1598439071,1,1
1598440322,277,283
1598441457,0,234
1598447041,1797,1763
1598450129,1,0
1598451843,318,308
1598454337,2,0
1598455923,157,184
1598456237,191,0
1598457390,48,40
1598457841,2445,2412
1598457954,1,0
1598460834,4,1
1598464323,133,144
1598468641,2942,2954
1598471517,1,2
1598476543,0,6
1598479682,113,122
1598481759,0,255
1598482310,1,4
1598485548,38,58
1598490241,3708,3939
1598491682,92,99
1598493331,2,6
1598493941,3,0
1598495522,872,795
1598497535,1,0
1598501438,1610,1546
1598501751,5,0
1598504441,9,6
1598507043,569,602
1598511841,1318,1311
1598515336,2,2
1598515548,208,0
1598519726,2,3
1598522641,1314,1297
1598526242,297,285
1598526388,6,1
1598533441,1447,1337
1598534308,0,226
1598537223,3,1
1598537762,264,285
1598544241,2144,2125
1598545460,1,1
1598548209,3,4
1598552142,1,0
1598553122,144,151
1598555041,2720,2678
1598555136,1,0
1598559151,3,7
1598560802,126,130
1598562333,0,7
1598565841,3144,3150
1598566016,1,0
1598570161,4,5
1598571955,45,59
1598576163,89,95
1598576641,3830,3985
1598576735,1,0
1598581199,4,3
1598583842,858,832
1598587558,1670,1670
1598589640,1,1
1598591522,614,611
1598592136,6,3
1598598241,1388,1373
1598602781,3,2
1598606161,0,3
1598606883,305,311
1598609041,1338,1329
