DateTime,AddedIPs,RemovedIPs
1597642805,50,30
1597644755,88,24
1597646648,77,27
1597648568,60,42
1597650509,39,34
1597652406,39,39
1597654326,71,41
1597656277,107,37
1597658165,78,50
1597660089,47,3405
1597662037,1467,0
1597663930,68,59
1597666093,110,79
1597668007,107,114
1597669953,116,73
1597671847,69,42
1597673766,76,45
1597675713,57,39
1597677605,100,44
1597679766,115,77
1597681684,84,36
1597683640,81,68
1597685528,63,35
1597687447,55,48
1597689389,82,80
1597691288,51,34
1597693205,70,24
1597695154,65,30
1597697046,52,32
1597698967,73,208
1597700909,99,114
1597702807,73,56
1597704728,64,52
1597706674,1248,0
1597708565,42,56
1597710485,66,67
1597712440,85,82
1597714330,41,37
1597716287,38,28
1597718165,58,44
1597720085,51,31
1597722033,70,52
1597723927,45,33
1597725846,47,54
1597727789,46,32
1597729684,35,44
1597731604,65,52
1597733552,75,57
1597735447,72,24
1597737365,65,27
1597739310,50,22
1597741219,71,107
1597743132,74,174
1597745074,69,4344
1597746971,107,62
1597748888,1677,0
1597750833,107,60
1597752968,124,158
1597754887,101,133
1597756829,129,57
1597758726,89,53
1597760673,90,33
1597762565,73,69
1597764483,98,106
1597766437,120,83
1597768322,114,33
1597770493,191,43
1597772406,75,53
1597774355,67,75
1597776258,79,100
1597778168,102,66
1597780113,133,37
1597782001,122,42
1597783924,90,69
1597785870,56,105
1597787764,83,84
1597789681,102,46
1597791675,1424,0
1597793528,56,34
1597795448,44,75
1597797392,88,117
1597799291,64,56
1597801206,76,45
1597803154,78,39
1597805049,57,31
1597806968,43,79
1597808915,79,58
1597810803,51,34
1597812726,89,37
1597814674,68,37
1597816564,81,50
1597818483,62,82
1597820438,118,75
1597822329,64,41
1597824249,93,35
1597826190,88,50
1597828099,53,68
1597830005,50,101
1597831950,77,3191
1597833847,125,84
1597835768,1423,0
1597837714,72,50
1597839606,70,48
1597841527,96,88
1597843471,88,52
1597845363,99,43
1597847287,86,48
1597849232,75,52
1597851128,85,60
1597853047,99,58
1597854997,100,54
1597856889,63,40
1597858804,74,30
1597860754,80,76
1597862646,71,49
1597864578,103,89
1597866513,117,57
1597868404,91,56
1597870327,85,60
1597872156,79,61
1597874193,105,87
1597876085,64,88
1597878007,87,76
1597879953,1209,0
1597881847,38,28
1597883775,71,60
1597885731,63,49
1597887605,64,33
1597889526,50,25
1597891472,72,53
1597893369,89,47
1597895527,64,55
1597897450,40,50
1597899391,52,37
1597901284,52,25
1597903217,65,56
1597905189,46,50
1597907047,48,53
1597908963,59,66
1597910914,62,51
1597912805,50,52
1597914730,68,61
1597916671,72,67
1597918564,64,4121
1597920482,81,136
1597922430,1804,0
1597924329,77,45
1597926248,77,63
1597928683,104,109
1597930568,98,87
1597932522,76,68
1597934409,87,66
1597936327,76,35
1597938271,87,79
1597940166,82,63
1597942110,77,81
1597944004,68,71
1597945925,83,79
1597947874,59,81
1597949763,75,109
1597951684,76,67
1597953640,97,115
1597955528,69,84
1597957718,101,66
1597959606,69,60
1597961524,66,82
1597963475,86,119
1597965366,1540,0
1597967528,80,39
1597969450,42,45
1597971391,64,81
1597973285,55,55
1597975234,63,65
1597977125,49,42
1597979293,64,37
1597981212,53,66
1597983157,66,45
1597985051,75,57
1597986969,50,77
1597988917,53,62
1597990808,69,84
1597992729,62,87
1597994672,70,69
1597996567,78,99
1597998489,61,83
1598000441,59,67
1598002625,68,62
1598004515,59,3521
1598006404,82,73
1598008358,1454,0
1598010247,97,58
1598012166,115,61
1598014109,99,67
1598016007,111,51
1598017927,107,72
1598019881,105,54
1598021763,106,79
1598023688,86,66
1598025635,107,71
1598027528,74,50
1598029470,123,51
1598031367,81,54
1598033286,59,52
1598035232,68,48
1598037126,85,50
1598039052,149,57
1598040989,152,75
1598042883,60,52
1598044802,82,54
1598046754,76,85
1598048646,74,51
1598050566,203,91
1598052759,1189,0
1598054652,53,32
1598056564,68,60
1598058516,49,40
1598060404,66,38
1598062325,68,43
1598064272,57,53
1598066165,48,73
1598068330,74,48
1598070246,46,40
1598072195,86,43
1598074088,40,49
1598076046,52,57
1598077958,38,34
1598079848,35,41
1598081794,58,53
1598083691,56,65
1598085605,40,48
1598087556,50,50
1598089447,41,68
1598091365,57,3340
1598093311,78,84
1598095215,1487,0
1598097127,77,82
1598099149,67,47
1598100965,95,54
1598102883,82,60
1598104841,115,67
1598106729,79,52
1598108646,80,59
1598110594,70,56
1598112493,108,65
1598114406,75,65
1598116356,88,57
1598118250,62,57
1598120165,67,67
1598122110,48,63
1598124007,56,57
1598125929,113,68
1598127876,69,64
1598129768,63,54
1598131687,55,52
1598133643,73,70
1598135532,65,70
1598137450,1237,0
1598139393,67,70
1598141292,53,53
1598143210,106,37
1598145153,179,40
1598147050,73,52
1598148966,54,42
1598150924,53,44
1598152805,38,41
1598154729,68,60
1598156671,74,53
1598158564,56,57
1598160487,47,44
1598162442,38,55
1598164328,38,55
1598166251,59,50
1598168190,73,59
1598170090,46,59
1598172005,58,50
1598173958,57,54
1598175845,46,57
1598178012,64,3720
1598179923,111,102
1598181871,1406,0
1598183763,133,64
1598185688,68,53
1598187631,133,87
1598189526,78,58
1598191446,70,72
1598193400,77,64
1598195284,100,36
1598197204,82,65
1598199150,112,59
1598201046,69,73
1598203210,80,80
1598205123,74,46
1598207069,66,37
1598208963,138,55
1598210882,74,40
1598212831,114,75
1598214726,96,48
1598216646,86,55
1598218589,99,49
1598220483,64,61
1598222408,115,74
1598224357,1152,0
1598226250,71,42
1598228169,98,45
1598230114,67,65
1598232004,64,36
1598233925,63,67
1598235872,53,42
1598237764,67,42
1598239928,60,47
1598241846,69,44
1598243791,56,63
1598245687,56,58
1598247613,54,51
1598249561,81,37
1598251445,85,42
1598253367,90,42
1598255315,80,66
1598257203,64,43
1598259125,49,44
1598261071,20,43
1598262962,60,65
1598265129,268,3339
1598267048,1521,0
1598268991,90,70
1598270888,60,65
1598272809,62,122
1598274753,163,57
1598276644,183,74
1598278570,119,60
1598280513,63,54
1598282465,75,42
1598284330,45,59
1598286280,183,84
1598288192,180,68
1598290132,76,51
1598292049,69,46
1598293967,62,46
1598295866,57,62
1598297782,190,76
1598299710,104,48
1598301611,103,74
1598303528,67,50
1598305472,80,53
1598307363,144,76
1598309289,195,86
1598311231,1255,0
1598313133,73,59
1598315074,67,41
1598316970,87,89
1598318885,57,64
1598320840,91,50
1598322728,55,36
1598324653,52,41
1598326671,69,34
1598328520,64,73
1598330407,118,67
1598332358,61,40
1598334247,33,42
1598336169,37,32
1598338111,64,48
1598340023,66,72
1598341927,90,48
1598343875,72,43
1598345765,54,64
1598347711,56,41
1598349673,83,3707
1598351538,90,274
1598353447,1855,0
1598355393,138,82
1598357558,144,103
1598359446,107,69
1598361364,103,89
1598363585,130,65
1598365481,109,60
1598367383,83,59
1598369290,68,54
1598371243,96,81
1598373128,90,49
1598375293,114,65
1598377229,97,56
1598379138,68,82
1598381075,83,87
1598383265,122,101
1598385148,93,76
1598387064,118,68
1598388988,105,49
1598390886,75,23
1598392839,96,82
1598394721,61,268
1598396646,1528,0
1598398592,63,56
1598400502,45,62
1598402405,70,53
1598404351,51,67
1598406244,69,36
1598408167,72,45
1598410113,60,43
1598412004,51,49
1598413923,89,55
1598415851,62,36
1598417767,57,48
1598419697,48,47
1598421618,66,63
1598423628,61,77
1598425449,65,63
1598427706,84,117
1598429550,77,68
1598432434,97,62
1598434324,47,24
1598436519,64,4239
1598438407,83,126
1598440357,1600,1
1598442245,118,70
1598444166,118,70
1598446107,116,81
1598448005,98,46
1598449923,108,103
1598451875,99,41
1598453766,76,66
1598456673,102,97
1598458563,71,73
1598460487,73,103
1598462446,98,60
1598464370,113,28
1598467445,124,84
1598469364,89,57
1598471284,73,88
1598473226,97,83
1598475121,86,49
1598477042,64,52
1598478986,62,83
1598480944,57,80
