DateTime,Entries,UniqueIPs
1597642805,7638,7638
1597644755,7702,7702
1597646648,7752,7752
1597648568,7770,7770
1597650509,7775,7775
1597652406,7775,7775
1597654326,7805,7805
1597656277,7875,7875
1597658165,7903,7903
1597660089,4545,4545
1597662037,6012,6012
1597663930,6021,6021
1597666093,6052,6052
1597668007,6045,6045
1597669953,6088,6088
1597671847,6115,6115
1597673766,6146,6146
1597675713,6164,6164
1597677605,6220,6220
1597679766,6258,6258
1597681684,6306,6306
1597683640,6319,6319
1597685528,6347,6347
1597687447,6354,6354
1597689389,6356,6356
1597691288,6373,6373
1597693205,6419,6419
1597695154,6454,6454
1597697046,6474,6474
1597698967,6339,6339
1597700909,6324,6324
1597702807,6341,6341
1597704728,6353,6353
1597706674,7601,7601
1597708565,7587,7587
1597710485,7586,7586
1597712440,7589,7589
1597714330,7593,7593
1597716287,7603,7603
1597718165,7617,7617
1597720085,7637,7637
1597722033,7655,7655
1597723927,7667,7667
1597725846,7660,7660
1597727789,7674,7674
1597729684,7665,7665
1597731604,7678,7678
1597733552,7696,7696
1597735447,7744,7744
1597737365,7782,7782
1597739310,7810,7810
1597741219,7774,7774
1597743132,7674,7674
1597745074,3399,3399
1597746971,3444,3444
1597748888,5121,5121
1597750833,5168,5168
1597752968,5134,5134
1597754887,5102,5102
1597756829,5174,5174
1597758726,5210,5210
1597760673,5267,5267
1597762565,5271,5271
1597764483,5263,5263
1597766437,5300,5300
1597768322,5381,5381
1597770493,5529,5529
1597772406,5551,5551
1597774355,5543,5543
1597776258,5522,5522
1597778168,5558,5558
1597780113,5654,5654
1597782001,5734,5734
1597783924,5755,5755
1597785870,5706,5706
1597787764,5705,5705
1597789681,5761,5761
1597791675,7185,7185
1597793528,7207,7207
1597795448,7176,7176
1597797392,7147,7147
1597799291,7155,7155
1597801206,7186,7186
1597803154,7225,7225
1597805049,7251,7251
1597806968,7215,7215
1597808915,7236,7236
1597810803,7253,7253
1597812726,7305,7305
1597814674,7336,7336
1597816564,7367,7367
1597818483,7347,7347
1597820438,7390,7390
1597822329,7413,7413
1597824249,7471,7471
1597826190,7509,7509
1597828099,7494,7494
1597830005,7443,7443
1597831950,4329,4329
1597833847,4370,4370
1597835768,5793,5793
1597837714,5815,5815
1597839606,5837,5837
1597841527,5845,5845
1597843471,5881,5881
1597845363,5937,5937
1597847287,5975,5975
1597849232,5998,5998
1597851128,6023,6023
1597853047,6064,6064
1597854997,6110,6110
1597856889,6133,6133
1597858804,6177,6177
1597860754,6181,6181
1597862646,6203,6203
1597864578,6217,6217
1597866513,6277,6277
1597868404,6312,6312
1597870327,6337,6337
1597872156,6355,6355
1597874193,6373,6373
1597876085,6349,6349
1597878007,6360,6360
1597879953,7569,7569
1597881847,7579,7579
1597883775,7590,7590
1597885731,7604,7604
1597887605,7635,7635
1597889526,7660,7660
1597891472,7679,7679
1597893369,7721,7721
1597895527,7730,7730
1597897450,7720,7720
1597899391,7735,7735
1597901284,7762,7762
1597903217,7771,7771
1597905189,7767,7767
1597907047,7762,7762
1597908963,7755,7755
1597910914,7766,7766
1597912805,7764,7764
1597914730,7771,7771
1597916671,7776,7776
1597918564,3719,3719
1597920482,3664,3664
1597922430,5468,5468
1597924329,5500,5500
1597926248,5514,5514
1597928683,5509,5509
1597930568,5520,5520
1597932522,5528,5528
1597934409,5549,5549
1597936327,5590,5590
1597938271,5598,5598
1597940166,5617,5617
1597942110,5613,5613
1597944004,5610,5610
1597945925,5614,5614
1597947874,5592,5592
1597949763,5558,5558
1597951684,5567,5567
1597953640,5549,5549
1597955528,5534,5534
1597957718,5569,5569
1597959606,5578,5578
1597961524,5562,5562
1597963475,5529,5529
1597965366,7069,7069
1597967528,7110,7110
1597969450,7107,7107
1597971391,7090,7090
1597973285,7090,7090
1597975234,7088,7088
1597977125,7095,7095
1597979293,7122,7122
1597981212,7109,7109
1597983157,7130,7130
1597985051,7148,7148
1597986969,7121,7121
1597988917,7112,7112
1597990808,7097,7097
1597992729,7072,7072
1597994672,7073,7073
1597996567,7052,7052
1597998489,7030,7030
1598000441,7022,7022
1598002625,7028,7028
1598004515,3566,3566
1598006404,3575,3575
1598008358,5029,5029
1598010247,5068,5068
1598012166,5122,5122
1598014109,5154,5154
1598016007,5214,5214
1598017927,5249,5249
1598019881,5300,5300
1598021763,5327,5327
1598023688,5347,5347
1598025635,5383,5383
1598027528,5407,5407
1598029470,5479,5479
1598031367,5506,5506
1598033286,5513,5513
1598035232,5533,5533
1598037126,5568,5568
1598039052,5660,5660
1598040989,5737,5737
1598042883,5745,5745
1598044802,5773,5773
1598046754,5764,5764
1598048646,5787,5787
1598050566,5899,5899
1598052759,7088,7088
1598054652,7109,7109
1598056564,7117,7117
1598058516,7126,7126
1598060404,7154,7154
1598062325,7179,7179
1598064272,7183,7183
1598066165,7158,7158
1598068330,7184,7184
1598070246,7190,7190
1598072195,7233,7233
1598074088,7224,7224
1598076046,7219,7219
1598077958,7223,7223
1598079848,7217,7217
1598081794,7222,7222
1598083691,7213,7213
1598085605,7205,7205
1598087556,7205,7205
1598089447,7178,7178
1598091365,3895,3895
1598093311,3889,3889
1598095215,5376,5376
1598097127,5371,5371
1598099149,5391,5391
1598100965,5432,5432
1598102883,5454,5454
1598104841,5502,5502
1598106729,5529,5529
1598108646,5550,5550
1598110594,5564,5564
1598112493,5607,5607
1598114406,5617,5617
1598116356,5648,5648
1598118250,5653,5653
1598120165,5653,5653
1598122110,5638,5638
1598124007,5637,5637
1598125929,5682,5682
1598127876,5687,5687
1598129768,5696,5696
1598131687,5699,5699
1598133643,5702,5702
1598135532,5697,5697
1598137450,6934,6934
1598139393,6931,6931
1598141292,6931,6931
1598143210,7000,7000
1598145153,7139,7139
1598147050,7160,7160
1598148966,7172,7172
1598150924,7181,7181
1598152805,7178,7178
1598154729,7186,7186
1598156671,7207,7207
1598158564,7206,7206
1598160487,7209,7209
1598162442,7192,7192
1598164328,7175,7175
1598166251,7184,7184
1598168190,7198,7198
1598170090,7185,7185
1598172005,7193,7193
1598173958,7196,7196
1598175845,7185,7185
1598178012,3529,3529
1598179923,3538,3538
1598181871,4944,4944
1598183763,5013,5013
1598185688,5028,5028
1598187631,5074,5074
1598189526,5094,5094
1598191446,5092,5092
1598193400,5105,5105
1598195284,5169,5169
1598197204,5186,5186
1598199150,5239,5239
1598201046,5235,5235
1598203210,5235,5235
1598205123,5263,5263
1598207069,5292,5292
1598208963,5375,5375
1598210882,5409,5409
1598212831,5448,5448
1598214726,5496,5496
1598216646,5527,5527
1598218589,5577,5577
1598220483,5580,5580
1598222408,5621,5621
1598224357,6773,6773
1598226250,6802,6802
1598228169,6855,6855
1598230114,6857,6857
1598232004,6885,6885
1598233925,6881,6881
1598235872,6892,6892
1598237764,6917,6917
1598239928,6930,6930
1598241846,6955,6955
1598243791,6948,6948
1598245687,6946,6946
1598247613,6949,6949
1598249561,6993,6993
1598251445,7036,7036
1598253367,7084,7084
1598255315,7098,7098
1598257203,7119,7119
1598259125,7124,7124
1598261071,7101,7101
1598262962,7096,7096
1598265129,4025,4025
1598267048,5546,5546
1598268991,5566,5566
1598270888,5561,5561
1598272809,5501,5501
1598274753,5607,5607
1598276644,5716,5716
1598278570,5775,5775
1598280513,5784,5784
1598282465,5817,5817
1598284330,5803,5803
1598286280,5902,5902
1598288192,6014,6014
1598290132,6039,6039
1598292049,6062,6062
1598293967,6078,6078
1598295866,6073,6073
1598297782,6187,6187
1598299710,6243,6243
1598301611,6272,6272
1598303528,6289,6289
1598305472,6316,6316
1598307363,6384,6384
1598309289,6493,6493
1598311231,7748,7748
1598313133,7762,7762
1598315074,7788,7788
1598316970,7786,7786
1598318885,7779,7779
1598320840,7820,7820
1598322728,7839,7839
1598324653,7850,7850
1598326671,7885,7885
1598328520,7876,7876
1598330407,7927,7927
1598332358,7948,7948
1598334247,7939,7939
1598336169,7944,7944
1598338111,7960,7960
1598340023,7954,7954
1598341927,7996,7996
1598343875,8025,8025
1598345765,8015,8015
1598347711,8030,8030
1598349673,4406,4406
1598351538,4222,4222
1598353447,6077,6077
1598355393,6133,6133
1598357558,6174,6174
1598359446,6212,6212
1598361364,6226,6226
1598363585,6291,6291
1598365481,6340,6340
1598367383,6364,6364
1598369290,6378,6378
1598371243,6393,6393
1598373128,6434,6434
1598375293,6483,6483
1598377229,6524,6524
1598379138,6510,6510
1598381075,6506,6506
1598383265,6527,6527
1598385148,6544,6544
1598387064,6594,6594
1598388988,6650,6650
1598390886,6702,6702
1598392839,6716,6716
1598394721,6509,6509
1598396646,8037,8037
1598398592,8044,8044
1598400502,8027,8027
1598402405,8044,8044
1598404351,8028,8028
1598406244,8061,8061
1598408167,8088,8088
1598410113,8105,8105
1598412004,8107,8107
1598413923,8141,8141
1598415851,8167,8167
1598417767,8176,8176
1598419697,8177,8177
1598421618,8180,8180
1598423628,8164,8164
1598425449,8166,8166
1598427706,8133,8133
1598429550,8142,8142
1598432434,8177,8177
1598434324,8200,8200
1598436519,4025,4025
1598438407,3982,3982
1598440357,5581,5581
1598442245,5629,5629
1598444166,5677,5677
1598446107,5712,5712
1598448005,5764,5764
1598449923,5769,5769
1598451875,5827,5827
1598453766,5837,5837
1598456673,5842,5842
1598458563,5840,5840
1598460487,5810,5810
1598462446,5848,5848
1598464370,5933,5933
1598467445,5973,5973
1598469364,6005,6005
1598471284,5990,5990
1598473226,6004,6004
1598475121,6041,6041
1598477042,6053,6053
1598478986,6032,6032
1598480944,6009,6009
1598482820,7315,7315
1598484752,7307,7307
1598486648,7326,7326
1598488602,7299,7299
1598490513,7299,7299
1598492407,7240,7240
1598494324,7217,7217
1598496276,7175,7175
1598498169,7136,7136
1598500083,7099,7099
1598502066,7042,7042
1598503951,6971,6971
1598505845,6938,6938
1598507792,6917,6917
1598509684,6924,6924
1598511610,6923,6923
1598513551,6918,6918
1598515469,6899,6899
1598517366,6896,6896
1598519320,6908,6908
1598521204,6916,6916
1598523127,3116,3116
1598525068,3139,3139
1598526968,4734,4734
1598529212,4768,4768
1598531069,4876,4876
1598532963,4923,4923
1598534883,4990,4990
1598536841,5009,5009
1598538730,5029,5029
1598540647,5081,5081
1598542588,5172,5172
1598544547,5194,5194
1598546438,5311,5311
1598548328,5372,5372
1598550244,5408,5408
1598552166,5445,5445
1598554082,5469,5469
1598556027,5514,5514
1598557925,5654,5654
1598560090,5631,5631
1598562011,5659,5659
1598563948,5708,5708
1598565845,5724,5724
1598567767,5825,5825
1598569714,7059,7059
1598571605,7072,7072
1598573527,7103,7103
1598575468,7175,7175
1598577363,7196,7196
1598579283,7257,7257
1598581227,7243,7243
1598583122,7245,7245
1598585046,7262,7262
1598586987,7284,7284
1598588949,7304,7304
1598590832,7340,7340
1598592748,7347,7347
1598594651,7334,7334
1598596563,7345,7345
1598598510,7329,7329
1598600406,7354,7354
1598602327,7331,7331
1598604281,7304,7304
1598606167,7293,7293
1598608339,7317,7317
1598610245,4441,4441
