DateTime,AddedIPs,RemovedIPs
1591283765,13,0
1591298416,9,1
1591320486,14,0
1591335136,9,0
1591349768,12,1
1591364408,7,1
1591379060,16,0
1591393686,4,1
1591408326,18,0
1591422974,16,0
1591437624,47,0
1591452251,13,0
1591466889,13,3
1591481540,8,2
1591496165,16,0
1591510805,15,0
1591525460,16,1
1591540085,18,0
1591554725,4,1
1591569368,10,2
1591584004,13,0
1591598647,35,0
1591613289,13,5
1591627927,4,3
1591642576,8,1
1591657227,15,0
1591671847,14,0
1591686505,22,2
1591701368,12,0
1591716004,5,0
1591730658,12,0
1591745286,31,1
1591760003,3,0
1591774567,21,0
1591789207,6,2
1591803850,12,2
1591818489,13,1
1591833127,16,3
1591847782,16,2
1591862408,4,1
1591877050,12,0
1591891715,19,1
1591906326,15,4
1591920966,13,1
1591935605,19,2
1591950259,6,1
1591964888,15,1
1591979591,8,0
1591994166,14,0
1592008809,15,0
1592023446,14,0
1592038329,14,1
1592052980,13,0
1592067620,11,0
1592082247,13,3
1592096892,18,1
1592111538,22,1
1592126166,10,2
1592141049,9,1
1592155686,13,2
1592170327,13,0
1592184966,14,1
1592199619,13,3
1592214261,20,0
1592228887,19,1
1592243525,17,2
1592258180,13,1
1592272809,25,1
1592287449,20,1
1592302087,12,0
1592316743,10,1
1592331366,16,1
1592346022,22,2
1592360674,21,0
1592375532,26,2
1592390412,25,1
1592405049,8,1
1592419709,12,0
1592434325,18,0
1592448979,22,0
1592463624,21,1
1592478496,18,0
1592493146,9,2
1592507765,6,0
1592522446,17,3
1592537047,12,1
1592551685,20,2
1592566344,13,2
1592580970,8,3
1592595607,6,1
1592610275,20,1
1592624906,8,0
1592639551,5,0
1592654183,19,1
1592668819,13,1
1592683709,8,1
1592698327,10,1
1592712967,13,1
1592727605,11,0
1592742246,9,1
1592756886,14,0
1592771528,8,2
1592786186,38,2
1592800805,22,0
1592815446,9,0
1592830327,16,0
1592844984,13,1
1592859615,25,2
1592874269,22,0
1592888890,22,1
1592903531,23,2
1592918408,10,0
1592933070,10,1
1592947685,17,0
1592962344,14,2
1592976967,4,1
1592991606,14,0
1593006249,14,2
1593020905,18,0
1593035526,15,0
1593050164,39,1
1593064844,27,1
1593079710,25,0
1593094330,28,2
1593108966,22,0
1593123607,14,0
1593138266,17,0
1593152887,11,3
1593167553,8,3
1593182433,11,5
1593197052,7,1
1593211688,13,4
1593226327,8,6
1593240969,13,6
1593255606,18,0
1593270269,15,1
1593284886,7,1
1593299526,12,2
1593314164,10,2
1593328809,20,0
1593343445,13,2
1593358086,13,1
1593372731,15,1
1593387384,10,1
1593402010,14,2
1593416646,13,2
1593431303,11,0
1593445928,25,1
1593460565,29,0
1593475232,8,1
1593489925,30,3
1593504491,33,1
1593519149,17,5
1593533767,7,1
1593548405,8,0
1593563050,22,2
1593577928,14,2
1593592596,20,1
1593607227,18,6
1593621849,15,8
1593636503,7,0
1593651131,12,0
1593665769,30,0
1593680437,9,0
1593695319,8,1
1593709947,10,3
1593724808,11,1
1593739471,16,0
1593754086,14,0
1593768751,17,5
1593783366,25,1
1593798011,18,0
1593812648,6,3
1593827286,8,1
1593841931,9,0
1593856569,11,3
1593871231,11,2
1593886096,16,1
1593900751,10,2
1593915368,3,0
1593930015,7,2
1593944650,15,2
1593959285,4,1
1593973958,10,1
1593988598,16,1
1594003210,9,3
1594017880,18,0
1594032513,11,1
1594047128,6,1
1594061767,9,2
1594076439,24,1
1594091052,6,0
1594105720,15,2
1594120571,22,0
1594135231,12,1
1594149976,6,2
1594164754,17,1
1594179394,29,0
1594194007,7,1
1594208649,5,2
1594223314,34,1
1594237956,6,1
1594252596,13,2
1594267207,14,1
1594282115,21,1
1594296753,14,1
1594311390,19,1
1594326009,5,1
1594340648,22,3
1594355284,6,0
1594369926,13,1
1594384569,14,1
1594399212,13,1
1594413874,16,1
1594428487,30,0
1594443126,14,0
1594457777,12,0
1594472434,15,1
1594487293,12,1
1594501959,21,2
1594516566,14,0
1594531209,9,2
1594545850,16,2
1594560756,14,4
1594575396,14,0
1594590008,7,0
1594604671,6,2
1594619289,24,0
1594633925,13,0
1594648565,16,1
1594663208,18,0
1594677874,27,3
1594692760,19,0
1594707370,12,2
1594722005,17,0
1594736674,66,1
1594751285,21,0
1594765924,113,0
1594780592,173,1
1594795237,138,0
1594809849,101,1
1594824763,74,0
1594839366,25,0
1594854035,58,0
1594868648,33,1
1594883323,64,1
1594897954,38,0
1594912837,22,0
1594927476,33,1
1594942089,20,1
1594956753,15,1
1594971368,21,1
1594986007,15,0
1595000649,24,0
1595015287,35,2
1595029926,22,2
1595044591,26,0
1595059234,21,2
1595073846,10,0
1595088487,10,0
1595103125,26,2
1595117795,19,0
1595132431,12,3
1595147073,4,1
1595161687,15,1
1595176356,7,0
1595190995,6,1
1595205612,33,1
1595220246,12,1
1595234886,14,0
1595249529,16,3
1595264166,8,0
1595278812,16,2
1595293689,8,0
1595308356,7,1
1595323210,20,0
1595337876,17,0
1595352484,22,1
1595367151,10,2
1595381769,26,1
1595396407,19,0
1595411050,15,1
1595425715,5,1
1595440328,17,1
1595454968,15,2
1595469655,11,2
1595484496,24,1
1595499154,12,1
1595513765,17,0
1595528405,17,0
1595543076,15,1
1595557694,11,1
1595572329,13,2
1595586994,18,0
1595601607,11,0
1595616247,7,1
1595630916,18,0
1595645526,13,2
1595660166,18,2
1595674835,11,1
1595689707,13,0
1595704355,14,1
1595718967,15,1
1595733605,10,1
1595748281,10,2
1595762888,8,0
1595777558,11,3
1595792166,9,0
1595806805,19,0
1595821449,12,0
1595836115,9,2
1595850756,8,0
1595865366,11,0
1595880044,13,0
1595894647,13,1
1595909293,17,0
1595923956,18,0
1595938807,14,2
1595953482,14,2
1595968117,17,1
1595982761,22,0
1595997612,12,2
1596012278,14,0
1596026921,19,1
1596041553,13,0
1596056165,12,1
1596070813,15,2
1596085447,5,3
1596100118,14,0
1596114724,22,3
1596129638,14,1
1596144277,18,1
1596158884,10,3
1596173525,9,1
1596188170,7,3
1596202812,12,1
1596217447,9,2
1596232118,21,1
1596246726,16,3
1596261367,14,0
1596276036,13,1
1596290890,6,2
1596305528,6,1
1596320165,16,2
1596334808,9,1
1596349480,23,0
1596364089,16,0
1596378755,12,0
1596393367,24,1
1596408012,33,0
1596422678,18,1
1596437287,20,1
1596451926,19,1
1596466597,8,1
1596481206,11,2
1596496127,15,0
1596510725,13,0
1596525365,4,1
1596540037,12,1
1596554646,5,1
1596569288,13,0
1596583959,18,1
1596598567,11,2
1596613210,14,1
1596627849,12,1
1596642487,16,0
1596657132,11,0
1596671766,12,0
1596686448,8,1
1596701289,10,0
1596715958,20,1
1596730565,8,2
1596745235,15,1
1596759849,6,2
1596774488,7,0
1596789125,9,2
1596803767,4,3
1596818411,6,1
1596833074,3,2
1596847713,8,0
1596862330,13,1
1596876967,18,0
1596891644,13,1
1596906249,10,0
1596920889,18,2
1596935558,16,2
1596950165,12,0
1596964807,11,1
1596979477,3,2
1596994090,7,2
1597008726,15,5
1597023394,14,1
1597038010,8,1
1597052646,7,0
1597067312,6,0
1597081925,4,2
1597096593,12,0
1597111226,16,1
1597125848,3,1
1597140516,0,3
1597155125,20,2
1597169766,11,1
1597184407,16,3
1597199076,8,0
1597213689,8,0
1597228329,12,0
1597242970,9,1
1597257606,9,0
1597272274,7,1
1597286886,8,2
1597301526,23,1
1597316192,8,1
1597330814,8,1
1597345454,14,0
1597360087,14,2
1597374751,11,2
1597389366,8,0
1597404006,11,1
1597418681,14,0
1597433530,12,2
1597448191,10,1
1597462837,3,1
1597477446,4,0
1597492085,10,1
1597506727,4,4
1597521668,6,4
1597536248,16,1
1597550912,11,1
1597565550,2,0
1597580191,17,0
1597594831,22,1
1597609452,18,1
1597624088,37,1
1597638726,21,1
1597653393,9,1
1597668008,10,3
1597682649,15,3
1597697311,8,0
1597711926,11,1
1597726568,9,2
1597741216,9,2
1597755847,18,5
1597770491,20,2
1597785155,14,1
1597799769,7,6
1597814408,15,0
1597829072,8,3
1597843687,6,2
1597858329,13,1
1597873237,10,0
1597887873,17,3
1597902732,16,0
1597917392,18,1
1597932014,15,0
1597946649,15,2
1597961317,14,3
1597975952,10,1
1597990565,8,2
1598005268,17,0
1598019878,9,1
1598034516,3,2
1598049127,7,1
1598063767,43,2
1598078410,10,1
1598093053,13,7
1598107713,41,4
1598122329,14,2
1598136970,6,1
1598151634,13,3
1598166251,13,1
1598180888,13,2
1598195553,6,0
1598210164,14,1
1598224806,9,3
1598239477,11,0
1598254087,10,1
1598268729,18,0
1598283396,25,2
1598298006,29,1
1598312688,29,0
1598327310,23,3
1598341927,9,0
1598356565,23,1
1598371239,12,1
1598386130,11,3
1598400752,8,1
1598415394,8,0
1598430006,14,2
1598444673,9,1
1598459285,5,0
1598473950,5,2
1598488566,12,7
1598503546,1,0
1598518085,22,3
1598532729,17,0
1598547368,10,3
1598562010,16,0
1598576648,14,2
1598591310,16,0
1598605938,8,1
