DateTime,AddedIPs,RemovedIPs
1597689905,351,198
1597691705,213,275
1597693506,208,255
1597695305,161,472
1597697106,224,669
1597698906,175,250
1597700707,199,383
1597702507,262,589
1597704307,180,410
1597706107,185,472
1597707906,176,490
1597709707,140,292
1597711507,277,224
1597713307,323,197
1597715107,303,221
1597716907,212,166
1597718707,217,135
1597720507,253,200
1597722306,157,211
1597724106,214,167
1597725906,197,84
1597727706,305,128
1597729507,286,120
1597731307,307,214
1597733107,144,109
1597734906,264,126
1597736708,415,129
1597738507,160,113
1597740306,272,169
1597742107,249,176
1597743907,138,133
1597745706,229,294
1597747506,333,172
1597749307,330,85
1597751106,299,107
1597753806,641,273
1597755606,387,263
1597757407,388,230
1597759205,505,449
1597761005,340,305
1597762806,304,625
1597764605,413,332
1597766405,256,317
1597768205,339,353
1597770006,310,576
1597771805,473,864
1597773606,473,806
1597775405,239,679
1597777206,262,587
1597779008,283,547
1597780807,227,669
1597782608,184,836
1597784408,229,406
1597786208,180,413
1597788008,300,264
1597789809,216,115
1597791609,140,213
1597793407,157,207
1597795208,152,139
1597797010,188,230
1597798808,190,163
1597800611,267,177
1597802411,234,177
1597804211,213,140
1597806011,176,45
1597807811,183,28
1597809611,284,92
1597811411,247,56
1597813210,262,122
1597815010,219,314
1597816810,221,68
1597818610,247,116
1597820410,302,90
1597822210,223,46
1597824011,177,113
1597825810,286,112
1597827609,225,220
1597829410,212,352
1597831209,170,342
1597833008,554,189
1597834809,418,134
1597836609,327,530
1597838408,215,455
1597840209,184,356
1597842007,455,417
1597843808,500,281
1597845608,339,121
1597847408,274,350
1597849208,275,530
1597851007,404,154
1597852807,437,78
1597854608,301,178
1597856408,323,179
1597858207,179,120
1597860007,248,95
1597861807,264,140
1597863607,185,483
1597865407,310,371
1597867207,324,377
1597869008,203,240
1597870808,277,333
1597873507,791,683
1597875308,439,318
1597877107,520,344
1597879807,527,753
1597882508,579,544
1597884307,413,324
1597886108,224,407
1597887908,186,670
1597889708,167,813
1597891508,271,515
1597893308,292,126
1597895108,310,106
1597896908,273,208
1597898708,330,406
1597900509,331,339
1597902307,390,257
1597904108,381,157
1597905909,337,122
1597907709,403,789
1597909508,470,1685
1597911311,404,869
1597913111,294,538
1597914912,262,483
1597916713,382,315
1597918512,761,170
1597920313,537,354
1597923014,912,1208
1597925715,840,920
1597927515,358,607
1597929317,444,451
1597931116,346,433
1597933818,455,484
1597935620,407,354
1597937421,350,361
1597940121,634,532
1597942821,499,654
1597944626,266,356
1597946426,325,286
1597948230,330,391
1597950029,408,292
1597951833,300,268
1597953629,277,319
1597955428,217,258
1597957233,249,330
1597959034,367,273
1597961728,519,460
1597963531,363,279
1597965330,278,330
1597967134,341,355
1597968932,246,302
1597970724,250,377
1597972530,231,221
1597974335,276,211
1597977028,344,444
1597978825,240,205
1597980631,198,187
1597982430,193,209
1597984230,172,260
1597986031,257,191
1597987828,228,158
1597989627,247,294
1597991430,214,205
1597993226,177,205
1597995026,311,120
1597996825,307,172
1597998625,155,134
1598000429,188,408
1598002223,168,353
1598004022,193,200
1598006723,507,286
1598008522,259,270
1598010325,502,364
1598012124,462,290
1598013927,264,411
1598015724,251,477
1598017522,295,321
1598019323,257,162
1598021128,200,186
1598022923,132,288
1598025625,255,282
1598027421,219,144
1598030124,239,382
1598031923,145,176
1598033722,190,173
1598035526,132,146
1598037325,123,194
1598039122,321,118
1598040921,326,103
1598042726,248,257
1598044524,209,370
1598046326,246,278
1598048121,181,183
1598049922,222,241
1598051721,191,242
1598053523,143,252
1598055325,140,152
1598057124,174,134
1598058925,155,139
1598060725,236,201
1598062522,280,151
1598064322,274,194
1598066123,276,262
1598067929,232,93
1598069722,250,231
1598071527,181,355
1598073326,235,399
1598075125,205,141
1598076931,255,226
1598078730,192,236
1598080526,256,247
1598082321,243,191
1598084123,201,218
1598085927,321,262
1598087723,229,245
1598089527,190,366
1598091327,245,211
1598093122,232,158
1598094925,530,242
