DateTime,Entries,UniqueIPs
1597689905,4261,4261
1597691705,4199,4199
1597693506,4152,4152
1597695305,3841,3841
1597697106,3396,3396
1597698906,3321,3321
1597700707,3137,3137
1597702507,2810,2810
1597704307,2580,2580
1597706107,2293,2293
1597707906,1979,1979
1597709707,1827,1827
1597711507,1880,1880
1597713307,2006,2006
1597715107,2088,2088
1597716907,2134,2134
1597718707,2216,2216
1597720507,2269,2269
1597722306,2215,2215
1597724106,2262,2262
1597725906,2375,2375
1597727706,2552,2552
1597729507,2718,2718
1597731307,2811,2811
1597733107,2846,2846
1597734906,2984,2984
1597736708,3270,3270
1597738507,3317,3317
1597740306,3420,3420
1597742107,3493,3493
1597743907,3498,3498
1597745706,3433,3433
1597747506,3594,3594
1597749307,3839,3839
1597751106,4031,4031
1597753806,4399,4399
1597755606,4523,4523
1597757407,4681,4681
1597759205,4737,4737
1597761005,4772,4772
1597762806,4451,4451
1597764605,4532,4532
1597766405,4471,4471
1597768205,4457,4457
1597770006,4191,4191
1597771805,3800,3800
1597773606,3467,3467
1597775405,3027,3027
1597777206,2702,2702
1597779008,2438,2438
1597780807,1996,1996
1597782608,1344,1344
1597784408,1167,1167
1597786208,934,934
1597788008,970,970
1597789809,1071,1071
1597791609,998,998
1597793407,948,948
1597795208,961,961
1597797010,919,919
1597798808,946,946
1597800611,1036,1036
1597802411,1093,1093
1597804211,1166,1166
1597806011,1297,1297
1597807811,1452,1452
1597809611,1644,1644
1597811411,1835,1835
1597813210,1975,1975
1597815010,1880,1880
1597816810,2033,2033
1597818610,2164,2164
1597820410,2376,2376
1597822210,2553,2553
1597824011,2617,2617
1597825810,2791,2791
1597827609,2796,2796
1597829410,2656,2656
1597831209,2484,2484
1597833008,2849,2849
1597834809,3133,3133
1597836609,2930,2930
1597838408,2690,2690
1597840209,2518,2518
1597842007,2556,2556
1597843808,2775,2775
1597845608,2993,2993
1597847408,2917,2917
1597849208,2662,2662
1597851007,2912,2912
1597852807,3271,3271
1597854608,3394,3394
1597856408,3538,3538
1597858207,3597,3597
1597860007,3750,3750
1597861807,3874,3874
1597863607,3576,3576
1597865407,3515,3515
1597867207,3462,3462
1597869008,3425,3425
1597870808,3369,3369
1597873507,3477,3477
1597875308,3598,3598
1597877107,3774,3774
1597879807,3548,3548
1597882508,3583,3583
1597884307,3672,3672
1597886108,3489,3489
1597887908,3005,3005
1597889708,2359,2359
1597891508,2115,2115
1597893308,2281,2281
1597895108,2485,2485
1597896908,2550,2550
1597898708,2474,2474
1597900509,2466,2466
1597902307,2599,2599
1597904108,2823,2823
1597905909,3038,3038
1597907709,2652,2652
1597909508,1437,1437
1597911311,972,972
