DateTime,AddedIPs,RemovedIPs
1598187121,13,0
1598187722,5,0
1598188921,11,31
1598189521,3,0
1598190122,8,9
1598191321,18,11
1598191921,15,0
1598192522,25,30
1598193122,20,0
1598193722,20,19
1598194922,20,25
1598195521,19,20
1598196122,6,13
1598196721,8,0
1598197322,12,0
1598197921,8,10
1598198521,17,17
1598199121,16,25
1598199721,13,0
1598200321,23,13
1598200921,11,0
1598201521,26,18
1598202122,21,45
1598203321,25,14
1598204522,11,14
1598205721,11,50
1598206321,10,0
1598206921,2,0
1598207522,22,33
1598208121,29,0
1598208722,12,22
1598209321,17,31
1598210521,27,16
1598211121,14,15
1598212321,22,14
1598212921,6,0
1598214121,15,21
1598214722,25,24
1598215322,14,20
1598216522,18,22
1598217722,30,21
1598218921,27,0
1598219521,9,31
1598220121,8,14
1598220722,5,4
1598221321,5,0
1598222521,11,36
1598223721,13,36
1598224322,15,34
1598224921,24,25
1598226122,21,25
1598227321,23,19
1598228521,19,12
1598229721,17,8
1598230921,22,42
1598232122,23,30
1598232722,20,0
1598233922,27,21
1598234521,19,36
1598235721,13,0
1598236921,10,12
1598238121,25,9
1598239321,19,30
1598239921,26,0
1598240521,9,36
1598241721,21,23
1598242321,19,0
1598242921,10,0
1598243521,9,20
1598244721,12,7
1598245321,5,0
1598245921,9,16
1598246521,28,26
1598247721,21,23
1598248921,32,37
1598249522,11,0
1598250121,10,21
1598251322,10,8
1598252522,6,0
1598253721,25,30
1598254922,11,24
1598256122,28,25
1598257322,9,34
1598258521,15,0
1598259122,11,26
1598259722,13,15
1598260321,9,0
1598260921,23,24
1598261521,24,0
1598262121,16,37
1598262721,12,26
1598263322,24,0
1598263921,22,33
1598264521,33,18
1598265121,17,0
1598265722,9,0
1598266321,13,17
1598266921,10,0
1598267522,5,18
1598268121,16,19
1598268722,11,32
1598269321,16,0
1598269922,9,26
1598270521,31,0
1598271722,35,58
1598272321,15,0
1598272921,20,0
1598273521,7,45
1598274722,18,9
1598275921,14,35
1598276521,34,0
1598277721,23,6
1598278921,22,47
1598279522,36,24
1598280121,17,15
1598280721,17,44
1598281322,6,0
1598281922,8,28
1598282521,7,0
1598283721,27,29
1598284322,19,14
1598284922,16,16
1598285521,24,13
1598286121,19,23
1598287322,16,27
1598287921,21,47
1598288522,3,0
1598289121,14,14
1598290322,20,13
1598290921,14,0
1598291521,20,6
1598292122,15,9
1598292721,21,5
1598293321,36,0
1598294522,31,78
1598295121,22,13
1598295721,13,22
1598296322,1,0
1598296921,10,34
1598298121,20,10
1598298721,26,0
1598299321,23,7
1598300522,12,47
1598301721,22,25
1598302922,23,45
1598303521,12,0
1598304121,8,0
1598305322,11,13
1598306521,22,11
1598307122,37,6
1598307722,19,11
1598308921,23,24
1598309521,26,0
1598310121,14,14
1598311321,15,21
1598312522,17,50
1598313122,16,0
1598313722,17,0
1598314921,27,37
1598316122,22,0
1598317321,33,16
1598318521,28,24
1598319721,13,19
1598320922,15,28
1598322121,26,26
1598323322,18,0
1598324521,18,74
1598325122,25,0
1598326321,26,44
1598326921,8,0
1598328122,14,8
1598328721,9,21
1598329922,9,10
1598331121,19,7
1598331722,14,27
1598332322,18,0
1598332922,18,19
1598334122,12,40
1598335322,3,0
