DateTime,AddedIPs,RemovedIPs
1598126521,8,13
1598127721,14,38
1598128321,2,0
1598129521,10,10
1598130121,4,0
1598131321,20,12
1598132521,5,16
1598133721,13,22
1598134922,11,0
1598135521,0,29
1598136121,11,0
1598137322,2,25
1598137921,16,0
1598138521,2,12
1598139721,10,21
1598140322,0,36
1598140922,4,0
1598142121,13,14
1598143321,1,0
1598143921,6,9
1598144521,1,0
1598145722,6,13
1598146921,16,34
1598148121,6,3
1598149322,11,15
1598150521,3,0
1598151721,1,33
1598152321,2,8
1598154122,10,0
1598154721,9,1
1598155322,1,10
1598156521,9,5
1598158322,21,1
1598158922,12,12
1598160122,3,1
1598161321,2,14
1598162521,9,0
1598163721,0,2
1598164922,4,17
1598166121,6,6
1598167321,2,9
1598168522,2,0
1598169721,2,9
1598170321,9,9
1598171521,9,11
1598172122,3,0
1598172721,1,3
1598173321,9,5
1598174521,43,3
1598175121,4,0
1598176321,4,18
1598176921,0,3
1598178122,3,0
1598179921,5,16
1598181121,2,1
1598182321,4,14
1598182922,8,0
1598183522,1,1
1598184121,1,5
1598185321,1,0
1598186521,1,8
1598187121,2,0
1598188322,2,3
1598188921,2,9
1598189521,5,0
1598190721,4,12
1598193121,3,12
1598193722,2,4
1598194321,4,0
1598195521,5,8
1598196122,0,1
1598197322,7,0
1598198521,6,2
1598199721,7,3
1598200321,4,16
1598200921,3,0
1598201521,2,0
1598202122,2,8
1598203321,5,0
1598204521,3,2
1598205121,13,4
1598206321,3,2
1598206921,2,25
1598208121,11,5
1598208722,7,24
1598209321,2,0
1598209922,9,3
1598211121,4,17
1598211721,13,0
1598212321,19,4
1598212921,3,9
1598214121,14,21
1598214722,15,19
1598215321,16,0
1598216522,11,18
1598217721,5,9
1598218921,26,0
1598219521,19,21
1598220121,1,11
1598221321,19,1
1598221922,3,15
1598222521,5,0
1598223721,28,10
1598224322,20,9
1598224921,10,8
1598226122,9,4
1598227321,14,3
1598229122,13,16
1598229721,4,11
1598230921,11,18
1598231521,2,14
1598232122,3,0
1598233321,9,0
1598234521,11,26
1598235122,11,0
1598236321,5,7
1598236921,12,0
1598238121,3,3
1598239921,20,4
1598240521,3,5
1598241721,11,8
1598242921,0,7
1598244121,2,18
1598245321,8,11
1598245921,8,10
1598247721,4,7
1598248921,10,6
1598249521,4,11
1598250121,7,0
1598251321,12,8
1598251921,1,0
1598253122,10,7
1598253721,9,2
1598254321,0,1
1598255521,11,0
1598256122,3,0
1598257322,5,6
1598258521,4,4
1598259721,3,21
1598260321,1,0
1598260921,0,10
1598261521,0,9
1598262721,10,0
1598263921,12,0
1598264521,5,6
1598265121,7,2
1598265722,2,0
1598266921,1,16
1598268722,10,0
1598269321,5,1
1598270521,6,0
1598271722,4,7
1598272921,1,0
1598273521,0,2
1598275321,4,14
1598277122,3,0
1598278321,9,2
1598279522,14,4
1598280721,3,7
1598281322,5,0
1598282521,9,0
1598283121,4,2
1598283721,2,5
1598284922,9,0
1598285521,4,4
1598286121,12,5
1598287322,9,5
1598287921,1,6
1598289722,29,7
1598290322,2,0
1598290921,3,0
1598292121,2,7
1598292721,7,0
1598293321,3,1
1598293921,1,0
1598295121,2,18
1598296322,8,10
1598296921,12,2
1598298121,11,9
1598298721,1,0
1598299321,5,23
1598300521,3,11
1598301122,1,7
1598302321,10,22
1598302922,10,12
1598303521,8,0
1598304721,4,10
1598305922,5,15
1598307722,5,16
1598308921,10,38
1598309521,17,0
1598310121,1,19
1598311321,4,13
1598312303,14,46
1598313122,1,0
1598313722,5,0
1598314921,31,27
1598316122,24,4
1598317321,13,18
1598318521,23,8
1598319122,1,32
1598320922,1,0
1598322121,11,19
1598323322,6,6
1598324521,2,24
1598325721,1,0
1598326921,6,21
1598328122,7,0
1598329321,5,0
1598330521,9,3
1598331721,9,7
1598332922,1,0
1598334121,13,0
1598335321,3,8
1598336522,5,4
1598337121,5,13
1598338321,13,3
1598338921,10,8
1598339521,1,1
1598340722,11,0
1598341922,6,9
1598343121,6,16
1598343721,1,5
1598345522,2,3
1598346121,5,7
1598346721,1,0
1598347921,0,4
1598348522,1,10
1598349722,3,3
1598350921,4,1
1598352121,0,2
1598353921,2,6
1598355722,7,24
1598357521,35,7
1598358721,52,0
1598359322,7,1
1598359921,1,3
1598360521,1,0
1598361122,3,0
1598362322,9,7
1598362921,5,0
1598363521,6,3
1598364721,6,5
1598365321,17,0
1598366521,11,0
1598367121,3,4
1598367721,1,14
1598368321,5,0
1598368922,21,2
1598370121,27,5
1598370722,13,0
1598371321,3,10
1598372521,24,9
1598373122,4,10
1598373721,1,0
1598374921,14,19
1598375522,8,0
1598377322,21,14
1598377921,3,0
1598378521,11,0
1598379122,2,17
1598379721,1,0
1598380921,11,3
1598382721,5,16
1598383321,18,7
1598384521,14,4
1598385721,11,2
1598386321,16,0
1598386921,6,0
1598387521,3,1
1598388121,2,9
