DateTime,AddedIPs,RemovedIPs
1598144521,20,20
1598145722,23,23
1598146921,73,73
1598148121,44,44
1598149322,48,48
1598150521,35,35
1598151721,26,26
1598152321,8,8
1598153521,12,12
1598154122,26,26
1598154721,31,31
1598155322,12,12
1598156521,32,32
1598157122,6,6
1598158322,73,73
1598158922,41,41
1598160122,15,15
1598161321,13,13
1598162521,24,24
1598163721,20,20
1598164922,29,29
1598166121,21,21
1598167321,26,26
1598168522,13,13
1598169721,12,12
1598170321,32,32
1598171521,36,36
1598172122,20,20
1598172721,8,8
1598173321,29,29
1598174521,72,72
1598175121,33,33
1598176321,33,33
1598176921,4,4
1598178122,18,18
1598178722,2,2
1598179921,20,20
1598180521,12,12
1598181121,17,17
1598182321,30,30
1598182922,18,18
1598183522,10,10
1598184121,15,15
1598185321,22,22
1598186521,21,21
1598187121,16,16
1598188322,28,28
1598188921,11,11
1598189521,16,16
1598190721,20,20
1598193121,19,19
1598193722,6,6
1598194321,22,22
1598195521,33,33
1598196122,7,7
1598197322,26,26
1598198521,21,21
1598199721,21,21
1598200321,21,21
1598200921,23,23
1598201521,13,13
1598202122,18,18
1598203321,31,31
1598204521,26,26
1598205121,37,37
1598206321,23,23
1598206921,14,14
1598208121,57,57
1598208722,29,29
1598209321,21,21
1598209922,35,35
1598211121,32,32
1598211721,40,40
1598212321,42,42
1598212921,10,10
1598214121,53,53
1598214722,45,45
1598215321,47,47
1598216522,51,51
1598217721,24,24
1598218921,67,67
1598219521,47,47
1598220121,12,12
1598221321,56,56
1598221922,15,15
1598222521,20,20
1598223721,79,79
1598224322,52,52
1598224921,37,37
1598226122,67,67
1598227321,56,56
1598229122,72,72
1598229721,30,30
1598230921,47,47
1598231521,21,21
1598232122,21,21
1598233321,33,33
1598234521,38,38
1598235122,37,37
1598236321,15,15
1598236921,34,34
1598238121,14,14
1598239921,62,62
1598240521,16,16
1598241721,54,54
1598242921,5,5
1598244121,8,8
1598245321,23,23
1598245921,21,21
1598247721,19,19
1598248921,37,37
1598249521,16,16
1598250121,21,21
1598251321,43,43
1598251921,11,11
1598253122,24,24
1598253721,17,17
1598254321,9,9
1598255521,35,35
1598256122,15,15
1598257322,38,38
1598258521,27,27
1598259721,18,18
1598260321,22,22
1598260921,8,8
1598261521,8,8
1598262721,41,41
1598263921,26,26
1598264521,7,7
1598265121,17,17
1598265722,9,9
1598266321,4,4
1598266921,8,8
1598268722,30,30
1598269321,21,21
1598270521,39,39
1598271722,31,31
1598272921,15,15
1598273521,10,10
1598275321,22,22
1598275921,7,7
1598277122,40,40
1598278321,47,47
1598279522,37,37
1598280721,22,22
1598281322,13,13
1598282521,40,40
1598283121,16,16
1598283721,36,36
1598284922,39,39
1598285521,25,25
1598286121,40,40
1598287322,44,44
1598287921,14,14
1598289722,84,84
1598290322,8,8
1598290921,18,18
1598292121,24,24
1598292721,32,32
1598293321,19,19
1598293921,6,6
1598295121,18,18
1598296322,46,46
1598296921,45,45
1598298121,56,56
1598298721,5,5
1598299321,21,21
1598300521,16,16
1598301122,6,6
1598302321,34,34
1598302922,44,44
1598303521,43,43
1598304721,46,46
1598305922,37,37
