DateTime,AddedIPs,RemovedIPs
1596303902,92,0
1596311102,246,0
1596314702,131,0
1596322802,197,0
1596326402,78,3109
1596330001,110,0
1596333603,100,0
1596337202,129,0
1596340802,93,0
1596344402,97,0
1596348002,97,0
1596355203,196,0
1596358802,120,0
1596366002,209,0
1596369603,113,0
1596373203,106,0
1596376802,95,0
1596380401,115,0
1596384002,95,0
1596391203,239,0
1596395701,140,0
1596402902,229,0
1596410102,170,0
1596417302,156,2639
1596420902,265,0
1596424502,114,0
1596428102,103,0
1596431702,105,0
1596435302,121,0
1596442501,257,0
1596446102,165,0
1596453302,306,0
1596456902,105,0
1596460502,125,0
1596465002,151,1
1596468602,205,0
1596472202,160,0
1596479402,244,0
1596486603,217,0
1596490202,118,0
1596493802,114,0
1596497402,111,0
1596501001,88,2488
1596508202,221,0
1596511802,119,0
1596516301,179,0
1596519901,110,0
1596523501,124,0
1596527101,298,0
1596530702,117,0
1596534302,136,0
1596537902,139,0
1596545102,280,0
1596548702,118,0
1596552302,164,0
1596555902,141,0
1596559502,113,0
1596563102,102,0
1596570302,264,0
1596573902,106,0
1596581101,217,0
1596585602,138,3108
1596589203,136,0
1596592802,154,0
1596596402,164,0
1596600001,145,0
1596603602,104,0
1596607202,141,0
1596610802,127,0
1596614402,136,0
1596621602,279,0
1596628803,247,0
1596632402,151,0
1596636002,170,0
1596639602,142,0
1596643203,136,0
1596650402,255,0
1596657602,231,0
1596662102,131,1
1596669302,172,0
1596676502,158,3009
1596683702,220,0
1596686402,91,0
1596690002,101,0
1596693602,116,0
1596697202,107,0
1596700802,198,0
1596704402,134,0
1596711602,322,0
1596718802,369,0
1596722402,162,0
1596726002,172,0
1596729602,181,0
1596733202,106,0
1596736802,140,1
1596741302,167,0
1596748502,208,0
1596755702,196,0
1596762002,174,3081
1596767401,174,0
1596773702,211,0
1596777302,118,0
1596780902,120,0
1596784502,123,0
1596791702,326,0
1596795301,131,0
1596802502,281,0
1596807001,181,0
1596810602,142,0
1596814202,149,0
1596817802,129,0
1596825002,276,0
1596832202,196,0
1596835801,146,0
1596839402,113,0
1596843002,93,0
1596850202,155,2968
1596853802,120,0
1596861002,213,0
1596864602,98,0
1596868202,103,0
1596872702,152,0
1596876302,124,0
1596879901,105,0
1596887101,242,0
1596894301,212,0
1596897902,128,0
1596901502,95,0
1596905102,133,0
1596908702,103,0
1596912301,94,0
1596919502,206,0
1596923102,74,0
1596931202,217,3131
1596934802,110,0
1596938402,91,0
1596942001,95,0
1596945602,89,0
1596949203,87,0
1596952802,120,0
1596960002,280,0
1596967202,216,0
1596974402,212,0
1596981601,195,0
1596985202,97,0
1596988802,127,0
1596992402,106,0
1596996002,110,0
1596999603,103,1
1597007702,178,0
1597011302,91,0
1597018502,173,2695
1597025701,219,0
1597032902,225,0
1597036502,95,0
1597040103,98,0
1597043702,133,0
1597047302,110,0
1597050902,153,0
1597058102,305,0
1597061702,151,0
1597068902,521,0
1597072502,193,0
1597077002,116,0
1597080601,97,0
1597087802,214,0
1597095001,236,0
1597098602,105,0
1597102202,103,0
1597105802,123,2402
1597109402,120,0
1597113002,125,0
1597120202,294,0
1597124702,176,0
1597128302,123,0
1597131902,144,0
1597135502,171,0
1597139102,139,0
1597146302,437,0
1597153502,327,0
1597157102,169,0
1597160702,179,0
1597164302,143,0
1597171502,384,0
1597175102,156,0
1597182301,294,0
1597186802,172,0
1597190402,163,2933
1597194002,141,0
1597197602,137,0
1597201202,97,0
1597204802,103,0
1597208402,116,0
1597212002,122,0
1597215602,144,0
1597219203,246,0
1597222802,124,0
1597226402,121,0
1597230002,129,0
1597237202,360,0
1597240802,224,0
1597244402,161,0
1597248902,188,0
1597252502,118,0
1597259702,274,0
1597266901,260,0
1597274101,237,0
1597277702,94,3429
1597281302,132,0
1597284902,118,0
1597288501,128,0
1597292102,148,0
1597299301,263,0
1597302902,172,0
1597310102,289,0
1597314602,155,0
1597318202,174,0
1597321802,165,0
1597325401,169,0
1597329002,120,0
1597336201,274,0
1597343402,281,0
1597347002,126,0
1597350602,107,0
1597354202,122,0
1597357802,122,0
1597361402,94,0
1597365002,88,3315
1597371302,232,0
1597373102,72,0
1597376702,156,0
1597383902,296,0
1597388402,262,0
1597392003,151,0
1597395602,143,0
1597399202,177,0
1597402802,180,0
1597406403,229,0
1597410002,167,0
1597413602,119,0
1597417202,137,0
1597424402,295,0
1597431602,303,0
1597438802,223,0
1597442402,169,0
1597446001,115,0
1597449602,130,3023
1597453203,148,0
1597456803,133,0
1597460402,137,0
1597464002,140,0
1597467602,126,0
1597471202,124,0
1597479302,263,0
1597482903,112,0
1597486502,91,0
1597493702,247,0
1597500902,202,0
1597508102,184,0
1597511702,98,0
1597515302,156,0
1597522502,164,0
1597526102,111,0
1597533302,181,0
1597537802,105,3634
1597545002,198,0
1597552202,191,0
1597555802,112,0
1597559402,108,0
1597563002,103,0
1597566601,122,0
1597570202,116,0
1597573802,85,0
1597581002,210,0
1597584602,131,0
1597589102,109,0
1597592701,136,0
1597596302,148,0
1597599902,79,0
1597603502,211,0
1597607101,82,0
1597614302,193,0
1597617901,97,0
1597621501,84,0
1597625102,83,2902
1597628702,111,0
1597632302,114,0
1597639502,235,0
1597643101,139,0
1597650302,271,0
1597654802,195,0
1597658401,145,0
1597662002,113,0
1597665602,135,0
1597669203,170,0
1597672802,146,0
1597676402,212,0
1597680002,151,0
1597683602,112,0
1597690802,220,0
1597694403,120,0
1597698003,110,0
1597701602,131,0
1597705202,113,0
1597712402,197,2519
1597716003,116,0
1597719602,97,0
1597722302,85,0
1597725902,134,0
1597729502,118,0
1597733101,131,0
1597736702,159,0
1597738502,64,0
1597742102,116,0
1597745701,190,0
1597751102,228,0
1597754702,198,0
1597758301,159,0
1597761901,138,0
1597765502,133,0
1597769102,170,0
1597772702,151,0
1597776302,134,0
1597779901,113,0
1597783501,98,0
1597787102,116,0
1597793402,168,0
1597797002,78,3016
1597799702,94,0
1597806901,218,0
1597810502,96,0
1597817702,224,0
1597821302,158,0
1597825802,152,0
1597829402,119,0
1597833002,137,0
1597840202,263,0
1597844701,174,0
1597851001,216,0
1597854602,136,0
1597858202,135,0
1597861802,129,0
1597869003,266,0
1597873502,141,0
1597877101,113,0
1597880701,103,0
1597887902,220,3196
1597895101,256,0
1597902302,301,0
1597905902,229,0
1597909502,122,0
1597913102,158,0
1597916702,183,0
1597920302,171,0
1597927502,332,0
1597931102,163,0
1597939203,299,0
1597942802,99,0
1597946402,94,0
1597950002,120,0
1597953602,135,0
1597957202,112,0
1597964402,335,0
1597971602,185,3246
1597978802,255,0
1597982402,133,0
1597986002,154,0
1597989602,167,0
1597997702,357,0
1598001303,131,0
1598004902,165,0
1598012103,348,0
1598019302,243,0
1598026502,245,0
1598033702,229,0
1598040902,218,0
1598044502,133,0
1598048101,121,0
1598051702,105,0
1598058901,142,3311
1598063402,138,0
1598067001,98,0
1598074201,179,0
1598081402,211,0
1598088602,220,0
1598092201,131,0
1598095802,109,0
1598099402,125,0
1598103002,136,0
1598106602,93,0
1598113802,179,0
1598118303,125,0
1598121902,97,0
1598125502,106,0
1598129102,117,0
1598132702,109,0
1598136302,75,0
1598143502,210,3294
1598147102,91,0
1598150702,79,0
1598154301,69,0
1598157902,105,0
1598161502,103,0
1598168702,173,0
1598172302,97,0
1598179502,198,0
1598184002,128,0
1598187602,115,0
1598191201,117,0
1598194802,100,0
1598198402,97,0
1598202002,81,0
1598209202,226,0
1598212802,183,0
1598216402,114,0
1598220002,91,0
1598223602,70,0
1598230803,138,2935
1598238003,211,0
1598241602,99,0
1598245202,104,0
1598248802,134,0
1598253302,172,0
1598256902,164,0
1598264102,304,0
1598271302,305,0
1598278502,319,0
1598282102,166,0
1598285702,143,0
1598289302,183,0
1598292902,169,0
1598296502,122,0
1598300101,129,0
1598303702,148,0
1598308201,136,0
1598311802,94,0
1598315402,76,2443
1598319002,82,0
1598322602,111,0
1598326201,108,0
1598330701,125,0
1598337902,254,0
1598341501,116,0
1598345102,143,0
1598348703,139,0
1598355902,245,0
1598363102,409,0
1598366701,152,0
1598374802,282,0
1598378402,143,0
1598382002,147,0
1598385602,127,0
1598389202,152,0
1598396403,250,0
1598400002,100,3252
1598403602,106,0
1598407202,127,0
1598410802,138,0
1598418002,280,0
1598422501,212,0
1598429703,369,0
1598433302,190,0
1598440502,329,0
1598444101,155,0
1598447702,137,0
1598451302,160,0
1598454902,136,0
1598462101,214,0
1598465701,89,0
1598472902,216,0
1598477402,136,0
1598484602,192,0
1598488202,95,3085
1598491801,102,0
1598495402,96,0
1598499002,109,0
1598502601,112,0
1598506203,127,0
1598509802,161,0
1598517002,263,0
1598521502,158,0
1598525102,160,0
1598528702,138,0
1598532302,146,0
1598535902,134,0
1598539502,171,0
1598546702,252,161
1598553902,245,83
1598561102,202,0
1598564702,94,0
1598568302,119,0
1598571902,123,0
1598575501,110,2958
1598579101,131,0
1598582702,115,0
1598590802,291,0
1598594402,140,0
1598598002,135,0
1598601602,172,0
1598605202,116,0
