DateTime,AddedIPs,RemovedIPs
1596792781,4,5
1596796381,5,3
1596799981,6,0
1596803581,5,4
1596807181,3,6
1596810782,5,0
1596814381,3,6
1596817982,1,0
1596821581,7,5
1596825181,4,0
1596828781,4,13
1596832381,2,0
1596835981,8,8
1596839581,4,0
1596843181,5,4
1596846781,5,7
1596850382,6,4
1596853982,9,0
1596857581,7,11
1596861181,1,4
1596864782,5,3
1596868381,2,0
1596871983,4,10
1596875581,7,3
1596879181,5,3
1596882781,3,5
1596886381,4,11
1596889981,4,6
1596893581,9,0
1596897182,4,6
1596900782,5,6
1596904381,3,2
1596907981,3,6
1596911581,4,8
1596915181,1,0
1596918781,3,7
1596922381,6,0
1596925982,5,6
1596929581,9,0
1596933181,0,5
1596936782,4,1
1596940381,8,4
1596943981,3,7
1596947581,5,4
1596951182,2,11
1596954782,2,0
1596958381,5,12
1596961982,1,0
1596965581,5,10
1596969182,4,0
1596972781,4,2
1596976382,6,5
1596979982,9,6
1596983581,4,13
1596987182,7,0
1596990781,7,3
1596994381,15,1
1596997982,6,0
1597001581,6,3
1597005182,5,0
1597008781,3,7
1597012381,1,14
1597015981,9,0
1597019581,5,7
1597023182,5,2
1597026782,8,8
1597030381,7,0
1597033981,3,6
1597037582,3,0
1597041182,5,6
1597044785,6,0
1597048381,2,5
1597051982,9,0
1597055581,3,12
1597059181,6,0
1597062782,0,9
1597066381,3,6
1597069982,5,8
1597073581,3,5
1597077182,3,6
1597080781,8,15
1597084382,2,2
1597087981,6,0
1597091581,6,8
1597095182,2,2
1597098781,2,0
1597102381,4,16
1597105981,9,3
1597109581,1,0
1597113181,4,4
1597116782,3,6
1597120382,5,8
1597123981,3,11
1597127581,5,0
1597131181,0,10
1597134782,6,7
1597138382,2,2
1597141981,3,0
1597145582,9,4
1597149182,4,0
1597152785,6,4
1597156381,6,0
1597159981,3,4
1597163582,2,8
1597167181,6,4
1597170782,4,2
1597174381,5,3
1597177982,6,3
1597181581,3,4
1597185182,6,3
1597188781,4,4
1597192381,6,4
1597195981,4,8
1597199581,2,0
1597203181,3,4
1597206781,5,6
1597210381,7,5
1597213981,5,0
1597217581,7,7
1597221181,6,4
1597224781,6,4
1597228381,5,7
1597231981,1,10
1597235581,10,2
1597239183,3,0
1597242781,9,17
1597246381,6,3
1597249982,4,0
1597253581,4,6
1597257182,5,9
1597260782,6,6
1597264382,3,6
1597267981,7,4
1597271582,8,0
1597275181,5,7
1597278781,3,0
1597282381,5,5
1597285981,3,5
1597289582,1,3
1597293182,4,0
1597296781,5,13
1597300381,4,0
1597303982,8,5
1597307581,6,6
1597311181,6,0
1597314782,5,13
1597318381,8,0
1597321981,7,8
1597325581,6,7
1597329181,5,7
1597332781,8,9
1597336381,0,10
1597339981,7,4
1597343581,2,6
1597347181,6,3
1597350781,2,0
1597354382,10,6
1597357982,2,6
1597361581,4,0
1597365182,1,10
1597368782,8,6
1597372381,1,6
1597375982,8,0
1597379581,8,3
1597383181,4,5
1597386782,3,7
1597390382,5,0
1597393982,2,12
1597397582,3,3
1597401181,4,0
1597404781,3,8
1597408381,3,10
1597411981,4,0
1597415581,5,15
1597419182,6,4
1597422781,9,4
1597426381,5,0
1597429981,3,8
1597433582,4,5
1597437181,4,2
1597440781,3,5
1597444382,1,9
1597447981,3,0
1597451581,2,0
1597455181,1,10
1597458782,5,4
1597462382,4,5
1597465982,2,4
1597473181,5,5
1597476782,5,10
1597480382,2,5
1597483982,3,6
1597487582,1,5
1597491181,1,3
1597494781,5,2
1597498381,5,4
1597501981,6,0
1597505581,6,4
1597509181,4,5
1597512782,1,14
1597516381,3,0
1597519981,4,8
1597523581,7,0
1597527182,0,4
1597530782,5,1
1597534381,3,3
1597537982,2,0
1597541581,1,2
1597545181,2,3
1597548781,6,9
1597552381,4,0
1597555982,2,6
1597559582,1,0
1597563182,4,3
1597566782,2,3
1597570381,2,3
1597573981,8,5
1597577581,8,4
1597581181,5,2
1597584781,7,2
1597588381,7,11
1597591982,6,2
1597595581,6,0
1597599181,4,1
1597602781,1,9
1597606381,4,0
1597609981,4,4
1597613581,6,2
1597617181,5,4
1597620781,2,1
1597624382,1,0
1597627981,0,2
1597631581,5,5
1597635181,8,6
1597638782,1,3
1597642381,4,0
1597645981,1,8
1597649581,5,0
1597653182,7,2
1597656781,4,2
1597660381,3,6
1597663981,8,5
1597667582,5,3
1597671182,5,6
1597674781,6,9
1597678382,1,6
1597681981,8,3
1597685581,6,6
1597689182,2,6
1597692781,1,4
1597696382,4,4
1597699982,3,0
1597703581,4,2
1597707181,5,0
1597710781,2,4
1597714381,5,7
1597717981,0,4
1597721582,9,0
1597725182,7,6
1597732382,7,2
1597735982,3,3
1597739581,0,5
1597743181,1,6
1597746781,8,16
1597750382,7,0
1597753981,7,10
1597757581,5,4
1597761182,5,0
1597764781,8,9
1597768382,7,9
1597771981,7,0
1597775581,9,5
1597779182,7,4
1597782782,7,10
1597786381,4,3
1597789981,1,0
1597797182,5,3
1597800782,2,8
1597804382,9,3
1597807982,4,8
1597811581,4,0
1597815181,1,0
1597818781,3,5
1597822382,2,9
1597825981,3,0
1597829581,1,8
1597833181,6,8
1597836781,7,7
1597840381,5,0
1597843981,2,10
1597847582,4,7
1597851181,4,10
1597854781,5,7
1597858381,2,4
1597861981,7,4
1597865582,6,0
1597869181,5,2
1597872781,5,10
1597876381,3,0
1597879982,4,3
1597883582,8,2
1597887182,2,0
1597890781,4,10
1597894382,6,10
1597897981,6,0
1597901581,1,5
1597905181,4,0
1597908781,4,4
1597912382,5,5
1597915981,1,3
1597919581,6,0
1597923181,11,2
1597926782,6,4
1597930382,7,8
1597933982,4,0
1597937581,6,10
1597941181,7,0
1597944781,4,3
1597948381,5,3
1597951981,4,7
1597955582,4,10
1597959182,3,0
1597962782,3,5
1597966381,7,10
1597969981,6,0
1597973582,4,10
1597977181,5,4
1597980782,8,0
1597984381,4,4
1597987981,5,4
1597991581,1,11
1597995182,5,10
1597998781,6,2
1598002381,3,3
1598005981,5,4
1598009581,6,3
1598013182,9,10
1598016781,7,0
1598020382,4,7
1598023981,3,15
1598027581,4,0
1598031181,6,11
1598034782,5,0
1598038381,6,6
1598041981,4,2
1598045581,2,4
1598049182,6,10
1598052782,7,0
1598056381,6,6
1598059982,3,7
1598063582,4,1
1598067182,2,5
1598070781,2,9
1598074382,5,0
1598077982,6,5
1598081581,6,4
1598085182,5,5
1598088782,7,6
1598092381,11,5
1598095981,4,8
1598099581,2,4
1598103182,5,4
1598106781,8,7
1598110381,3,0
1598113982,8,2
1598117582,8,2
1598121182,1,8
1598124781,5,14
1598128382,2,0
1598131981,6,3
1598135581,9,2
1598139182,6,12
1598146381,7,3
1598149982,6,3
1598153581,9,7
1598157181,4,0
1598160781,4,6
1598164382,4,5
1598167983,8,9
1598171581,3,16
1598175181,6,0
1598178781,7,15
1598182382,7,0
1598185981,5,10
1598189582,4,0
1598193181,2,11
1598196782,7,0
1598200382,2,4
1598203981,9,5
1598207581,3,10
1598211181,4,0
1598214782,5,3
1598218381,8,12
1598221981,10,3
1598225582,7,0
1598229181,6,3
1598232782,7,5
1598236382,5,3
1598239981,1,9
1598243582,9,10
1598247181,2,0
1598250782,3,12
1598254382,9,0
1598257982,5,0
1598261581,5,4
1598265182,5,4
1598268781,5,8
1598272381,5,0
1598275981,9,8
1598279582,11,3
1598283182,4,3
1598286782,3,4
1598290381,5,2
1598297581,7,13
1598301181,5,7
1598304782,3,0
1598308381,5,9
1598311981,10,10
1598315583,6,0
1598319181,6,4
1598322781,4,20
1598326382,8,6
1598329981,8,8
1598333581,1,5
1598337181,6,0
1598340781,9,6
1598344382,5,10
1598347981,3,7
1598351581,3,3
1598355181,5,0
1598358781,9,13
1598362382,4,14
1598365981,7,0
1598369581,4,11
1598373181,4,7
1598376781,7,3
1598380381,7,4
1598383981,8,3
1598387581,12,0
1598391181,3,13
1598394782,6,2
1598398381,1,0
1598401981,6,12
1598405581,8,0
1598409182,7,9
1598412781,4,9
1598416382,6,3
1598419981,7,3
1598423582,8,3
1598427182,4,10
1598430782,5,0
1598434381,7,8
1598437982,11,0
1598441582,4,7
1598445182,2,6
1598448781,4,6
1598452381,7,5
1598455981,7,8
1598459581,3,6
1598463181,9,6
1598466782,7,0
1598470381,7,11
1598473981,4,20
1598477582,5,0
1598481181,7,9
1598484781,7,5
1598488381,3,0
1598491981,7,13
1598495581,8,0
1598499182,8,7
1598502782,6,7
1598506381,2,0
1598509981,7,7
1598513581,5,0
1598517181,7,10
1598520781,2,0
1598524381,8,5
1598527981,10,9
1598531582,6,0
1598535181,6,11
1598538782,8,0
1598542381,9,6
1598545982,7,4
1598549581,4,6
1598553181,0,14
1598556781,6,0
1598560381,4,14
1598563981,6,0
1598567582,8,7
1598571181,5,5
1598574781,6,1
1598578381,4,0
1598581982,5,8
1598585582,0,6
1598589181,10,6
1598592782,7,8
1598596381,4,0
1598599981,9,11
1598603581,2,0
1598607181,5,4
