DateTime,AddedIPs,RemovedIPs
1596792781,14,12
1596796381,13,12
1596799981,17,16
1596803581,14,17
1596807181,15,16
1596810782,14,16
1596814381,20,18
1596817982,14,15
1596821581,17,16
1596825181,16,16
1596828781,17,18
1596832381,18,18
1596835981,19,15
1596839581,14,16
1596843181,15,14
1596846781,14,15
1596850382,21,20
1596853982,25,23
1596857581,19,21
1596861181,20,20
1596864782,18,17
1596868381,20,20
1596871983,17,18
1596875581,19,19
1596879181,17,21
1596882781,20,16
1596886381,15,16
1596889981,16,17
1596893581,19,17
1596897182,18,19
1596900782,19,22
1596904381,9,7
1596907981,16,16
1596911581,13,10
1596915181,4,5
1596918781,14,13
1596922381,19,19
1596925982,19,20
1596929581,20,21
1596933181,12,11
1596936782,17,18
1596940381,22,22
1596943981,21,20
1596947581,20,23
1596951182,16,13
1596954782,22,23
1596958381,17,16
1596961982,13,14
1596965581,16,12
1596969182,22,24
1596972781,19,18
1596976382,24,26
1596979982,22,23
1596983581,21,20
1596987182,21,21
1596990781,18,18
1596994381,26,25
1596997982,14,16
1597001581,19,16
1597005182,18,18
1597008781,19,20
1597012381,12,11
1597015981,20,24
1597019581,21,20
1597023182,13,12
1597026782,16,19
1597030381,20,18
1597033981,21,20
1597037582,20,18
1597041182,22,21
1597044785,22,20
1597048381,12,14
1597051982,21,22
1597055581,10,12
1597059181,23,25
1597062782,10,11
1597066381,14,12
1597069982,21,23
1597073581,19,17
1597077182,24,24
1597080781,25,26
1597084382,26,24
1597087981,22,23
1597091581,18,18
1597095182,10,9
1597098781,16,13
1597102381,19,21
1597105981,21,19
1597109581,18,19
1597113181,24,22
1597116782,23,24
1597120382,17,19
1597123981,21,19
1597127581,22,20
1597131181,20,25
1597134782,25,25
1597138382,21,21
1597141981,10,12
1597145582,16,16
1597149182,20,21
1597152785,20,20
1597156381,24,26
1597159981,24,21
1597163582,15,15
1597167181,21,19
1597170782,25,27
1597174381,17,16
1597177982,19,19
1597181581,18,14
1597185182,13,18
1597188781,7,7
1597192381,23,16
1597195981,20,23
1597199581,17,18
1597203181,12,12
1597206781,13,12
1597210381,19,18
1597213981,25,28
1597217581,21,21
1597221181,17,19
1597224781,21,16
1597228381,19,20
1597231981,9,11
1597235581,20,21
1597239183,17,20
1597242781,26,23
1597246381,18,19
1597249982,9,10
1597253581,19,16
1597257182,17,19
1597260782,23,19
1597264382,7,7
1597267981,18,20
1597271582,25,25
1597275181,18,14
1597278781,19,21
1597282381,14,17
1597285981,19,19
1597289582,17,16
1597293182,23,22
1597296781,15,15
1597300381,20,20
1597303982,20,21
1597307581,18,15
1597311181,21,25
1597314782,15,17
1597318381,23,19
1597321981,18,18
1597325581,23,22
1597329181,19,25
1597332781,27,29
1597336381,8,7
1597339981,10,9
1597343581,20,20
1597347181,20,20
1597350781,8,6
1597354382,23,22
1597357982,6,5
1597361581,21,23
1597365182,7,7
1597368782,25,20
1597372381,10,10
1597375982,19,22
1597379581,25,25
1597383181,13,12
1597386782,13,11
1597390382,21,22
1597393982,15,17
1597397582,19,18
1597401181,23,22
1597404781,19,18
1597408381,15,19
1597411981,19,17
1597415581,20,18
1597419182,22,25
1597422781,18,17
1597426381,16,15
1597429981,14,13
1597433582,19,24
1597437181,17,15
1597440781,20,18
1597444382,14,13
1597447981,13,14
1597451581,16,15
1597455181,17,17
1597458782,19,17
1597462382,15,18
1597465982,14,15
1597469581,13,13
1597473181,11,15
1597476782,21,17
1597480382,16,18
1597483982,16,13
1597487582,14,17
1597491181,16,15
1597494781,18,17
1597498381,21,19
1597501981,25,28
1597505581,23,25
1597509181,15,15
1597512782,10,11
1597516381,17,17
1597519981,15,13
1597523581,23,18
1597527182,3,5
1597530782,12,13
1597534381,20,23
1597537982,15,10
1597541581,11,14
1597545181,18,16
1597548781,21,24
1597552381,21,19
1597555982,17,18
